Character,Direction,Eccentricity,Reaction Time (s)
da,2,20,0.45255045799967775
da,2,0,0.3518296250003914
da,0,10,0.23230695799975365
da,2,10,0.34450883400040766
da,0,10,0.33914704200014967
da,0,20,0.36215687500043714
da,0,40,0.3437286670005051
da,2,20,0.350007457999709
da,2,40,0.37334241600001405
da,2,0,0.37563287499961007
da,0,20,0.3418820830002005
da,2,10,0.34146966699972836
da,0,30,0.20329450000008364
da,0,10,0.32688620899989473
da,2,30,0.3192569579996416
da,0,0,0.3317951250000988
da,2,20,0.34795662499982427
da,2,10,0.20664912500069477
da,0,10,0.33656724999946164
da,2,0,0.3559960409993437
da,2,40,0.350529665999602
da,0,0,0.3693134579998514
da,0,40,0.21559687499939173
da,0,20,0.34499816600055055
da,2,0,0.3633544169997549
da,0,30,0.34352162499999395
da,2,0,0.3387617500002307
da,0,0,0.33042775000012625
da,0,30,0.3722037499992439
da,0,20,0.3358442079997985
da,0,40,0.37351508300071146
da,2,20,0.36500675000024785
da,0,10,0.3283151669993458
da,0,20,0.3845609580002929
da,2,20,0.41733716599992476
da,2,20,0.44577866700001323
da,0,0,0.33969458299998223
da,0,10,0.2015260419993865
da,2,10,0.34299758300039684
da,2,30,0.3578983750003317
da,0,0,0.32894083299925114
da,0,30,0.3446905829996467
da,0,40,0.37653770799988706
da,2,10,0.34784762499930366
da,2,40,0.38804487499965035
da,0,10,0.3234538329998031
da,2,40,0.3551474579999194
da,2,30,0.39406454199979635
da,0,0,0.3894474999997328
da,2,30,0.37815054199927545
da,2,10,0.3698620410004878
da,0,30,0.342997667000418
da,0,30,0.35897012500026904
da,0,0,0.21133716700023797
da,2,10,0.35093666699958703
da,2,30,0.31686091699975805
da,0,20,0.34623275000012654
da,2,0,0.3168798329998026
da,0,30,0.31064129199967283
da,0,30,0.3015678330002629
da,2,10,0.31931408299988107
da,2,40,0.28191104200050177
da,0,10,0.3519550419996449
da,2,40,0.37544120799975644
da,0,40,0.3440722499999538
da,0,0,0.33504975000050763
da,2,20,0.3413587909999478
da,2,30,0.35080541700062895
da,2,40,0.3054582909999226
da,0,20,0.30991070800064335
da,0,40,0.37460866699984763
da,2,0,0.4261054580001655
da,2,30,0.45996658300009585
da,0,40,0.3838330419994236
da,0,40,0.33596049999960087
da,2,20,0.33891866599969944
da,0,10,0.3259381249999933
da,2,40,0.28407508400050574
da,0,30,0.3221882079997158
da,2,30,0.29110095799933333
da,2,20,0.2779167499993491
da,2,40,0.3336369580001701
da,2,10,0.3032571670000834
da,2,0,0.37047254200024327
da,2,30,0.37749691600038204
da,0,10,0.3586583749993224
da,2,10,0.37273316600021644
da,0,0,0.37389975000041886
da,0,30,0.3165612909997435
da,0,40,0.3648735420001685
da,0,0,0.44272079200072767
da,2,0,0.3559097079996718
da,0,40,0.3716284590000214
da,0,20,0.34594479099996533
da,2,40,0.3603007500005333
da,0,20,0.3607142920000115
da,2,30,0.35548095800004376
da,2,20,0.4271347499998228
da,0,20,0.2983367080005337
da,2,0,0.31369325000014214
