Character,Direction,Eccentricity,Reaction Time (s)
da,2,10,0.5011011250007869
zhong,2,0,0.6094924170010927
da,2,30,0.5880773749995569
xiao,0,10,0.578605458000311
da,2,30,0.5983782080002129
zhong,0,40,0.5835590830010915
da,2,0,0.5793464580001455
zhong,0,10,0.5765503330003412
zhong,0,10,0.5288249170007475
zhong,2,20,0.523488124999858
zhong,2,0,0.4664551660007419
da,2,40,0.5181204999989859
da,0,30,0.5095594159993198
da,2,30,0.4943222500005504
da,0,0,0.46987945799992303
zhong,0,40,0.5600465839997923
xiao,0,20,0.6275136250005744
zhong,0,40,0.5952942090007127
da,0,20,0.4980692919998546
xiao,2,40,0.6431319579987758
zhong,0,20,0.5495004160002281
xiao,0,40,0.7176256669990835
da,0,20,0.5951253330003965
xiao,2,10,0.5932609169994976
xiao,0,0,0.5392060419999325
xiao,2,20,0.5719818340003258
da,2,10,0.5950445420003234
xiao,2,10,0.558485166000537
zhong,0,30,0.5549243340010435
zhong,2,10,0.5646530829999392
zhong,2,30,0.5431660419999389
da,0,0,0.5803116659990337
zhong,2,30,0.554467416000989
xiao,2,40,0.6306204159991466
xiao,2,10,0.6251465830009693
da,2,40,0.6305841659996076
xiao,2,40,0.6439827499998501
xiao,2,30,0.6260646249993442
da,2,20,0.5649192920009227
zhong,0,30,0.6178186249999271
xiao,0,20,0.5939132500006963
zhong,2,10,0.5727305000000342
xiao,2,20,0.6002684579998459
zhong,0,10,0.5393710420012212
xiao,0,20,0.538301374999719
zhong,0,40,0.5684105000000272
da,2,0,0.6132620000007591
da,2,40,0.694004541999675
da,0,30,0.5832171660003951
zhong,0,40,0.6005807499986986
xiao,0,10,0.6488961249997374
xiao,0,0,0.611684833000254
xiao,2,0,0.5442262910000863
zhong,2,0,0.5784037079993141
zhong,0,40,0.63772308300031
da,0,30,0.8992843750002066
xiao,2,20,0.6521414580001874
xiao,0,20,0.5970663330008392
xiao,0,10,0.6024847499993484
da,2,30,0.704320667000502
zhong,0,40,0.638907125001424
xiao,2,20,0.6746110420008335
zhong,0,30,0.5390697500006354
xiao,0,30,0.6492030829995201
zhong,2,20,0.6250580830001127
xiao,0,30,0.6360221249997267
zhong,2,10,0.5763487500007614
da,2,0,0.7438724999992701
da,0,20,0.6171274999996967
xiao,2,10,0.6053681249995861
xiao,0,10,0.6388150830007362
xiao,0,10,0.6142849999996542
xiao,2,0,0.6077694590003375
da,0,0,0.7122392500004935
da,0,40,0.6967997909996484
da,2,10,0.5884342079989437
zhong,2,30,0.6395730000003823
da,0,0,0.5836028339999757
xiao,0,0,0.6912071669994475
xiao,0,40,0.646223583000392
da,2,40,0.6841411669993249
zhong,0,10,0.647354084001563
zhong,2,20,0.67344941599913
zhong,2,30,0.6731568340001104
xiao,0,0,0.550404958999934
zhong,2,40,0.6345855830004439
xiao,2,30,0.6653203750011016
da,2,40,0.5755135830004292
xiao,2,20,0.6576258330005658
xiao,0,0,0.5290905410001869
xiao,0,30,0.6066065830000298
zhong,2,20,0.5934052909997263
da,0,20,0.628498916999888
da,0,20,0.6646582920002402
da,0,10,0.5389131669999188
xiao,0,30,0.5914254169983906
da,2,40,0.5655317079999804
zhong,0,0,0.5754980000001524
zhong,2,0,0.5656775000006746
da,2,0,0.6093224160013051
