Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,20,0.6205724580013339
da,0,40,0.6090437079983531
da,0,0,0.5286368329998368
zhong,0,30,0.6731825000006211
xiao,2,20,0.6076696250001987
da,2,40,0.6814684579985624
da,2,0,0.5339455840003211
zhong,2,10,0.6215195410004526
zhong,0,0,0.5625202909996005
da,2,30,0.6997710420000658
da,2,40,0.5719171670007199
da,2,20,0.4720692909995705
xiao,2,20,0.5904586249998829
zhong,2,0,0.5797818750015722
zhong,0,40,0.5343932499999937
da,2,20,0.5893583329998364
da,0,40,0.6373683330002677
xiao,2,0,0.5736598329986009
da,0,0,0.6348437079996074
xiao,0,10,0.5782984159995976
zhong,0,40,0.5938785409998673
xiao,2,10,0.6231382499991014
zhong,0,10,0.5563628330000938
da,2,0,0.5316002500003378
zhong,2,40,0.6480213750000985
zhong,0,0,0.6243375840003864
zhong,2,10,0.5925360000001092
zhong,2,30,0.5853392500011978
xiao,2,40,0.7547279589998652
da,2,20,0.6045387079993816
da,0,10,0.8871435830005794
xiao,0,20,0.6339507080010662
zhong,0,30,0.6165701669997361
xiao,2,30,0.7066395419988112
da,0,30,0.6099699579990556
xiao,0,10,0.7717319580006006
xiao,0,0,0.7562454590006382
xiao,2,40,0.6945278750008583
xiao,0,10,0.6134432500002731
xiao,2,20,0.6972067079987028
zhong,0,40,0.6648078329999407
xiao,0,30,0.663357041999916
xiao,2,40,0.6398621250009455
zhong,2,10,0.6296670420015289
zhong,0,20,0.5941772499991202
zhong,2,0,0.6464995419992192
da,0,20,0.6766695000005711
zhong,0,40,0.6042217079993861
zhong,0,10,0.5166114580006251
da,2,20,0.563348292000228
xiao,0,40,0.6176777919990855
zhong,2,30,0.5888510000004317
da,2,30,0.5842823750008392
da,2,0,0.5610552090001875
da,2,0,0.5126307080008701
zhong,0,30,0.6240515829995275
zhong,0,20,0.6014079169999604
zhong,0,30,0.5001337920002698
da,0,10,0.5681087499997375
xiao,2,40,0.7091057079996972
zhong,0,20,0.5908794580009271
xiao,0,20,0.6566596669999853
da,0,10,0.6524724580012844
xiao,2,10,0.6321062080005504
zhong,2,10,0.6389303330015537
zhong,0,0,0.5672260419996746
xiao,2,10,0.6067401250002149
da,2,30,0.7080849169997236
xiao,0,10,0.6201394999989134
da,0,40,0.6359935000000405
da,2,40,0.6042225420005707
xiao,2,20,0.7945885409990296
da,2,30,0.5531007500012493
zhong,0,20,0.625505375001012
da,0,30,0.6143778749992634
xiao,0,40,0.7094429169992509
zhong,0,0,0.6092982909995044
da,0,10,0.5758027909996599
da,0,30,0.6908606249999139
da,2,0,0.5587004159988282
zhong,0,40,0.6734201660001418
da,0,0,0.6428033749998576
da,2,0,0.7455991249989893
zhong,2,30,0.6063500420004857
xiao,0,0,0.577465583999583
zhong,2,30,0.6202909579988045
da,0,20,0.5353013329986425
xiao,2,10,0.6336375000009866
zhong,2,30,0.7372825830007059
xiao,2,40,0.6352117080004973
da,2,0,0.5699475830006122
da,2,20,0.5852651250006602
xiao,0,20,0.6312551249993703
zhong,0,30,0.6325092080005561
xiao,2,40,0.6536481250004726
xiao,2,10,0.6239214160013944
xiao,0,30,0.5441455830004998
xiao,2,20,0.5702458750001824
xiao,0,0,0.5758712499991816
da,2,10,0.575259167000695
