Character,Direction,Eccentricity,Reaction Time (s)
da,0,20,0.6865593330003321
xiao,2,40,0.6798798750005517
xiao,2,20,0.5396127499989234
da,0,10,0.6567791249999573
da,0,20,0.6006056669993995
da,0,20,0.5951071670006058
da,0,40,0.4836691249984142
xiao,2,0,0.4438233750006475
da,2,0,0.4492905000006431
da,2,0,0.49061883299873443
da,0,40,0.580413875000886
da,2,30,0.5698567910003476
xiao,0,10,0.47256266700060223
xiao,0,0,0.5136471660007373
xiao,0,20,0.5764975419988332
da,0,10,0.5703726669999014
da,2,20,0.4847436660002131
da,2,20,0.4556153749999794
da,2,10,0.5488943330001348
xiao,2,40,0.5364995830004773
da,2,20,0.5066155000004073
da,0,0,0.5484997080002358
da,2,30,0.4423800000004121
da,2,40,0.5061045000002196
xiao,0,10,0.48128800000085903
da,2,40,0.5677352910006448
da,2,20,0.4406805420003366
da,0,30,0.5251516670014098
xiao,0,0,0.49477787499927217
da,0,40,0.5167242919997079
xiao,0,0,0.5375008329992852
da,2,10,0.438365915999384
xiao,0,20,0.5206803749988467
da,0,30,0.44650704200103064
da,0,40,0.49142345800100884
xiao,0,30,0.5316293340001721
da,0,0,0.4851301250000688
da,2,20,0.4827602920013305
da,0,20,0.5326585419988987
xiao,0,30,0.5377797499986627
xiao,2,30,0.511428290999902
da,2,30,0.45944245899954694
xiao,2,40,0.49691662499935774
xiao,0,30,0.503157540999382
xiao,2,10,0.6173611249996611
xiao,0,30,0.48120216600000276
da,2,20,0.5041429579996475
xiao,2,0,0.5608130420005182
da,0,0,0.5421200000000681
xiao,2,10,0.5736689160003152
xiao,0,10,0.5799275829995167
da,2,10,0.5015076250001584
da,2,40,0.5327042089993483
da,2,10,0.4492125830001896
da,0,0,0.5057714590002433
xiao,0,30,0.5064867500004766
xiao,0,20,0.4683984170005715
xiao,2,10,0.48974045899922203
xiao,0,20,0.4455798330000107
xiao,2,0,0.5008822920008242
da,0,20,0.5122527500006981
da,2,20,0.46210658400013926
da,2,0,0.5207987909998337
da,2,30,0.4962972089997493
xiao,0,10,0.4793562499999098
xiao,2,10,0.46657212500031164
xiao,0,20,0.5751695420003671
xiao,0,0,0.46873691599830636
xiao,2,40,0.5364369159997295
da,0,30,0.4675070829998731
xiao,0,0,0.46520566700019117
xiao,2,10,0.46437074999994365
xiao,2,0,0.46435625000049185
xiao,0,30,0.4714062919993012
xiao,0,40,0.4953224159999081
xiao,2,0,0.43705916700128
xiao,2,0,0.4965623339994636
xiao,2,20,0.539336457999525
xiao,0,40,0.5092661660000886
da,2,40,0.5883114160005789
xiao,0,10,0.4933821659997193
xiao,2,30,0.5152384170014557
da,0,40,0.5220035409984121
da,2,30,0.5795872920007241
xiao,2,30,0.5372521250010323
xiao,0,10,0.5834350000004633
da,0,30,0.47616362500048126
xiao,2,0,0.4957845000008092
xiao,0,40,0.567010124999797
xiao,0,40,0.4951287500007311
da,2,30,0.5060604589998547
xiao,0,10,0.4702891249999084
xiao,2,40,0.5430488330002845
da,0,10,0.5077716659998259
xiao,2,40,0.5445148750004591
da,2,10,0.5183750409996719
xiao,2,30,0.5683975419997296
da,2,20,0.5630536659991776
da,0,40,0.5561417909993907
da,0,0,0.4666975000000093
