Character,Direction,Eccentricity,Reaction Time (s)
da,2,30,0.49810879200049385
xiao,0,40,0.5808754580011737
da,2,30,0.5288723749999917
xiao,0,30,0.4957618750013353
da,2,40,0.45599220800067997
da,2,40,0.4880564579998463
da,2,0,0.47496558300008473
da,2,40,0.4073071250004432
xiao,0,20,0.5582645419999608
da,0,0,0.47479870799907076
da,2,40,0.48792316700019
da,2,30,0.438907666999512
da,2,20,0.39213062499948137
da,2,20,0.40088837500115915
da,0,0,0.4408820829994511
da,2,0,0.5006924999997864
da,2,40,0.5300643749997107
xiao,2,20,0.49596029199892655
da,2,30,0.5493050000004587
xiao,0,40,0.46413599999868893
da,2,0,0.49330591699981596
da,2,30,0.5075313330016797
da,2,10,0.5594346249999944
da,2,20,0.5656717080000817
xiao,2,10,0.5875567089988181
xiao,0,10,0.4739915420013858
xiao,0,20,0.601983749998908
xiao,0,0,0.4684491659991181
xiao,2,40,0.5533720829989761
da,0,20,0.6740277080007218
xiao,0,40,0.5294185419988935
xiao,2,0,0.4932772499996645
da,0,40,0.7097913329998846
xiao,2,20,0.48716050000075484
xiao,0,0,0.5158428750000894
da,0,20,0.7173850840008527
da,0,10,0.5799261249994743
xiao,2,30,0.5947763750009472
da,0,40,0.5552132920001895
da,2,20,0.6423927499999991
xiao,2,0,0.5180059590002202
xiao,0,0,0.5600617090003652
da,0,0,0.5585204170001816
da,2,10,0.5782210410015978
da,2,30,0.5073977499996545
da,2,10,0.532860333998542
da,0,30,0.5824423750000278
xiao,2,20,0.5957968749989959
da,2,0,0.5190547500005778
xiao,2,10,0.5159120409989555
xiao,2,40,0.4829114579988527
da,0,10,0.519697540999914
xiao,2,10,0.4971557089993439
da,0,0,0.5721933329987223
da,0,10,0.5035772909996012
xiao,2,10,0.5855324169988307
xiao,0,40,0.5732188749989291
xiao,2,20,0.6190306669996062
xiao,2,20,0.5862118750010268
da,2,0,0.5612460409993218
da,0,30,0.6758682499985298
xiao,0,30,0.5829577499989682
xiao,2,10,0.6301732499996433
xiao,0,10,0.563628083000367
da,0,40,0.5926264160007122
xiao,0,40,0.5536417500006792
da,0,20,0.5263689589992282
da,0,30,0.5918222919990512
xiao,0,30,0.5474624580001546
da,2,30,0.6274778750012047
da,0,20,0.5967947499993898
xiao,0,10,0.538134665999678
da,2,10,0.5012811249998776
xiao,0,10,0.5432299580006656
xiao,2,30,0.6186476249986299
xiao,0,0,0.5586865829991439
da,2,40,0.5722148750010092
xiao,0,20,0.5807197909998649
da,0,20,0.5420457079999323
xiao,0,20,0.6715519999997923
da,2,0,0.49956070900043414
da,0,40,0.6115062089993444
da,2,40,0.6092102919992612
da,2,20,0.586292666999725
da,0,30,0.5204280000016297
xiao,2,0,0.5910234579987446
da,0,30,0.5382615420003276
da,0,10,0.543026583000028
da,2,10,0.4360158749987022
da,2,40,0.5117823339987808
da,0,30,0.5140003749984317
xiao,0,0,0.5244379169998865
xiao,0,40,0.5650637079997978
xiao,0,30,0.5130966249998892
xiao,0,20,0.4767824170012318
xiao,2,0,0.514628332999564
xiao,2,30,0.5917654580007365
da,0,10,0.5760772500016174
da,0,0,0.5553209169993352
xiao,0,10,0.5365227919992321
