Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.34047412500012797
0.0,0,10,0.3741691660000015
0.0,0,20,0.330103415999929
0.0,2,40,0.37959458400018775
0.0,2,40,0.17821670900002573
0.0,0,30,0.319117333000122
0.0,2,0,0.3279946249999739
0.0,0,40,0.3316077919998861
0.0,2,10,0.3282624159999159
0.0,0,20,0.3488155420000112
0.0,2,40,0.4090035419999367
0.0,0,30,0.34795325000004595
0.0,0,30,0.3553801250000106
0.0,2,30,0.38019008399987797
0.0,2,40,0.35036250000007385
0.0,2,0,0.3546362909999061
0.0,0,40,0.3493645410001136
0.0,0,10,0.3259081660000902
0.0,0,40,0.3242330000000493
0.0,0,20,0.30389900000000125
0.0,2,20,0.3106599999998707
0.0,2,30,0.3498757499999101
0.0,0,0,0.3686078329999418
0.0,0,0,0.3430357910001476
0.0,2,10,0.38998112500007664
0.0,0,20,0.5556037500000457
0.0,2,20,0.36086295900008736
0.0,0,30,0.37243112500004827
0.0,0,10,0.4415769580000415
0.0,2,20,0.3293878329998279
0.0,0,30,0.35356333300001097
0.0,2,0,0.3844806670001617
0.0,0,20,0.24920454199991582
0.0,2,40,0.3670715000000655
0.0,2,20,0.3414302090000092
0.0,0,30,0.4865902910000841
0.0,2,40,0.3769330830000399
0.0,2,10,0.3604032499999903
0.0,0,0,0.3770166669999071
0.0,0,0,0.3168483340000421
0.0,0,20,0.3365436670001145
0.0,0,30,0.2899927920000209
0.0,2,0,0.31417579200001455
0.0,2,40,0.30993000000012216
0.0,0,40,0.31712533299992174
0.0,2,40,0.37044620899996517
0.0,2,0,0.3567057909999676
0.0,2,10,0.38951312500012136
0.0,2,30,0.3582606669999677
0.0,2,20,0.38784062500008076
0.0,0,30,0.34132975000011356
0.0,0,0,0.3344340830001329
0.0,0,40,0.3288919999999962
0.0,2,10,0.34956720799982577
0.0,2,30,0.3618239170000379
0.0,0,20,0.3194322499998634
0.0,2,10,0.3189103330000762
0.0,0,20,0.29748429200003557
0.0,0,30,0.36149495799986653
0.0,2,0,0.3438826249998783
0.0,0,10,0.5353614580001249
0.0,2,0,0.3657356250000703
0.0,2,20,0.44270433299993783
0.0,0,20,0.5138780830000087
0.0,2,20,0.13880016699999942
0.0,0,40,0.28402645800019855
0.0,2,10,0.03394054199998209
0.0,2,0,0.2974875830000201
0.0,2,30,0.36706262500001685
0.0,0,40,0.30554062500004875
0.0,0,0,0.2978580830001647
0.0,0,0,0.3450313329999517
0.0,0,40,0.3566402499998276
0.0,0,10,0.33888820800007124
0.0,0,0,0.3702069579999261
0.0,2,40,0.35355183299998316
0.0,2,10,0.4307381670000723
0.0,2,40,0.3885453339999003
0.0,0,0,0.12359866600013447
0.0,0,10,0.34692116600012923
0.0,0,40,0.3885138329999336
0.0,2,10,0.3505983750001178
0.0,0,10,0.41160324999987097
0.0,2,30,0.5865280000000439
0.0,2,30,0.3831820410000546
0.0,0,0,0.35118008399990686
0.0,0,10,0.32587424999996983
0.0,0,20,0.37453066700004456
0.0,2,30,0.3975406669999302
0.0,0,10,0.29543970899999294
0.0,0,40,0.3144027499999993
0.0,2,10,0.3426875420000215
0.0,2,30,0.4048864579999645
0.0,0,30,0.4075990000001184
0.0,2,20,0.408415874999946
0.0,2,20,0.4562900000000809
0.0,2,0,0.39602324999987104
0.0,0,10,0.4275750839999546
0.0,2,20,0.06938545800016982
0.0,2,30,0.4150562920001448
