Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,10,0.3666992500000106
0.0,0,10,0.3613941250000039
0.0,2,20,0.39768325000000004
0.0,2,10,0.30852954100004126
0.0,2,30,0.3434187080000015
0.0,0,40,0.33603045800003883
0.0,0,20,0.3645794589999696
0.0,2,40,0.43402529199994433
0.0,0,20,0.32343779100000347
0.0,0,0,0.40786720900001683
0.0,2,10,0.4517228340000088
0.0,2,20,0.3565787080000291
0.0,0,10,0.38606883300002437
0.0,2,10,0.48995199999995975
0.0,2,10,0.3810875420000457
0.0,2,40,0.38536687499998834
0.0,2,40,0.37232416699998794
0.0,0,20,0.3776479999999651
0.0,0,0,0.37799108300004036
0.0,2,0,0.3345457910000391
0.0,2,20,0.21334783300000026
0.0,2,10,0.28565149999997175
0.0,0,40,0.34085437499999216
0.0,2,30,0.35584620800000266
0.0,2,0,0.30718599999994467
0.0,0,0,0.370105916
0.0,0,0,0.3064657500000294
0.0,0,0,0.3162432499999568
0.0,2,20,0.3785199170000624
0.0,2,40,0.3407459579999568
0.0,0,40,0.35993474999997943
0.0,2,30,0.38126729200007503
0.0,0,20,0.3990483339999855
0.0,2,40,0.35313729100005276
0.0,0,30,0.3541824170000609
0.0,0,0,0.35400720899997395
0.0,2,0,0.30444391699995776
0.0,2,30,0.5396765000000414
0.0,2,20,0.3294050839999727
0.0,0,20,0.3398785000000544
0.0,2,40,0.15009874999998374
0.0,0,10,0.3262771249999332
0.0,2,40,0.37322949999997945
0.0,2,20,0.33283641700006683
0.0,2,0,0.3723432500000854
0.0,0,20,0.3748779589999458
0.0,0,30,0.35584770799994203
0.0,2,0,0.33250245800002176
0.0,2,30,0.35649612499992145
0.0,2,30,0.34415087499996844
0.0,2,0,0.32570179200001803
0.0,0,30,0.3114361250000002
0.0,0,0,0.3812249580000753
0.0,0,40,0.3617453330000444
0.0,0,40,0.37789633299996694
0.0,0,10,0.33779437499993037
0.0,2,20,0.36205483300000196
0.0,2,10,0.32163204199991924
0.0,0,0,0.12973983300003056
0.0,2,20,0.3475945000000138
0.0,0,0,0.3483352920000016
0.0,0,20,0.3261427500000309
0.0,0,40,0.3552408750000495
0.0,0,30,0.3534230420000313
0.0,0,30,0.35524166699997295
0.0,2,10,0.3594294170000012
0.0,0,20,0.35559604200000194
0.0,2,40,0.33504166700004134
0.0,0,30,0.3514562499999556
0.0,2,30,0.4274827079999568
0.0,0,10,0.3673583749999807
0.0,2,0,0.4156614170000239
0.0,2,20,0.35489720800001123
0.0,0,20,0.36675512500005425
0.0,2,40,0.3398866249999628
0.0,0,30,0.36339520800004266
0.0,2,30,0.397053249999999
0.0,2,10,0.36115558300002704
0.0,0,0,0.357875624999906
0.0,2,10,0.356170167000073
0.0,0,10,0.3371083340000496
0.0,0,10,0.3627541250000377
0.0,0,20,0.3208644159999494
0.0,0,30,0.14348066599995946
0.0,0,40,0.3223718330000338
0.0,0,10,0.38169637499993314
0.0,0,40,0.3658071670000709
0.0,2,30,0.35961424999993596
0.0,2,0,0.36712454200005595
0.0,2,0,0.34183733399993343
0.0,2,30,0.42190612500007774
0.0,0,30,0.3384199170000102
0.0,0,10,0.3897916669999404
0.0,0,30,0.38344150000000354
0.0,0,10,0.3495780420000756
0.0,2,0,0.3830806669999447
0.0,2,20,0.35824412499994196
0.0,0,40,0.36477533400000084
0.0,0,40,0.3767923340000152
0.0,2,40,0.36707145799994123
