Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,30,0.6255562089999955
0.0,0,20,0.5785017910000079
0.0,2,40,0.5163769170000023
45.0,0,30,0.582941458999997
90.0,0,0,0.5444431250000008
90.0,0,0,0.5157000829999845
45.0,0,40,0.5749996659999965
0.0,2,20,0.5865482499999928
45.0,0,0,0.5656352499999855
0.0,0,10,0.7380691250000098
90.0,0,10,0.6004408329999933
90.0,0,10,0.5449618750000127
45.0,0,10,0.5651288749999992
90.0,2,30,0.6104348340000172
90.0,0,0,0.5529339590000006
0.0,2,0,0.5224241660000075
45.0,0,30,0.49684716699999854
90.0,2,10,0.5984768330000065
0.0,2,20,0.537061499999993
0.0,2,10,0.49390262500000404
0.0,2,20,0.48685362500000906
0.0,0,40,0.5878869580000128
0.0,0,20,0.6108947920000105
0.0,2,10,0.5119740000000093
0.0,2,0,0.4711537080000028
90.0,2,20,0.6346370839999906
45.0,0,20,0.44557912499999475
45.0,0,10,0.505167125000014
0.0,2,20,0.4871068340000022
0.0,2,20,0.5815413750000005
90.0,2,10,0.4938168340000004
0.0,0,20,0.5619375420000097
0.0,0,40,0.6568925829999728
45.0,0,30,0.4884994170000141
90.0,2,0,0.5305000840000105
45.0,0,10,0.762395749999996
45.0,0,20,0.6074409999999943
45.0,2,0,0.5083614159999854
45.0,2,30,0.5258914590000074
0.0,2,0,0.5493686659999923
0.0,2,20,0.6575815000000205
90.0,2,0,0.6134670840000069
90.0,0,20,0.7571031250000146
0.0,2,40,0.788860083000003
45.0,2,20,0.5679398330000254
90.0,2,40,0.5650306250000199
45.0,0,10,0.5056652499999927
90.0,0,30,0.6497232500000223
0.0,0,30,0.5390067499999986
0.0,2,30,0.5894774160000225
90.0,2,10,0.6192936250000116
90.0,2,40,0.5755793330000074
90.0,0,30,0.4845602499999586
0.0,0,0,0.5383874589999778
45.0,0,0,0.5403240829999731
90.0,2,0,0.5917096670000319
45.0,2,40,0.6709456670000122
45.0,2,30,0.6733976659999712
0.0,0,40,0.5817579589999582
0.0,2,40,0.5981369999999515
0.0,0,40,0.5158524169999623
0.0,0,10,0.4946549579999555
90.0,2,10,0.6765415830000165
90.0,0,20,0.5567560000000071
45.0,2,30,0.5798995000000104
90.0,0,40,0.5737129999999979
45.0,0,40,0.7018147919999933
0.0,0,30,0.619177666999974
90.0,2,30,0.6178074580000157
90.0,0,0,0.6276587500000232
90.0,0,40,0.5888527090000366
45.0,2,30,0.5734787079999819
45.0,0,30,0.5306681670000444
0.0,2,10,0.5243555409999772
90.0,2,30,0.5353372499999978
0.0,0,0,0.5295023749999928
90.0,0,30,0.5639642090000052
0.0,2,40,0.6201520829999936
45.0,2,20,0.6288034590000962
0.0,0,0,0.5580461670000432
45.0,0,10,0.6020283330000211
90.0,2,10,0.5781771250000247
90.0,0,30,0.5883759169998939
45.0,2,40,0.5698585419999063
0.0,2,0,0.4756317910000689
90.0,0,40,0.5418814999999313
45.0,2,10,0.49471008299997266
0.0,0,40,0.5446772499999497
0.0,0,20,0.5981443330000502
90.0,0,20,0.5522654170000578
45.0,2,10,0.5497313330000679
0.0,2,40,0.6975995410000451
0.0,2,0,0.5408094590000019
45.0,2,20,0.586999665999997
0.0,0,0,0.5944791670000313
0.0,0,10,0.5984699580000097
0.0,0,20,0.5610082079999756
45.0,2,40,0.6035916669999324
45.0,2,0,0.4798614579999594
90.0,2,30,0.5953631669999595
