Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,20,0.5784424589999162
0.0,0,20,0.6113887499998327
0.0,2,10,0.5296793340000931
0.0,0,10,0.5993300840000302
45.0,0,40,0.6899181659998703
0.0,2,0,0.5219717089998994
0.0,2,30,0.5637779580001734
0.0,0,30,0.5507622919999449
0.0,2,40,0.6668254579999484
0.0,0,40,0.6026231659998302
90.0,0,20,0.547943000000032
90.0,0,10,0.5547657920001257
0.0,2,40,0.533916459000011
45.0,2,20,0.568315167000037
45.0,0,0,0.5387053750000632
0.0,2,30,0.5936267919998954
90.0,0,30,0.5762696249998953
90.0,2,10,0.5389701670001159
90.0,0,30,0.6162968339999679
45.0,0,40,0.5449200830000791
90.0,0,30,0.5712320000000091
45.0,0,20,0.6283827919999112
45.0,2,10,0.5101419170000554
90.0,0,10,0.563838541999985
0.0,0,20,0.6002149579999241
90.0,2,0,0.5725824169999214
45.0,2,40,0.6022189580000941
0.0,0,20,0.6019856249999975
90.0,0,0,0.6713368329999412
0.0,2,40,0.805923249999978
45.0,2,10,0.7182813750000605
45.0,2,30,0.6002555829998073
0.0,2,40,0.6232187079999676
45.0,0,0,0.6464221660000931
45.0,2,0,0.6286761250000836
45.0,0,40,0.5642655829999512
45.0,2,20,0.6005868340000688
45.0,2,40,0.5784092920000603
45.0,0,10,0.537546458000179
45.0,0,40,0.5178434169999946
90.0,0,20,0.5826093749999472
90.0,2,0,0.5515349999998307
0.0,2,20,0.6436134999999013
90.0,2,30,0.7098264999999628
90.0,0,20,0.6096305000000939
45.0,2,30,0.5487533329999223
90.0,0,10,0.6426135419999355
45.0,0,40,0.6279541250000875
45.0,0,10,0.6305610839999645
0.0,0,20,0.6437786669998786
45.0,0,10,0.5850296249998337
90.0,0,20,0.6711098749999564
45.0,0,40,0.5889961249999942
90.0,2,10,0.6658793750000314
90.0,0,0,0.6070452500000556
0.0,0,10,0.5753658339999674
0.0,0,40,0.5775798750000831
0.0,2,20,0.6171541659998638
45.0,0,0,0.5700225000000501
0.0,2,0,0.6109052499998597
0.0,0,30,0.6385163329998704
90.0,2,40,0.6504484170000069
45.0,2,30,0.6605927919999885
45.0,2,20,0.63945549999994
45.0,0,40,0.6290617090000978
90.0,0,30,0.6583718750000571
0.0,2,20,0.6330273749999833
90.0,2,10,0.6286133339999651
90.0,0,0,0.6986227079999026
45.0,0,30,0.627366166999991
45.0,0,0,0.6361680420000084
45.0,0,30,0.7455807909998384
90.0,2,10,0.6834265410000171
0.0,0,10,0.8283850839998195
45.0,0,0,0.6544524159999128
0.0,2,0,0.6633555000000797
45.0,2,40,0.7269615420000264
45.0,2,0,0.708694291999791
0.0,2,40,0.7403092090000882
0.0,2,0,0.6640886659999978
45.0,2,10,0.7395067919999292
90.0,2,30,0.680352374999984
90.0,0,0,0.6254023750000215
45.0,0,10,0.7005661670000336
90.0,2,20,0.893818667000005
90.0,2,30,0.702315500000168
45.0,2,20,0.7423129999999674
0.0,0,40,0.8984105829999862
0.0,2,30,0.7514322919998904
45.0,2,20,0.6136166670000875
45.0,2,40,0.7030472080000436
90.0,2,0,0.6718008340001234
90.0,2,10,0.6256003340001826
0.0,0,0,0.5874029579999842
90.0,2,0,0.6130689159999747
45.0,0,30,0.66861033400005
0.0,2,10,1.2606860830001096
0.0,0,30,0.6312303340000653
45.0,2,30,0.7677385410001989
45.0,2,20,0.5798239579999063
