Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,40,0.5870875000000524
0.0,2,40,0.6358472910000046
0.0,2,40,0.6278878750000558
0.0,0,30,0.6158147500000268
90.0,0,40,0.5842800409999427
0.0,2,10,0.526998125000091
0.0,2,10,0.5596335000000181
0.0,2,0,0.4891695000000027
0.0,2,20,0.5235130419999905
90.0,0,10,0.5694510829999899
0.0,2,40,0.5627012500000319
0.0,2,20,0.5534925419999581
90.0,0,10,0.5754860420000796
90.0,2,20,0.6054820829999699
0.0,2,30,0.5985058329999902
0.0,0,20,0.5445128329999989
0.0,2,10,0.6045637080000006
90.0,0,30,0.5975214170000527
90.0,2,30,0.6190282499999284
90.0,0,10,0.6756577919999245
90.0,2,40,0.5296639580000146
0.0,0,20,0.5917438750000201
90.0,2,40,0.65392129199995
90.0,2,30,0.6026877089999516
0.0,2,30,0.6197807920000287
90.0,0,20,0.6937375000001111
90.0,0,10,0.6295680839999704
0.0,0,40,0.5771991670000034
0.0,0,30,0.7136220830000184
90.0,0,40,0.6813132920000271
0.0,0,10,0.7329720830000497
90.0,2,10,0.7598083750000342
90.0,2,40,0.5689064169999938
0.0,2,40,0.6064909159999843
90.0,2,20,0.6487316669999927
90.0,2,0,0.5797454170000265
0.0,2,0,0.601391499999977
0.0,2,30,0.6708212500000172
0.0,0,20,0.6003016250000428
0.0,2,10,0.7111774999999625
90.0,2,20,0.6356418330000224
0.0,0,20,0.6233831670000427
90.0,2,30,0.6341538749999245
90.0,0,0,0.6500553329999548
0.0,0,0,0.6001424999999472
0.0,0,40,0.5561040000000048
90.0,0,30,0.6003313749999961
90.0,2,10,0.6287008340000284
0.0,0,0,0.5890357920000042
90.0,0,0,0.5999917499999583
90.0,2,20,0.6757523329999913
90.0,2,0,0.580675708000058
90.0,0,0,0.5402670830000034
90.0,0,30,0.5288126250000005
90.0,0,0,0.5271144580000282
0.0,2,0,0.5546244160000242
0.0,0,40,0.6011627089999365
90.0,2,30,0.6050027500000397
0.0,2,20,0.5554240829999344
90.0,2,20,0.5773057500000505
0.0,0,40,0.6416647500000181
90.0,2,30,0.5723302079999257
90.0,2,40,0.6239000410000699
90.0,0,0,0.6141717920000929
0.0,0,20,0.5937441659999649
0.0,0,30,0.588492083999995
0.0,0,40,0.5318532499999264
0.0,0,0,0.49670579199994336
90.0,2,20,0.548227625000095
0.0,2,30,0.5508740420000322
0.0,2,0,0.5149099999999862
0.0,0,0,0.4682423749999316
90.0,2,30,0.513162125000008
0.0,2,40,0.6118451249999453
90.0,2,40,0.5627985419999959
90.0,2,10,0.5124786249999715
90.0,0,10,0.5428810409999869
0.0,0,10,0.5792159579999634
0.0,0,30,0.6042496669999764
0.0,0,30,0.5348070420000113
0.0,2,0,0.5630067920000101
0.0,0,20,0.5748819999998886
0.0,0,40,0.5350420419999864
0.0,2,0,0.48519387500004996
0.0,0,20,0.5609205000000657
0.0,0,20,0.6168449580000015
90.0,0,20,0.6228669579998041
0.0,2,0,0.6178442079999513
90.0,0,30,0.6070245830001113
0.0,0,10,0.5962809999998626
90.0,0,10,0.5300008750000416
90.0,2,10,0.5420473330000277
90.0,2,10,0.528003500000068
0.0,0,10,0.663275707999901
90.0,0,0,0.5564559160000044
90.0,2,10,0.5759140830000433
90.0,2,20,0.5755367090000618
0.0,0,40,0.4836902080000982
0.0,0,30,0.5060501250000016
0.0,2,0,0.36205054200013365
