Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,0,0.4807305830036057
90.0,2,10,0.664546291998704
90.0,0,40,0.6043987089942675
90.0,0,0,0.46772149999742396
90.0,2,20,0.5378041660005692
90.0,2,20,0.45457008300581947
90.0,0,20,0.4858479160029674
90.0,0,20,0.49314745800802484
0.0,2,10,0.4414893750072224
0.0,0,0,0.4395957910019206
90.0,2,10,0.4175660000037169
0.0,2,40,0.549478500004625
0.0,2,30,0.5359961250069318
0.0,0,40,0.4845248749916209
90.0,0,0,0.4887109999981476
90.0,2,10,0.4496629170025699
0.0,2,40,0.534514750004746
0.0,0,0,0.5084627500036731
0.0,0,30,0.5800230419990839
0.0,2,0,0.5080889999953797
90.0,0,20,0.7374513340037083
0.0,2,40,0.5560663749929518
0.0,2,0,0.6521920419909293
0.0,2,10,0.6027290420024656
90.0,0,0,0.5104322080005659
0.0,0,40,0.8007759169995552
0.0,2,0,0.6306435000005877
90.0,0,30,0.6498463329917286
0.0,2,40,0.6172562080028001
90.0,2,0,0.562892500005546
0.0,0,20,0.665433625006699
90.0,0,10,0.6466367499961052
0.0,0,10,0.6114000829984434
90.0,0,0,0.614986125001451
0.0,0,10,0.7251448750030249
0.0,0,20,0.7572350830014329
0.0,2,20,0.5823577080009272
0.0,2,10,0.575760874999105
90.0,0,20,0.5798128750029719
90.0,0,40,0.6093439999967813
90.0,2,20,0.5867592919967137
90.0,2,30,0.5461731669929577
90.0,2,0,0.47725066701241303
90.0,2,40,0.5738673339947127
90.0,2,40,0.5426558750041295
0.0,2,0,0.5185844999941764
90.0,0,10,0.6491004590061493
0.0,2,30,0.6308513330004644
0.0,0,30,0.588572541004396
0.0,2,20,0.5109313749999274
0.0,0,30,0.5243439579935512
0.0,2,20,0.5209437500016065
0.0,2,40,0.4958604160055984
90.0,2,20,0.5433404170034919
90.0,0,20,0.5005181669985177
0.0,0,40,0.6654711250012042
90.0,0,0,0.5042198750015814
0.0,0,20,0.5825235410011373
0.0,2,20,0.6564387910038931
90.0,0,10,0.5386797079991084
90.0,2,30,0.5335752090031747
90.0,0,20,0.502279708001879
90.0,2,30,0.4855765410029562
90.0,2,20,0.4318771249963902
0.0,2,10,0.4898107499902835
0.0,2,30,0.5211939160071779
0.0,0,10,0.48473554100201
90.0,2,40,0.47424362499441486
0.0,0,30,0.5675031249993481
90.0,2,10,0.4499804169900017
0.0,0,40,0.5285083339986159
0.0,0,0,0.5116089160001138
90.0,0,30,0.5002767499972833
90.0,2,10,0.49978395900689065
0.0,2,30,0.5315509579959325
0.0,0,0,0.49166824998974334
90.0,0,40,0.5059766659978777
90.0,0,40,0.6275392919924343
0.0,0,40,0.5616407079942292
0.0,2,30,0.6375843749992782
0.0,2,0,0.47406783400219865
90.0,0,10,0.4020181249943562
90.0,2,30,0.5223969169892371
0.0,0,20,0.5152700829930836
90.0,2,20,0.4574745419959072
90.0,2,30,0.44254808299592696
90.0,0,10,0.42919704200176056
90.0,0,30,0.423823082994204
90.0,0,10,0.3953195000067353
90.0,0,30,0.45726837500114925
90.0,0,30,0.46282337499724235
90.0,2,40,0.4679982910020044
0.0,0,40,0.4526746249903226
0.0,0,10,0.4678302079992136
90.0,0,30,0.4458171249862062
90.0,2,0,0.4966956249991199
0.0,2,10,0.5129804589960258
90.0,2,0,0.39679087499098387
90.0,2,0,0.4035950830002548
0.0,2,40,0.4502800420013955
