Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,15,0.9234677260028548
0.0,0,35,0.42575393200240796
0.0,0,20,0.3310070209990954
0.0,2,15,0.3248262670022086
0.0,2,15,0.2659964300037245
0.0,0,40,0.46590546099469066
0.0,2,10,0.31769946099666413
0.0,0,15,0.44404350200056797
0.0,0,25,0.3133752169960644
0.0,0,0,0.2804303219963913
0.0,2,30,0.2873434989960515
0.0,2,10,0.28854851399955805
0.0,0,35,0.26567108999734046
0.0,0,15,0.33685125099873403
0.0,2,25,0.31976647300325567
0.0,0,25,0.3310669409984257
0.0,2,20,0.33715645100164693
0.0,2,15,0.3247587029982242
0.0,2,10,0.3573453610006254
0.0,0,5,0.2988058539995109
0.0,0,15,0.3216668119930546
0.0,0,0,0.33273584400012624
0.0,2,25,0.44973960099741817
0.0,0,10,0.32506567100062966
0.0,0,30,0.30578062599670375
0.0,0,5,0.2722757079973235
0.0,2,5,0.3042155980001553
0.0,2,25,0.34592534699913813
0.0,0,35,0.30142132900073193
0.0,0,10,0.36636610200366704
0.0,2,5,0.31070659900433384
0.0,0,5,0.43073407700285316
0.0,0,40,0.32368668799608713
0.0,0,20,0.3191327249951428
0.0,0,10,0.31300652000209084
0.0,2,25,0.3669338629988488
0.0,0,15,0.29264770499867154
0.0,2,25,0.3052992119992268
0.0,0,15,0.3019799379981123
0.0,2,35,0.30033960100263357
0.0,0,5,0.3190422560001025
0.0,2,20,0.3051471520011546
0.0,2,35,0.33210099199641263
0.0,2,0,0.2907838829996763
0.0,2,5,0.34153359400079353
0.0,2,0,0.3120524900004966
0.0,2,40,0.28638279699953273
0.0,0,10,0.3441919010001584
0.0,2,20,0.2691069869979401
0.0,2,20,0.34108424699661555
0.0,2,15,0.3524792430034722
0.0,2,5,0.328290860998095
0.0,2,5,0.3098184129994479
0.0,0,35,0.28893247499945574
0.0,0,10,0.2899230870025349
0.0,0,35,0.3318233439931646
0.0,0,10,0.323217447999923
0.0,2,30,0.3335010919981869
0.0,0,40,0.3177360499976203
0.0,2,5,0.3143861150019802
0.0,2,30,0.31979819900152506
0.0,0,30,0.32394500699592754
0.0,0,30,0.320174421001866
0.0,2,40,0.311553712002933
0.0,0,20,0.34295084699988365
0.0,2,5,0.30246725500182947
0.0,2,20,0.34549794499616837
0.0,2,30,0.30498330100090243
0.0,0,25,0.33065854699816555
0.0,0,25,0.3344411770012812
0.0,0,35,0.48478359999717213
0.0,0,30,0.31666437500098255
0.0,0,35,0.32329887600644724
0.0,0,40,0.2748072129979846
0.0,0,0,0.12367349999840371
0.0,2,40,0.28203640800347785
0.0,0,25,0.2987457000053837
0.0,2,30,0.2986587370032794
0.0,2,35,0.3183946669960278
0.0,0,40,0.29941792699537473
0.0,0,25,0.29539895900234114
0.0,0,5,0.32192265100457007
0.0,0,10,0.33522935200016946
0.0,0,30,0.3149109590012813
0.0,0,0,0.29132790899893735
0.0,2,30,0.04141197600256419
0.0,2,25,0.2831354049994843
0.0,2,40,0.005388115998357534
0.0,2,35,0.31823033000546275
0.0,2,30,0.35488649900071323
0.0,2,35,0.2767337480036076
0.0,2,0,0.3527626849972876
0.0,0,15,0.29372100200271234
0.0,0,25,0.302056234999327
0.0,0,20,0.2992693150008563
0.0,0,20,0.3111561710029491
0.0,2,10,0.3021341220010072
0.0,0,30,0.35520001799886813
0.0,2,30,0.3368083370005479
0.0,0,35,0.353917153996008
0.0,0,10,0.28856126299797324
0.0,2,0,0.30279124800290447
0.0,2,10,0.3996465710006305
0.0,2,0,0.321325771001284
0.0,0,0,0.3079884049948305
0.0,0,15,0.3297860689999652
0.0,0,30,0.44222870300291106
0.0,2,15,0.2785097230007523
0.0,2,10,0.2907281329971738
0.0,2,15,0.3046291380014736
0.0,0,5,0.3297103500008234
0.0,0,5,0.28080708000197774
0.0,0,10,0.2867433950013947
0.0,0,20,0.35930723899946315
0.0,0,15,0.3249017390044173
0.0,2,20,0.32090067899844144
0.0,2,5,0.2978384849993745
0.0,2,10,0.3020766990011907
0.0,2,40,0.29721181499917293
0.0,0,25,0.3023023369969451
0.0,2,15,0.30583627200394403
0.0,2,20,0.31189219299994875
0.0,2,40,0.3006327679977403
0.0,0,5,0.3497681119988556
0.0,2,35,0.33314627499930793
0.0,2,15,0.30958721600472927
0.0,2,40,0.3264671970027848
0.0,0,15,0.34941260799678275
0.0,0,40,0.3546022889931919
0.0,2,5,0.3307325639980263
0.0,0,30,0.32044233399938093
0.0,2,0,0.3171521549957106
0.0,2,0,0.30580926800030284
0.0,2,35,0.3193328140041558
