Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,5,0.6064029620029032
0.0,0,15,0.6403075019989046
45.0,2,40,0.6475081289972877
45.0,0,30,0.5915636569989147
0.0,0,15,0.5874675680024666
90.0,0,40,0.7628137959982269
45.0,2,35,0.6326681110003847
90.0,0,35,0.6674112909968244
45.0,0,35,0.6151525969980867
90.0,0,30,0.5565533679982764
0.0,0,20,0.7174706689984305
0.0,0,40,0.7484597759976168
0.0,2,35,0.5877807830038364
0.0,0,40,0.5867487720024656
90.0,2,35,0.5719244310021168
45.0,2,40,0.5518071690021316
0.0,0,5,0.5548597199958749
0.0,0,40,0.5826958329998888
90.0,2,30,0.6065810630025226
45.0,0,35,0.5356508170007146
0.0,0,5,0.6273497279980802
45.0,2,35,0.5691100340045523
0.0,2,30,0.5976682280015666
90.0,2,0,0.7765323290004744
90.0,0,35,0.5895514779986115
0.0,2,15,0.6249173110045376
0.0,2,30,0.5483617119971314
45.0,2,20,0.5038518159999512
45.0,0,10,0.4750982589976047
90.0,2,25,0.5958895069998107
45.0,2,25,0.5356131759981508
0.0,0,30,0.5280923879981856
90.0,2,20,0.6257004889994278
0.0,0,20,0.5952494819939602
0.0,0,0,0.45636422100506024
0.0,0,25,0.5387557599970023
90.0,2,10,0.5932631060059066
45.0,2,30,0.5241333470039535
0.0,0,40,0.6465468059977866
45.0,0,30,0.553449040002306
90.0,2,0,0.5271163099969272
45.0,0,0,0.5432599470004789
0.0,2,15,0.6943835649944958
45.0,0,5,0.44811315200058743
90.0,2,40,0.6885429200046929
0.0,0,15,0.5486296870003571
90.0,0,10,0.5597125069980393
0.0,0,25,0.5285718119994272
90.0,0,0,0.4940614170045592
45.0,0,25,0.5087592900017626
45.0,2,10,0.4935676710010739
90.0,0,10,0.5556572980058263
45.0,0,0,0.5618080330023076
90.0,0,35,0.6916531730021234
0.0,0,25,0.6023010209974018
0.0,0,30,0.5949253689977922
45.0,0,10,0.5026281680038664
45.0,2,0,0.5032423119992018
45.0,0,30,0.5037252299953252
90.0,0,40,0.5993304120056564
45.0,2,10,0.5931884389938205
90.0,0,40,0.6187579830002505
45.0,2,20,0.5523545329997432
45.0,2,30,0.5960415430017747
45.0,2,30,0.5560613439956796
90.0,2,15,0.5301868809983716
0.0,2,25,0.49592318599752616
90.0,2,30,0.5393295610047062
45.0,0,0,0.47598409299826017
90.0,2,0,0.6312212719931267
90.0,0,25,0.6472151260022656
90.0,2,10,0.568515897000907
45.0,0,5,0.543953562999377
90.0,2,40,0.6881461899974965
45.0,2,20,0.5842147190051037
0.0,0,5,0.5495280159957474
0.0,0,10,0.5582366210001055
0.0,2,20,0.5330126100016059
90.0,0,40,0.5690407740039518
45.0,0,35,0.6220376269993722
45.0,0,20,0.4858649589950801
45.0,0,15,0.5935546760010766
90.0,2,25,0.5950743020002847
45.0,2,40,0.680496241999208
90.0,0,35,0.6047269640039303
0.0,2,30,0.5619079470052384
90.0,2,15,0.5231612080024206
90.0,2,40,0.663698056996509
45.0,2,40,0.5396174429988605
45.0,2,25,0.5732115589999012
45.0,0,5,0.5842815520009026
0.0,0,20,0.6386798060048022
0.0,0,5,0.5202864250022685
90.0,0,15,0.5198630099985166
0.0,2,20,0.6265099419979379
90.0,2,10,0.6065740229969379
0.0,0,40,0.5644559329957701
45.0,2,35,0.6194175409982563
45.0,0,20,0.5069524040009128
0.0,0,0,0.597297020998667
90.0,0,35,0.5572630440001376
90.0,2,15,0.5522476170008304
90.0,2,5,0.5210132470019744
45.0,2,30,0.49363990900019417
45.0,2,35,0.5818993570064777
45.0,2,15,0.5119891819995246
45.0,2,35,0.5193715069981408
45.0,2,10,0.46854192000319017
45.0,0,0,0.4497287190024508
45.0,0,0,0.44988600900251186
90.0,0,15,0.5257531269962783
45.0,0,30,0.5330555139953503
45.0,2,25,0.4817945559989312
90.0,2,10,0.4778790319978725
90.0,2,5,0.5247508700049366
90.0,0,30,0.5428750979990582
90.0,2,0,0.46401845999935176
0.0,0,10,0.6590347689998453
0.0,2,30,0.4821623690004344
90.0,0,25,0.5007291529982467
90.0,2,0,0.43761383699893486
90.0,0,25,0.5276165690011112
90.0,2,0,0.43550406599388225
0.0,2,5,0.5238653750056983
0.0,2,40,0.6000880700012203
90.0,2,5,0.5101478669967037
0.0,0,25,0.5868287929988583
0.0,0,20,0.5646580209941021
90.0,0,30,0.6120701679974445
45.0,2,15,0.506956204000744
90.0,2,15,0.599600241999724
90.0,0,10,0.605775955998979
90.0,0,25,0.5625373549992219
90.0,2,25,0.54475020999962
45.0,0,40,0.5406461249949643
0.0,0,0,0.5631886600021971
90.0,0,10,0.5148714370006928
90.0,2,35,0.7425271140018594
45.0,2,5,0.5743342540008598
90.0,0,20,0.5153923040052177
45.0,2,15,0.5487090020033065
45.0,0,15,0.5723933240005863
90.0,2,5,0.4808288510030252
45.0,0,25,0.5528047349944245
90.0,0,15,0.5330881370027782
90.0,2,25,0.6093801030001487
45.0,2,20,0.5444842540018726
0.0,0,15,0.6565746509950259
90.0,0,10,0.5075599359988701
90.0,0,10,0.5817954820013256
90.0,2,35,0.7542805989942281
0.0,0,20,0.6416542169972672
45.0,0,35,0.6926545550013543
45.0,2,20,0.5080489440006204
90.0,0,15,0.5433420260014827
0.0,2,10,0.5731452079999144
0.0,0,5,0.6634408829995664
90.0,2,20,0.6590930060046958
45.0,2,0,0.5986476070029312
0.0,0,20,0.6462667810046696
45.0,2,10,0.5471212089978508
0.0,2,40,0.5525269579957239
45.0,2,5,0.49212720499781426
0.0,2,20,0.628816165997705
0.0,2,35,0.5898938099999214
0.0,2,25,0.4421108480019029
0.0,0,5,0.4698948750010459
0.0,2,40,0.5316983390002861
0.0,2,5,0.5022495180019177
0.0,2,15,0.4505397909961175
0.0,0,20,0.4839947229993413
0.0,2,25,0.5124841680008103
0.0,0,35,0.48105547000159277
0.0,0,5,0.4105563519988209
45.0,0,0,0.518557677998615
0.0,2,10,0.5174683959994582
45.0,2,0,0.39787351000268245
90.0,0,30,0.6586093799996888
45.0,2,5,0.5057925479995902
45.0,2,0,0.4307813389968942
