Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,40,0.622709246003069
90.0,2,35,0.6362709450040711
90.0,2,20,0.5411959979974199
90.0,0,25,0.49378197499754606
90.0,2,0,0.532604812993668
0.0,2,0,0.4632517400023062
90.0,0,40,0.5443611719965702
90.0,0,40,0.6557642780026072
90.0,0,30,0.6135119710015715
0.0,0,35,0.5795830810020561
90.0,0,20,0.5047548250004184
90.0,2,25,0.6453655580044142
0.0,2,20,0.6287735930018243
90.0,2,0,0.45810899500065716
90.0,2,40,0.62322736299393
0.0,2,0,0.5740931630061823
0.0,2,35,0.7097997349992511
90.0,2,40,0.5889452980045462
90.0,0,25,0.5167556460000924
0.0,2,10,0.5961387770003057
0.0,2,30,0.45058533700648695
90.0,0,30,0.5476443619991187
0.0,2,5,0.5797696049994556
90.0,0,0,0.5121425420002197
0.0,2,40,0.6284107630053768
0.0,0,0,0.4550370720025967
90.0,2,15,0.4883177129959222
0.0,0,40,0.6189838139980566
0.0,0,15,0.5619015439951909
90.0,2,15,0.5496940680022817
90.0,0,20,0.5359771889998228
0.0,0,10,0.46152029600489186
0.0,2,35,0.6985399730037898
0.0,2,40,0.4910831410015817
90.0,2,15,0.5977389160034363
90.0,0,5,0.5394764469965594
0.0,2,25,0.5458013509996817
90.0,0,40,0.6271035579993622
90.0,2,20,0.6364880080000148
90.0,2,5,0.4966778589950991
0.0,0,5,0.4999335250031436
0.0,0,35,0.7681090799960657
90.0,0,15,0.5055926689965418
90.0,0,25,0.7092047580008511
0.0,2,5,0.6383959079976194
90.0,0,10,0.5830805439982214
0.0,0,5,0.5139318980000098
90.0,0,15,0.5627189240040025
90.0,2,40,0.627561784000136
0.0,0,20,0.5437285489970236
90.0,0,5,0.45920267500332557
90.0,0,30,0.56195480000315
0.0,0,30,0.5500736190006137
0.0,0,35,0.5951573280035518
90.0,0,25,0.5142847960014478
0.0,2,30,0.6109550960027263
0.0,0,10,0.5098414640015108
90.0,2,30,0.5577359439994325
90.0,2,25,0.5414302889985265
90.0,0,25,0.5328916889993707
0.0,0,5,0.5673357330015278
0.0,0,35,0.5968718790027197
0.0,0,10,0.5685643569959211
90.0,2,40,0.5545419920017594
0.0,0,30,0.52431651900406
90.0,0,35,0.4850627460036776
0.0,2,25,0.6244021150050685
0.0,2,25,0.551066369000182
0.0,2,35,0.6168923840014031
0.0,2,20,0.5989970549999271
90.0,0,10,0.46881982999912
90.0,2,30,0.5742563650055672
0.0,2,0,0.5125731410007575
90.0,0,25,0.6126593970038812
90.0,0,15,0.5631213870001375
0.0,2,0,0.4915346479974687
90.0,2,5,0.5587120309937745
0.0,0,15,0.5215723410001374
0.0,2,20,0.6550057790009305
0.0,2,35,0.5141089409953565
0.0,0,40,0.5824908729991876
0.0,0,20,0.503090935999353
0.0,2,15,0.45623345299827633
0.0,0,0,0.40493298300134484
0.0,0,20,0.46859095199761214
0.0,0,25,0.44943849999981467
90.0,0,0,0.5011404750039219
0.0,2,25,0.48394842500420054
90.0,2,0,0.4328729339977144
0.0,0,0,0.4323828919950756
0.0,2,15,0.5253137580002658
0.0,0,30,0.5447537130021374
90.0,0,35,0.5390167660007137
0.0,0,10,0.47442557600152213
90.0,2,40,0.6450054250017274
90.0,0,30,0.5953135669988114
0.0,0,20,0.5283228799962671
90.0,2,25,0.5238307990002795
0.0,0,15,0.49893716299993685
90.0,2,20,0.5153788829993573
0.0,0,10,0.5251130009928602
0.0,0,30,0.5239108710011351
90.0,2,0,0.49975646899838466
0.0,2,40,0.5713730760035105
90.0,2,30,0.6645576560040354
0.0,2,35,0.6446786099986639
90.0,2,25,0.6136887850007042
0.0,2,5,0.4968414210015908
90.0,2,15,0.5755764569985331
0.0,2,30,0.7183530320035061
90.0,0,5,0.5110187489990494
90.0,2,10,0.59027916299965
0.0,0,10,0.48227532600139966
90.0,0,0,0.4989710860027117
90.0,2,25,0.56513545299822
90.0,0,35,0.4899377289984841
90.0,0,15,0.51026996300061
90.0,2,40,0.5888494930040906
90.0,0,15,0.5334664280017023
90.0,0,20,0.45800444599444745
90.0,0,0,0.4438374230012414
90.0,0,25,0.5749274489935488
90.0,2,10,0.49523615799989784
0.0,0,0,0.5441708359940094
0.0,0,25,0.667426299994986
0.0,2,15,0.5369191439967835
0.0,0,30,0.47921668200433487
90.0,2,30,0.6111729539989028
0.0,0,40,0.5628332729975227
0.0,2,40,0.5968991310001002
0.0,2,10,0.46596187700197333
0.0,0,10,0.4866124350010068
90.0,2,10,0.5130319829986547
0.0,0,15,0.5006358429964166
90.0,2,10,0.4698515909985872
90.0,0,15,0.4827606399994693
90.0,0,40,0.5893980919936439
0.0,2,30,0.5544345310045173
0.0,2,15,0.5332038850028766
90.0,2,15,0.4724844550000853
90.0,0,5,0.449370991998876
0.0,2,35,0.6452305679995334
90.0,2,0,0.5221307329993579
0.0,0,20,0.5462978760042461
90.0,0,20,0.5646302380046109
90.0,2,25,0.5632403840063489
0.0,2,20,0.5840681709960336
90.0,0,10,0.40866871800244553
90.0,2,5,0.5184412509988761
90.0,2,0,0.4340758319958695
90.0,0,5,0.4662187170033576
90.0,2,10,0.47421183999540517
0.0,2,5,0.470105872998829
0.0,0,20,0.577776736994565
90.0,0,30,0.5500194859996554
90.0,0,40,0.5106451360043138
90.0,2,35,0.5712437530019088
0.0,0,5,0.4786420860036742
0.0,2,15,0.5993019199959235
0.0,2,10,0.5600348049993045
90.0,2,20,0.4898354589968221
90.0,2,10,0.5052844290039502
0.0,2,5,0.47418416300206445
0.0,2,5,0.4527318020045641
0.0,2,10,0.45213455500197597
0.0,2,20,0.4715105159993982
90.0,2,35,0.5748223400005372
0.0,2,30,0.5667131199952564
90.0,2,5,0.5987735359958606
90.0,0,35,0.6607192340015899
0.0,2,20,0.49683275500137825
0.0,0,0,0.4545491540047806
0.0,0,40,0.6263234720026958
90.0,0,5,0.5619647700004862
0.0,2,35,0.6640883220024989
90.0,0,25,0.6888170980018913
0.0,0,35,0.5967225329950452
90.0,2,30,0.5471735809987877
0.0,0,0,0.5022238300007302
0.0,0,35,0.6555580549975275
