Face,Direction,Eccentricity,Reaction Time (s)
7,0,0,0.3316648969994276
7,0,25,0.2970238749985583
7,2,15,0.30411216100037564
7,0,35,0.4041378710007848
7,2,35,0.4619079629992484
7,2,30,0.29332111999974586
7,0,25,0.27584734199990635
7,2,15,0.3065062180012319
7,2,25,0.29718593299912754
7,0,20,0.3245350659999531
7,0,0,0.3297292370007199
7,2,15,0.3077826369990362
7,2,40,0.3689447979995748
7,0,10,0.28928277300110494
7,0,35,0.2985768319995259
7,2,35,0.32407489100114617
7,2,15,0.3003667770008178
7,2,15,0.30738014800044766
7,2,0,0.33721419500034244
7,0,0,0.1994709939990571
7,0,35,0.3469704580002144
7,0,25,0.2817110890009644
7,2,0,0.3219091410010151
7,0,10,0.279131586999938
7,2,0,0.19778497900006187
7,0,35,0.23003711799901794
7,0,0,0.2697539170003438
7,2,40,0.30718930900002306
7,2,10,0.2647580549983104
7,0,10,0.21648329500021646
7,0,5,0.2893497990007745
7,2,15,0.31011504500020237
7,0,40,0.2462907239987544
7,2,20,0.27978663300018525
7,2,40,0.31818791600016993
7,2,35,0.3429272180001135
7,0,25,0.26370906100055436
7,2,20,0.32958666999911657
7,0,20,0.28883235300054366
7,0,30,0.1910247249998065
7,0,0,0.28378774900011194
7,2,15,0.3032878909998544
7,2,30,0.33252194600026996
7,0,30,0.33371693899971433
7,0,30,0.2938117610010522
7,2,30,0.22807381299935514
7,0,40,0.2900138679997326
7,2,10,0.3014940800003387
7,0,30,0.30342084800031444
7,2,35,0.34912479000013263
7,2,35,0.3108579820000159
7,0,40,0.32043286000043736
7,2,0,0.3160444080003799
7,2,5,0.3669181330005813
7,2,35,0.3493490679993556
7,2,30,0.32818189399949915
7,2,35,0.2866624779999256
7,0,40,0.3369941809996817
7,0,10,0.33398566800133267
7,0,5,0.3018769300015265
7,0,0,0.29205165399980615
7,0,25,0.32311228300022776
7,2,5,0.2977169559999311
7,2,10,0.31021020700063673
7,0,5,0.2838656340009038
7,0,20,0.28729802099951485
7,0,10,0.28739875099927303
7,0,5,0.29248358699987875
7,2,10,0.277579464000155
7,0,0,0.25622465500055114
7,2,5,0.31037923700023384
7,0,25,0.3281958179995854
7,0,30,0.3293736630002968
7,2,20,0.21252280299995618
7,2,10,0.29187908499989135
7,2,40,0.38556523700026446
7,0,20,0.31580112200026633
7,2,5,0.3188048880001588
7,0,25,0.31515692100037995
7,0,15,0.2573486370001774
7,0,10,0.4699252909995266
7,2,10,0.2857738979982969
7,0,40,0.326560284000152
7,0,40,0.3238612599998305
7,2,40,0.3066934130001755
7,0,5,0.3187713330007682
7,2,0,0.329762708999624
7,0,30,0.24844074700013152
7,2,20,0.3140264690009644
7,0,15,0.3485566679992189
7,2,25,0.4220300060005684
7,2,25,0.3475379299998167
7,0,5,0.3235342980005953
7,0,15,0.3120578630005184
7,0,20,0.3231318759990245
7,2,5,0.3438869210003759
7,2,35,0.2871451930004696
7,2,0,0.2932441270004347
7,0,40,0.22981307199916046
7,0,20,0.23734803300067142
7,0,20,0.0034839079999073874
7,0,15,0.18225841100138496
7,2,5,0.3103162150000571
7,2,25,0.27173372200013546
7,2,25,0.3364931130017794
7,2,10,0.32364763999976276
7,0,0,0.3193761820002692
7,2,10,0.3124183489999268
7,0,5,0.32625008700051694
7,0,20,0.32693236300110584
7,2,5,0.33997067699965555
7,2,30,0.3564700629995059
7,2,0,0.34001646200158575
7,0,35,0.4874913370003924
7,0,0,0.2595409950008616
7,2,15,0.30740610099928745
7,2,25,0.3162022510005045
7,2,20,0.29608718900090025
7,2,40,0.3099108360001992
7,0,25,0.2943235419988923
7,0,20,0.32940775399947597
7,0,40,0.5609810149999248
7,2,35,0.35525642699940363
7,0,30,0.5570071720012493
7,2,20,0.6153769930006092
7,2,30,0.3459855700002663
7,0,10,0.37189385399869934
7,0,35,0.5131731159999617
7,2,15,0.41929527600041183
7,2,40,0.32426266400034365
7,2,0,0.4956037659994763
7,0,10,0.46174396599963075
7,2,40,0.24147772200012696
7,2,25,0.39286943200022506
7,2,5,0.3414674930008914
7,2,10,0.3177736840007128
7,0,30,0.30552651500147476
7,2,15,0.34392975499940803
7,0,35,0.31757046500024444
7,0,20,0.41156018000037875
7,2,20,0.3852555850007775
7,0,15,0.35382956600005855
7,0,15,0.1780862169998727
7,2,25,0.30990968699916266
7,2,30,0.1393682110010559
7,0,15,0.3009900329998345
7,2,35,0.2917837880013394
7,0,25,0.38849447700158635
7,0,25,0.3419696450000629
7,0,15,0.31687268699897686
7,2,25,0.42174157600129547
7,0,10,0.2900799929993809
7,2,40,0.3021849310007383
7,2,25,0.3214212389993918
7,2,10,0.31696613200074353
7,0,30,0.3069653960010328
7,2,40,0.4824473169992416
7,0,15,0.30673794799986354
7,0,5,0.3311929589999636
7,0,30,0.2745579019992874
7,0,10,0.2690025739993871
7,0,40,0.25065446000007796
7,0,0,0.25152836500092235
7,0,40,0.31215309999970486
7,2,20,0.44893081299960613
7,0,35,0.15214603099957458
7,2,20,0.30164728700037813
7,2,5,0.20640645599996787
7,0,35,0.29079256399927544
7,2,0,0.3111587459989096
7,2,30,0.25513027499982854
7,2,5,0.3107611960003851
7,0,5,0.28230787700158544
7,2,0,0.2926611420007248
7,2,20,0.3100056700004643
7,0,5,0.13053370999841718
7,0,15,0.26925567599937494
7,0,35,0.2884627819985326
7,2,30,0.021151110999198863
7,2,30,0.258951268000601
