Face,Direction,Eccentricity,Reaction Time (s)
13,2,30,0.6496989259994734
15,0,35,0.6711236709998047
15,2,20,0.6437472849993355
15,0,35,0.6492641370005003
13,2,15,0.6465756029992917
17,0,10,0.6753553359994839
15,2,0,0.5667075219998878
17,0,10,0.6964113759995598
13,0,20,0.8052643480004917
13,2,35,0.7272785470004237
15,2,15,0.7758002059999853
13,2,10,0.7421684490000189
17,2,35,0.7338437429998521
13,0,40,0.8648813420004444
17,0,40,0.7673965499998303
13,0,30,0.76303508699948
13,2,15,0.6957815880005
15,0,35,0.7042179979998764
17,2,25,0.7461208630002147
17,0,40,0.6975186249992475
17,0,30,0.624179481000283
17,2,5,0.5485310100002607
13,0,20,0.7756463890000305
13,2,0,0.5169076819993279
15,0,5,0.5980878239997764
15,0,10,0.6772480469999209
13,2,25,0.6769665140000143
15,2,0,0.5700651070001186
17,0,15,0.5814412270001412
17,0,0,0.5431497670006138
13,0,15,0.6239855659996465
13,2,20,0.6060257319995799
17,2,30,0.8582999110003584
13,0,25,0.638965081000606
17,0,5,0.5882300289995328
17,0,5,0.6766801869998744
13,0,25,0.7227737149996756
13,2,40,0.74137669799984
15,0,40,0.7096309499993367
15,2,5,0.6198146270007783
17,2,35,0.8599846950000938
17,0,10,0.6105620220005221
13,0,0,0.5795162730000811
17,2,30,0.7013775510004052
15,2,40,0.8277939089994106
13,2,5,0.5876631189994441
17,2,20,0.6033487450004031
13,2,20,0.6531390809996083
15,0,30,0.6634194500002195
15,0,30,0.6615323759997409
15,0,35,0.6277884519995496
17,2,15,0.6834166440003173
15,2,30,0.6008286369997222
13,0,0,0.5629469019995668
15,0,5,0.6923653509993528
17,2,15,0.7021255620002194
17,2,5,0.6686419040006513
15,0,25,0.6471949730002962
15,2,10,0.7081448480003019
15,0,35,0.5951260849997198
17,0,0,0.5564441599999554
13,0,40,0.8038899889997992
17,2,10,0.7021293220004736
17,0,15,0.6784699439995165
13,2,0,0.6369482860000062
15,2,0,0.749311956999918
13,2,0,0.5480564069994216
17,0,5,0.6069187190005323
15,0,15,0.5696596030002183
17,2,30,0.7926860120005585
15,2,25,0.7798023679997641
13,0,25,0.618667266000557
17,0,5,0.5968777750003937
15,2,40,0.9581486440001754
17,0,20,0.7771935909995591
17,2,20,0.8814994679996744
17,2,10,0.752567507999629
15,2,25,0.6516304110000419
13,0,40,0.8139463790002992
13,2,30,0.6555093510005463
15,0,15,0.6662111820005521
13,0,20,0.6350445670004774
15,2,15,0.6019033140000829
17,0,35,0.8472230759998638
15,0,30,0.6304802750000817
15,0,0,0.6138130109993654
15,0,35,0.7542424169996593
17,2,0,0.5408279470002526
17,2,10,0.8142877099999168
15,0,0,0.5918843919998835
13,2,30,0.729043719999936
17,2,15,0.7134379819999594
15,0,10,0.7087399110005208
15,2,0,0.5660313829994266
15,2,15,0.6872429979994195
13,0,5,0.6669747500000085
17,2,10,0.649906462999752
13,2,0,0.6200145230004637
15,0,25,0.6977617079992342
17,2,25,0.7121025329997792
13,2,5,0.6082991850007602
15,0,25,0.5703244609994726
17,2,35,0.6025050219996047
13,0,10,0.5326389110005039
13,0,20,0.5673839800001588
13,0,15,0.6015510829993218
17,2,30,0.5942163540003094
15,0,20,0.7605433029993947
15,2,35,0.6430197179997776
13,0,0,0.5251456219993997
13,2,10,0.5248148629998468
15,0,10,0.5841216870003336
15,2,15,0.6524351920006666
13,2,5,0.6175621309994312
17,0,30,0.5868007720000605
15,2,20,0.6138088369998513
15,2,35,0.869624880999254
13,0,20,0.5172296450000431
13,2,35,0.5575051890000395
17,0,15,0.7620296530003543
15,2,5,0.5901768139992782
15,0,20,0.7071523259992318
13,0,25,0.7020762310003192
17,0,35,0.8736041249994742
15,2,40,0.7850185389997932
17,0,30,0.7526860379994105
13,0,30,0.7482039239994265
17,0,15,0.6671865090002029
15,2,25,0.6289475260000472
13,0,10,0.579508151000482
15,0,10,0.6716470609999305
13,2,40,0.6524197179996918
15,0,0,0.5865107730005548
13,0,40,0.6585179399999106
15,0,15,1.1595963770005255
13,2,20,0.8124698409992561
15,2,20,0.6260099640003318
15,2,10,0.5443343729994012
13,2,0,0.5610518240000602
15,0,0,0.6019059319996813
13,0,25,0.6849250719997144
13,2,5,0.6008793190003416
15,2,40,0.7308953450001354
13,0,0,0.6478429360004156
17,2,25,0.5759872079997876
13,0,25,0.6735866190001616
15,0,20,0.6651310910001484
17,0,40,0.7155649739997898
17,2,20,0.6379326670003138
15,0,35,0.6055018559991368
13,0,15,0.7588178429996333
15,0,30,0.6531418390004546
17,2,25,0.6915430999997625
13,0,5,0.6170824419996279
17,0,5,0.5787084749999849
15,2,35,0.7053424559999257
13,2,20,0.6404730350004684
15,2,5,0.5875195870003154
13,2,35,0.690844196999933
13,2,40,0.7160107179997794
13,2,15,0.6520396770001753
13,2,10,0.6011256540004979
15,2,35,0.6437330859998838
15,2,40,0.7409949579996464
17,2,30,0.7108813439999722
15,2,40,0.7168710589994589
15,0,35,0.6268880179995904
15,2,25,0.6322232940001413
17,0,5,0.5909770299995216
15,2,25,0.6748629679996156
17,0,30,0.8368178459995761
15,0,40,0.6154673990004085
13,2,40,0.7961694310006351
13,0,20,0.6724785920005161
13,2,10,0.6723103050007921
17,2,5,0.5959918939997806
17,0,40,0.5767438740003854
15,0,10,0.6799945269995078
17,0,25,0.6157477840006322
17,2,30,0.4375507309996465
