Face,Direction,Eccentricity,Reaction Time (s)
19,2,5,0.7113366939993284
23,2,25,0.7010894439990807
21,2,25,0.6793086159996164
19,2,10,0.6417045640009746
21,2,30,0.794934851999642
23,2,15,0.6283266900009039
21,2,30,0.7757536290009739
19,0,25,0.598012832000677
21,2,0,0.5857852419994742
23,2,20,0.6450703589998739
21,2,35,0.7117824590004602
19,0,25,0.727645216999008
21,2,25,0.865168881999125
21,2,25,0.6726775700008147
23,0,35,0.7107977140003641
23,2,0,0.6584232860004704
23,2,0,0.6682541190002667
21,2,0,0.7892600929990294
21,2,10,0.6030737860000954
21,2,40,0.7358033710006566
21,0,10,0.6470590190001531
21,2,10,0.5906905369993183
23,0,0,0.6700047060003271
19,2,35,0.672690239000076
19,2,35,0.6772712439997122
23,0,10,0.504359321001175
23,2,15,0.5887490149998484
19,0,20,0.7065709959988453
23,2,10,0.5242406360011955
23,2,20,0.5672727529999975
23,2,40,0.7588213399994856
19,0,15,0.8165418799999316
19,0,30,0.7874901200011664
23,2,30,0.5968305749993306
19,2,5,0.6501113119993533
21,0,5,0.740795061999961
19,2,40,0.8098891310000909
19,2,5,0.5986468420014717
21,2,20,0.6286867649996566
19,0,5,0.6000811980011349
19,0,15,0.6671077129994956
19,0,20,0.572507589999077
19,0,40,0.6269222139999329
23,0,35,0.6893029229995591
23,0,10,0.4957607400010602
19,0,35,0.616532976999224
21,0,5,0.5200102740000148
21,2,15,0.5528794749989174
21,0,15,0.581036020999818
19,0,15,0.5975237619986729
23,0,10,0.6314823880002223
19,2,30,0.6074530819987558
21,2,40,0.633829626998704
21,0,0,0.5372357959986402
19,0,25,0.6772870879995025
19,0,0,0.6342015299997001
19,0,40,0.7936072659995261
19,2,20,0.6106754569991608
23,0,35,0.7159911380003905
21,0,30,0.7217914329994528
21,0,35,0.73781292700005
19,0,0,0.6060055459984142
23,0,10,0.656782411999302
21,2,25,0.6896024039997428
19,2,20,0.6796240300009231
23,2,0,0.5925780679990567
23,2,35,0.6749657969994587
23,0,0,0.5278589890003786
19,2,15,0.7200208379999822
23,0,10,0.7651841200004128
21,0,5,0.6321723830005794
19,2,35,0.6327748029998475
21,2,35,0.8340071690017794
23,0,40,0.6480404580015602
23,0,20,0.6999624510008289
21,0,15,0.6714780000002065
21,0,40,0.7649278829994728
23,2,10,0.5884111550003581
21,0,25,0.6875159610008268
23,2,20,0.8233340179995139
21,2,30,0.6666966800003138
21,2,25,0.7212920669990126
19,2,35,0.7498825540005782
19,0,30,0.7013827569990099
19,0,40,0.6125523210012034
23,2,40,0.7834706009998627
19,2,10,0.6777052739998908
21,0,15,0.6114270079997368
23,2,15,0.6374504889990931
23,0,20,0.599993997000638
23,0,30,0.762009111000225
23,2,5,0.5480771499987895
21,2,0,0.6999016129993834
19,0,20,0.805742023001585
19,0,25,0.8384253479998733
19,0,10,0.5790575400005764
21,0,30,0.7265165770004387
21,0,5,0.6085136870005954
21,2,15,0.5826403800001572
23,0,5,0.6246800160006387
19,2,20,0.661401057999683
21,2,40,0.7010648289997334
21,2,5,0.746296067000003
23,2,5,0.656381765000333
23,0,5,0.7190677010003128
23,2,30,0.7082285420001426
21,0,20,0.65142798800116
23,2,35,0.7043137390010088
23,0,35,0.6609759189996112
23,2,20,0.5956126340006449
21,0,30,0.6836750179991213
23,0,25,0.677483397999822
21,2,10,0.7108430130010674
21,2,40,0.8084142809984769
21,2,25,0.61841973799892
23,0,30,0.6576895709986275
19,0,40,0.7018132020002668
19,0,25,0.5721477839997533
23,2,10,0.5648160140008258
19,2,30,0.565435559999969
23,0,15,0.6419193510009791
23,0,15,0.5313165459992888
19,2,15,0.6657063940001535
19,2,30,0.586477995999303
19,0,15,0.5869126840007084
21,2,35,0.6295496749989979
19,2,25,0.7513003399999434
19,0,5,0.7181409389995679
21,0,40,0.6624642080005287
21,0,0,0.6057269789998827
21,2,15,0.6199288509997132
23,0,20,0.6692079559998092
19,0,40,0.8216027270009363
19,2,15,0.6762764960003551
23,2,5,0.564699804999691
23,2,0,0.5894549929998902
23,2,5,0.6349090719995729
23,2,0,0.5519214129999455
23,0,5,0.5497860929990566
23,0,0,0.70323153299978
19,2,30,0.6407907449993218
19,0,0,0.5986038430000917
19,0,20,0.7829812460004177
23,0,10,0.6452192569995532
19,0,25,0.6723502109998662
19,2,10,0.5443528910000168
21,0,30,0.6106404210004257
21,2,5,0.5701181309996173
23,0,30,0.6942023640003754
19,0,10,0.574120696999671
19,0,15,0.6897292459998425
19,0,0,0.774213017000875
19,2,10,0.6773400330002914
19,0,35,0.620746570000847
21,2,40,0.8367137550012558
21,2,20,0.6158892900002684
19,2,25,0.7744472209997184
21,2,0,0.6540463040000759
23,0,25,0.6773677959990891
21,0,35,0.7003407700012758
19,0,0,0.6793236369994702
19,0,5,0.6110671879996517
19,0,20,0.6296983439988253
19,0,35,0.6510743939998065
19,2,15,0.6838961619996553
19,0,40,0.6522000530003425
19,2,40,0.6448032050011534
19,0,10,0.5352605619991664
23,2,20,0.8105768049990729
19,0,40,0.7811771370015776
21,2,40,0.647980916999586
19,0,35,0.6638491779995093
23,0,20,0.6855094149996148
21,2,5,0.6896457729999383
23,2,30,0.7426978690000396
21,0,25,0.676575256000433
19,2,25,0.711330418000216
21,0,30,0.6657531180007936
19,2,35,0.7399776990005194
21,2,0,0.6146974839994073
