Character,Direction,Eccentricity,Reaction Time (s)
da,2,40,0.31536849995609373
da,2,20,0.25523820001399145
da,0,10,0.11196609999751672
da,0,40,0.2410651000100188
da,2,40,0.2050718999817036
da,0,30,0.2498963000252843
da,2,0,0.1934008999960497
da,0,0,0.19503340002847835
da,0,40,0.21406179998302832
da,2,20,0.24512769997818395
da,2,40,0.18300150003051385
da,2,10,0.2723093000240624
da,2,40,0.4317754000076093
da,0,10,0.2125268999952823
da,2,0,0.19811500003561378
da,2,30,0.0777898000087589
da,2,10,0.1832620000350289
da,0,40,0.2191358000272885
da,0,30,0.05480290000559762
da,2,20,0.28038710000691935
da,0,40,0.2525995000032708
da,0,10,0.12155189999612048
da,0,10,0.26113230001647025
da,0,10,0.16823190002469346
da,0,10,0.27601339999819174
da,0,30,0.1841699000215158
da,0,0,0.1861852000001818
da,0,40,0.21248669998021796
da,0,30,0.19757419999223202
da,0,0,0.2510809999657795
da,2,10,0.21682450000662357
da,0,40,0.18373310001334175
da,0,30,0.1892204000032507
da,2,30,0.2532323999912478
da,0,10,0.29001830000197515
da,2,40,0.3018022000323981
da,0,20,0.2655837999773212
da,2,10,0.25725050002802163
da,2,20,0.1851932000136003
da,2,0,0.11014439997961745
da,0,10,0.17165630002273247
da,2,0,0.22458499995991588
da,0,0,0.21891140000661835
da,0,0,0.2795166000141762
da,0,0,0.24995759996818379
da,2,40,0.31594009994296357
da,0,20,0.2613695000181906
da,2,10,0.18252700002631173
da,2,20,0.2637722999788821
da,2,20,0.23882760002743453
da,2,0,0.19813480001175776
da,2,20,0.27368520002346486
da,0,20,0.2437266000197269
da,0,20,0.1971237999969162
da,0,20,0.1328382000210695
da,2,30,0.25958249997347593
da,2,30,0.1711904999683611
da,2,10,0.18298530002357438
da,0,0,0.1632017000229098
da,2,40,0.23397699999623
da,0,20,0.2837069999659434
da,2,20,0.17668949998915195
da,2,0,0.23271489999024197
da,2,30,0.21034670004155487
da,0,0,0.28964820003602654
da,2,10,0.2046216999879107
da,0,10,0.20826109999325126
da,0,30,0.09432849998120219
da,0,40,0.17537700000684708
da,2,0,0.23336270003346726
da,0,0,0.2333373999572359
da,2,30,0.25356209999881685
da,0,20,0.27956039999844506
da,0,30,0.09326739999232814
da,2,0,0.12455200002295896
da,2,30,0.22174269997049123
da,2,10,0.28708019998157397
da,0,30,0.21112529997481033
da,2,0,0.20055280002998188
da,0,10,0.17968409997411072
da,2,20,0.24026759999105707
da,2,40,0.1976472000242211
da,2,40,0.36974009999539703
da,0,20,0.2113344999961555
da,0,30,0.21202029997948557
da,0,40,0.1403342999983579
da,2,20,0.3023475999943912
da,0,20,0.24234560003969818
da,2,40,0.2175901000155136
da,0,0,0.23435480002081022
da,2,10,0.2701822000090033
da,2,30,0.2153674000292085
da,2,0,0.28895219997502863
da,2,30,0.07286700000986457
da,0,40,0.19110310001997277
da,2,10,0.16928370000096038
da,0,40,0.08714209997560829
da,0,20,0.08422319998499006
da,0,30,0.3715476999641396
da,2,30,0.23468559997854754
