Character,Direction,Eccentricity,Reaction Time (s)
da,0,30,0.683508999994956
zhong,0,40,0.45898330002091825
zhong,2,30,0.6387964999885298
zhong,0,10,0.4935565999476239
da,0,20,0.5521731000044383
zhong,0,0,0.49263819999760017
da,2,30,0.5759376999922097
xiao,2,0,0.42758399999001995
zhong,2,0,0.5158090000040829
da,2,10,0.5017909000162035
zhong,0,0,0.5048944000154734
xiao,2,30,0.701219399983529
da,2,40,0.8743016999796964
xiao,0,40,0.7347612999728881
xiao,2,0,0.5253752000280656
xiao,0,30,0.6589438999653794
xiao,2,10,0.45633019995875657
da,0,40,0.5772838999982923
zhong,2,40,0.6458757999935187
zhong,0,30,0.571076099993661
xiao,0,0,0.513285499997437
da,0,0,0.43095130001893267
da,2,0,0.5117491999990307
xiao,0,20,0.49341689998982474
xiao,0,20,0.5239738000091165
xiao,2,40,0.658979499945417
xiao,0,20,0.43658450001385063
zhong,0,30,0.5565319999586791
zhong,2,20,0.5255652000196278
xiao,2,0,0.5317219999851659
da,0,10,0.5473790999967605
da,2,40,0.619857800018508
xiao,0,40,0.6105297000030987
zhong,2,20,0.5327658000169322
zhong,0,20,0.5573454999830574
da,2,20,0.546790599997621
zhong,0,30,0.5715082000242546
zhong,2,30,0.6587156999739818
zhong,2,10,0.4700336999958381
da,0,40,0.6567394000012428
zhong,2,30,0.5296582999872044
da,2,0,0.5455120000406168
da,0,20,0.507378600013908
zhong,2,20,0.5193901999737136
da,0,30,0.547936099988874
xiao,2,20,0.5812695000204258
zhong,2,10,0.5063030000310391
xiao,0,10,0.52036369999405
xiao,2,30,0.581686899997294
da,0,40,0.6033619999652728
da,0,10,0.5285888000507839
da,2,30,0.5261032999842428
da,0,0,0.547990299994126
da,0,10,0.4330163999693468
da,0,0,0.4426461999537423
xiao,0,40,0.749490300018806
zhong,2,30,0.539682799950242
zhong,2,20,0.5447477000416256
da,2,20,0.6760076999780722
zhong,0,30,0.45652639999752864
da,2,10,0.5488715000101365
da,0,30,0.5286945000407286
da,0,10,0.5314075999776833
zhong,2,20,0.5342003999976441
da,2,40,0.9188915999839082
zhong,0,30,0.5406441999948584
da,2,40,0.6568637000164017
xiao,0,40,0.7212645999970846
zhong,2,40,0.6518529999884777
zhong,2,10,0.6067981999949552
da,0,10,0.6190687000053003
xiao,2,20,0.6655234000063501
xiao,0,10,0.5828523999662139
da,2,0,0.519457699963823
da,0,0,0.42598300002282485
da,2,0,0.4228408999624662
xiao,2,40,0.6144172999775037
xiao,2,40,0.47184969997033477
zhong,0,0,0.5207467000000179
zhong,0,30,0.5315525999758393
da,0,40,0.7840703999972902
xiao,0,20,0.568519499967806
xiao,0,20,0.5656493999995291
xiao,0,0,0.45730909996200353
xiao,2,40,0.6133105999906547
xiao,2,30,0.5139024999807589
zhong,2,30,0.5408792999805883
da,0,20,0.49150280002504587
xiao,0,10,0.5486345999524929
zhong,0,20,0.40256050002062693
zhong,2,20,0.4341601000051014
xiao,0,0,0.49292839999543503
xiao,2,10,0.45036980003351346
da,0,40,0.6029859000118449
da,2,10,0.4754929000046104
xiao,0,10,0.401886299951002
xiao,2,10,0.47055520000867546
xiao,2,10,0.5328707000007853
xiao,2,0,0.43505809997441247
zhong,2,0,0.43864579999353737
