Character,Direction,Eccentricity,Reaction Time (s)
da,0,10,0.4879545000148937
zhong,2,20,0.5380055000423454
xiao,0,0,0.5309500999865122
da,2,0,0.49508100003004074
zhong,0,30,0.438517700007651
xiao,0,40,0.5428837999934331
da,2,30,0.5496876999968663
zhong,0,10,0.4995449000271037
da,0,0,0.6201251000165939
da,2,30,0.49185240000952035
zhong,0,20,0.47794999997131526
xiao,2,40,0.6438299000146799
xiao,0,20,0.5227461000322364
zhong,2,0,0.5146228999947198
zhong,2,30,0.5967752000433393
xiao,0,20,0.48242320003919303
zhong,0,40,0.48956979997456074
zhong,0,10,0.494144199998118
zhong,2,20,0.40095199999632314
da,0,40,0.6630914999986999
zhong,2,30,0.516936199972406
zhong,0,30,0.5056821000180207
xiao,2,40,0.5664546000189148
da,2,40,0.6400399999693036
zhong,2,30,0.49730270000873134
da,2,20,0.545606300001964
zhong,2,20,0.42676369997207075
da,2,0,0.4657522999914363
da,0,40,0.49467500002356246
xiao,2,30,0.6026940000010654
da,0,30,0.5908889999845996
da,2,0,0.49423720000777394
zhong,0,0,0.5059844999923371
da,2,10,0.5144853999954648
xiao,0,40,0.6156182000413537
da,0,30,0.5173938000225462
zhong,0,10,0.4647637000307441
da,2,40,0.6778481000219472
zhong,2,10,0.4693124999757856
da,2,0,0.45466839999426156
xiao,2,40,0.5809120000340044
zhong,2,40,0.5676287999958731
da,0,20,0.507140800007619
zhong,0,10,0.4952478999621235
xiao,2,10,0.5571364999632351
xiao,0,0,0.5604195999912918
zhong,0,10,0.44075559999328107
xiao,0,0,0.6309766999911517
da,0,10,0.4989198000403121
xiao,2,40,0.6062488000025041
zhong,2,0,0.46246299997437745
xiao,0,40,0.5941880999598652
da,0,0,0.4843875999795273
xiao,0,0,0.42113590001827106
xiao,2,30,0.5290592999663204
da,2,20,0.4964373999973759
xiao,0,20,0.5349094000412151
zhong,2,10,0.45138739998219535
xiao,2,10,0.5265854999888688
zhong,2,10,0.5013859000173397
da,2,10,0.45458349998807535
xiao,0,0,0.4284996999776922
xiao,2,30,0.5202071000239812
xiao,0,40,0.6053995999973267
xiao,0,20,0.4783395000267774
xiao,2,0,0.4468931000446901
zhong,2,20,0.4877457999973558
da,2,20,0.5372440000064671
da,0,10,0.4695880000363104
da,0,20,0.48630609997780994
zhong,2,20,0.5131554000545293
xiao,2,0,0.5307861000183038
zhong,0,20,0.46596210001735017
zhong,2,40,0.516203899984248
xiao,0,20,0.5021768000442535
da,0,30,0.5113924999604933
zhong,2,10,0.4539058999507688
xiao,2,40,0.6495730000315234
xiao,2,40,0.5941030000103638
da,0,40,0.5978469999972731
xiao,0,40,0.5808909000479616
xiao,0,30,0.5783735000295565
da,0,10,0.47525790001964197
da,2,0,0.48980560002382845
zhong,2,10,0.48372550000203773
da,0,10,0.5548966000205837
zhong,2,30,0.5230633999453858
da,2,0,0.5189845999702811
zhong,0,30,0.49296169995795935
da,0,30,0.6079398000147194
zhong,0,30,0.5487224000389688
zhong,0,30,0.48732890002429485
zhong,2,20,0.47439560003113
zhong,0,0,0.43521209998289123
zhong,0,20,0.36624249996384606
da,0,40,0.5001556999632157
xiao,2,30,0.6123564000008628
zhong,0,0,0.5126606000121683
xiao,2,20,0.5652164000202902
da,2,10,0.5388090999913402
