Character,Direction,Eccentricity,Reaction Time (s)
xiao,0,0,0.4818610000074841
xiao,0,20,0.5116354000056162
xiao,2,10,0.47233439999399707
da,0,20,0.45030089997453615
xiao,0,20,0.49157589999958873
xiao,2,30,0.5226222999626771
da,2,20,0.46177940000779927
xiao,0,0,0.4399678999907337
da,2,30,0.4585967999882996
xiao,2,20,0.5213653999962844
da,0,40,0.5084693999961019
xiao,0,0,0.4102091999957338
da,0,40,0.4889515000395477
da,0,20,0.5015755000058562
xiao,2,10,0.49693439999828115
xiao,2,30,0.5532041999977082
xiao,0,10,0.39274789998307824
xiao,2,40,0.4570384999969974
xiao,2,0,0.3981254000100307
da,0,0,0.4846419999958016
xiao,0,20,0.48846159997629
xiao,0,10,0.5026357999886386
da,0,30,0.41024619998643175
da,0,10,0.3603717000223696
da,2,0,0.4205761000048369
xiao,0,10,0.3737400999525562
da,0,30,0.44597780000185594
da,0,40,0.5167122000129893
da,2,30,0.43905260000610724
da,2,40,0.45190309995086864
da,0,40,0.49579920002724975
xiao,2,30,0.4586999000166543
da,0,0,0.39812610001536086
da,2,10,0.46842069999547675
da,2,10,0.3599697000463493
da,0,20,0.410043699957896
da,0,0,0.36265870003262535
da,0,30,0.4107899999944493
xiao,2,20,0.4763479999965057
da,0,30,0.4379594000056386
da,0,20,0.4031009000027552
xiao,2,10,0.41936390002956614
xiao,2,20,0.48353709996445104
da,2,0,0.45053779997397214
da,2,20,0.42718699999386445
xiao,2,0,0.3783629999961704
da,0,30,0.44983910000883043
da,2,0,0.39948320004623383
da,0,0,0.4020602999953553
xiao,0,40,0.37690350000048056
da,2,20,0.40164070000173524
xiao,0,0,0.4151583000202663
xiao,2,20,0.370437600009609
da,0,30,0.46797600004356354
xiao,0,0,0.4228540000040084
da,2,10,0.387297400040552
xiao,2,30,0.45745530002750456
xiao,2,40,0.5069307999801822
da,0,30,0.43629370001144707
xiao,2,30,0.5079391000326723
xiao,0,0,0.39906750002410263
da,0,10,0.3785243000020273
da,0,10,0.36986330000218004
xiao,2,40,0.3983888000366278
xiao,0,40,0.5874795999843627
da,0,40,0.5293252999545075
xiao,2,40,0.5489230999955907
xiao,2,0,0.5002730999840423
xiao,2,20,0.5195929000037722
da,2,0,0.5265044000116177
xiao,2,10,0.41944829997373745
xiao,2,30,0.47410629998194054
da,2,30,0.4184300000197254
da,0,30,0.5758883999660611
da,0,10,0.3885732000344433
da,2,40,0.4613936999812722
da,0,30,0.4005089999991469
da,0,10,0.38960270001553
da,2,0,0.3612540999893099
da,2,40,0.4936215999769047
xiao,0,10,0.3346904999925755
da,2,30,0.418750699958764
xiao,0,20,0.3779227999621071
xiao,0,20,0.39583789999596775
xiao,0,30,0.3569580999901518
xiao,0,40,0.36322920001111925
xiao,0,40,0.3516713999561034
da,2,0,0.4551643999875523
xiao,2,10,0.4258053000085056
xiao,2,10,0.3910215999931097
xiao,0,40,0.43685300002107397
da,2,0,0.3936293000006117
da,0,10,0.4161304000299424
da,0,20,0.39971670001978055
xiao,2,20,0.39328519999980927
da,2,40,0.49184880004031584
xiao,2,10,0.4010537000140175
da,2,40,0.492767299991101
xiao,2,20,0.3845943000051193
da,2,40,0.564975899993442
