Character,Direction,Eccentricity,Reaction Time (s)
xiao,2,0,0.40970780001953244
da,0,40,0.3936843000119552
da,0,40,0.44512459996622056
da,2,0,0.4030702000018209
da,2,40,0.5134565000189468
da,0,40,0.4379013999714516
da,2,40,0.4810995999723673
da,0,30,0.43453570001292974
xiao,2,20,0.4552562999888323
da,2,10,0.47742910002125427
xiao,2,20,0.42242160002933815
da,0,30,0.5359006999642588
da,2,30,0.4923646000097506
da,0,0,0.4115058000315912
xiao,0,10,0.37887779995799065
da,0,40,0.43540209997445345
da,2,0,0.41004779998911545
da,2,0,0.39649469999130815
xiao,2,20,0.3675422000233084
xiao,2,40,0.4755934000131674
da,0,10,0.4165286999777891
da,0,20,0.41798329999437556
xiao,0,20,0.5112936000223272
xiao,2,20,0.48248740000417456
da,2,10,0.47430989996064454
xiao,0,10,0.3793223000247963
xiao,2,20,0.4224903999711387
xiao,2,40,0.44534129998646677
xiao,2,30,0.4584167000139132
xiao,2,30,0.40521960001206025
xiao,0,10,0.4119078000076115
da,0,20,0.4215555000118911
xiao,0,20,0.32167629996547475
da,2,10,0.44565190002322197
da,2,20,0.4458646000130102
da,0,0,0.46172860002843663
xiao,0,20,0.5159921000013128
da,0,20,0.47641329996986315
xiao,2,20,0.49020329996710643
xiao,2,40,0.4818292999989353
xiao,0,30,0.4165146000450477
da,0,40,0.4904818000504747
xiao,2,10,0.4484667999786325
xiao,2,10,0.4463668999960646
da,2,30,0.5057216000277549
da,0,0,0.42758430005051196
da,0,20,0.4565576000022702
xiao,0,30,0.3996948999701999
da,0,20,0.44753509998554364
xiao,2,10,0.5008819999638945
xiao,0,30,0.4126284999656491
da,0,20,0.4941469000186771
da,0,40,0.4771626999718137
da,2,20,0.5154980000224896
da,2,10,0.45474159996956587
da,0,20,0.4333956000045873
xiao,2,30,0.5050862000207417
da,0,10,0.40072609996423125
xiao,0,30,0.421789699990768
da,2,40,0.5379042000276968
xiao,0,0,0.4817487999680452
xiao,0,30,0.5425961999571882
xiao,0,10,0.40464279998559505
xiao,0,10,0.3881299999775365
da,0,40,0.4086786999832839
da,0,30,0.4843086000182666
da,0,0,0.4347923999885097
da,0,0,0.41905409999890253
xiao,2,10,0.4080363999819383
xiao,2,20,0.4359319999930449
xiao,0,40,0.4975095000118017
xiao,2,40,0.46428269997704774
xiao,2,30,0.4463349999859929
da,2,30,0.5486724000074901
da,2,30,0.5346026999759488
da,0,10,0.45510599995031953
da,2,40,0.5585451999795623
da,2,0,0.45996399997966364
da,2,40,0.45497429999522865
da,2,20,0.4032963999779895
xiao,0,30,0.4861823000246659
xiao,2,40,0.42597569996723905
da,2,10,0.5001085000112653
da,0,0,0.4193404999678023
xiao,0,10,0.4711299000191502
xiao,2,10,0.41181940003298223
da,0,0,0.4669479000149295
xiao,2,0,0.4497661999776028
da,0,40,0.5259691000101157
da,0,0,0.4664501999504864
xiao,0,0,0.39836449996801093
da,2,30,0.5287380000227131
da,0,30,0.4464379000128247
xiao,2,30,0.5308713000267744
da,2,0,0.44899850001093
xiao,0,40,0.5431367999990471
xiao,0,10,0.5341939000063576
xiao,2,0,0.45221269998000935
da,2,0,0.454127500008326
da,2,0,0.4477727999910712
