Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,20,0.193347200001881
0.0,0,40,0.10540190000028815
0.0,0,10,0.21488189999945462
0.0,2,40,0.009263200001441874
0.0,2,30,0.21914180000021588
0.0,0,30,0.18432719999691471
0.0,2,10,0.20468260000052396
0.0,2,30,0.2630515999990166
0.0,2,10,0.20547730000544107
0.0,2,20,0.21598839999933261
0.0,0,30,0.1796226000005845
0.0,0,40,0.12488440000015544
0.0,0,10,0.25036269999691285
0.0,0,20,0.005980299996735994
0.0,0,30,0.21025390000431798
0.0,0,40,0.10535510000045178
0.0,2,10,0.2341221000024234
0.0,0,0,0.28131710000161547
0.0,0,20,0.25047430000267923
0.0,2,10,0.21669200000178535
0.0,0,0,0.18293489999632584
0.0,2,20,0.035620599999674596
0.0,2,30,0.23273020000488032
0.0,0,20,0.21066799999971408
0.0,0,40,0.2226853000029223
0.0,2,0,0.2456294999938109
0.0,0,0,0.22084929999982705
0.0,2,20,0.22419039999658708
0.0,2,30,0.24581619999662507
0.0,0,40,0.23602979999850504
0.0,0,20,0.2330361999993329
0.0,2,0,0.21445690000109607
0.0,2,40,0.20983200000046054
0.0,2,40,0.22410020000097575
0.0,0,10,0.2329457999949227
0.0,2,20,0.2148970999987796
0.0,2,30,0.13999269999476383
0.0,0,30,0.2195066999993287
0.0,0,0,0.09576210000523133
0.0,0,0,0.24532290000206558
0.0,2,0,0.24593930000264663
0.0,0,40,0.2379739999960293
0.0,0,10,0.2113480999978492
0.0,2,0,0.21913380000478355
0.0,2,10,0.16987289999815403
0.0,0,10,0.2753538999968441
0.0,2,10,0.21241539999755332
0.0,2,20,0.19361299999582116
0.0,0,0,0.2254728000043542
0.0,2,20,0.1949287000024924
0.0,2,40,0.2174310000045807
0.0,2,40,0.2822916000004625
0.0,2,0,0.27375129999563796
0.0,0,20,0.039596399998117704
0.0,0,40,0.2403072000015527
0.0,2,0,0.2775275000021793
0.0,2,0,0.1840139999985695
0.0,0,40,0.25442139999358915
0.0,0,20,0.23799919999873964
0.0,0,30,0.16303590000461554
0.0,0,10,0.0034105000013369136
0.0,0,40,0.2406286999976146
0.0,0,20,0.24520830000255955
0.0,2,10,0.15374619999784045
0.0,0,0,0.25144609999551903
0.0,0,30,0.2391146999943885
0.0,0,20,0.23680659999808995
0.0,2,30,0.09765820000029635
0.0,0,30,0.2504927000045427
0.0,0,40,0.2473149000070407
0.0,2,30,0.2532666999977664
0.0,0,0,0.04822109999804525
0.0,2,20,0.1452008999985992
0.0,0,0,0.1366718999997829
0.0,2,10,0.2738597999996273
0.0,2,40,0.019369100002222694
0.0,2,20,0.26630769999610493
0.0,0,0,0.2728877999979886
0.0,2,30,0.23485539999819594
0.0,0,30,0.31502220000402303
0.0,2,30,0.22836159999860683
0.0,0,20,0.07096050000109244
0.0,2,10,0.23521079999773065
0.0,0,30,0.26217629999882774
0.0,0,10,0.2705013000013423
0.0,2,40,0.2726247999962652
0.0,2,30,0.1825031999978819
0.0,2,0,0.1987481000032858
0.0,0,20,0.29466929999762215
0.0,2,40,0.2706811000025482
0.0,0,10,0.2276373999993666
0.0,0,10,0.23620759999903385
0.0,2,0,0.2383687000037753
0.0,0,30,0.2657933999944362
0.0,0,10,0.19737320000422187
0.0,2,0,0.24604980000003707
0.0,2,40,0.21147190000192495
0.0,2,10,0.2647352000058163
0.0,2,20,0.2813550999999279
0.0,2,40,0.29397499999322463
