Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,40,0.2544019999986631
0.0,0,10,0.26299699999799486
0.0,2,20,0.007303300000785384
0.0,2,0,0.2911833000034676
0.0,2,10,0.2740944999968633
0.0,2,20,0.2654934000020148
0.0,2,0,0.2989173999958439
0.0,0,20,0.24417890000040643
0.0,0,40,0.22646459999668878
0.0,2,20,0.2137457999997423
0.0,0,30,0.2525393999967491
0.0,2,10,0.2808858999997028
0.0,0,10,0.2926463000039803
0.0,2,40,0.30723610000131885
0.0,0,10,0.17688189999898896
0.0,2,40,0.30542160000186414
0.0,2,30,0.3012769999986631
0.0,2,10,0.2196447000023909
0.0,0,20,0.2925457000019378
0.0,0,20,0.2732705999951577
0.0,2,30,0.297995599998103
0.0,0,10,0.30095849999634083
0.0,2,10,0.3225300999984029
0.0,0,0,0.27208450000034645
0.0,0,20,0.2974331000004895
0.0,2,30,0.3187333999958355
0.0,2,0,0.22191790000215406
0.0,0,20,0.2630882999947062
0.0,0,0,0.2767398000069079
0.0,2,30,0.28062629999476485
0.0,2,10,0.20214010000199778
0.0,2,10,0.2078523000018322
0.0,2,40,0.30044149999594083
0.0,2,30,0.31643520000216085
0.0,0,0,0.23611040000105277
0.0,0,30,0.30349569999816595
0.0,0,40,0.30735590000404045
0.0,0,30,0.26442250000400236
0.0,2,10,0.3017397000003257
0.0,2,40,0.3266252999965218
0.0,2,30,0.2816571000003023
0.0,2,20,0.3002074000032735
0.0,2,0,0.2859911999985343
0.0,2,20,0.3072339999998803
0.0,2,10,0.27491420000296785
0.0,0,30,0.2393607999983942
0.0,2,30,0.28848300000390736
0.0,0,30,0.2981504999988829
0.0,2,0,0.3220503999982611
0.0,0,40,0.23117769999953452
0.0,0,40,0.3349667000002228
0.0,0,0,0.3192663000008906
0.0,2,0,0.2526116999943042
0.0,2,20,0.2890499999994063
0.0,0,20,0.264104200003203
0.0,0,10,0.29237540000031004
0.0,2,20,0.2275969999973313
0.0,0,40,0.2517608999987715
0.0,0,40,0.2534446999998181
0.0,2,0,0.30398930000228574
0.0,0,10,0.23005710000143154
0.0,0,40,0.3709365999966394
0.0,0,0,0.3049909999972442
0.0,0,40,0.28905010000016773
0.0,2,10,0.27541040000505745
0.0,2,40,0.2826386000015191
0.0,0,20,0.29838049999671057
0.0,0,40,0.2922949999992852
0.0,0,30,0.3270025000019814
0.0,2,30,0.3288184999983059
0.0,0,30,0.314537799997197
0.0,2,20,0.2884953999964637
0.0,0,0,0.23228400000516558
0.0,2,40,0.187411399994744
0.0,0,0,0.29621269999915967
0.0,0,30,0.33666429999721004
0.0,2,30,0.293884300001082
0.0,2,40,0.2878954999978305
0.0,0,10,0.2585490999990725
0.0,2,20,0.23307780000322964
0.0,2,0,0.29366830000071786
0.0,0,20,0.2364168999993126
0.0,0,20,0.27803750000020955
0.0,2,40,0.231589899995015
0.0,2,0,0.32407599999714876
0.0,2,10,0.3190340000001015
0.0,2,20,0.3175654000006034
0.0,2,30,0.31112839999696007
0.0,0,10,0.31554480000340845
0.0,0,30,0.31941139999980805
0.0,2,0,0.27725630000350066
0.0,0,10,0.3074871999997413
0.0,0,10,0.2410232999973232
0.0,0,0,0.30280620000121417
0.0,0,30,0.300761100006639
0.0,0,0,0.2779785000020638
0.0,0,20,0.23792870000033872
0.0,2,40,0.31212009999580914
0.0,0,0,0.31669849999889266
0.0,2,40,0.298553600005107
