Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,0,30,0.4701679999998305
45.0,0,20,0.49774219999380875
0.0,2,0,0.4284570000017993
90.0,2,10,0.44784530000470113
45.0,0,30,0.4010699000064051
0.0,0,0,0.5206642000121064
45.0,0,20,0.4925327999953879
45.0,0,30,0.4683408999990206
45.0,2,20,0.4599917000014102
45.0,0,30,0.49191419999988284
45.0,2,10,0.41685660000075586
90.0,2,40,0.5184269000019412
45.0,2,40,0.5101528000086546
45.0,2,20,0.4538314000092214
45.0,0,20,0.595564800009015
90.0,0,10,0.462784899995313
45.0,2,0,0.5520607999933418
0.0,2,20,0.4366248000005726
90.0,2,0,0.4611852999951225
90.0,0,10,0.4975937999988673
45.0,0,40,0.5059570999874268
90.0,2,20,0.5404080000007525
90.0,2,20,0.497132699994836
0.0,2,30,0.5096649999904912
0.0,0,30,0.4976451999973506
45.0,0,10,0.4767384000006132
90.0,2,0,0.533370000004652
45.0,2,10,0.5471523000014713
0.0,0,40,0.556459100000211
45.0,2,10,0.562979299997096
45.0,2,30,0.5955564999894705
90.0,2,0,0.4791151999961585
45.0,2,40,0.502141400007531
45.0,2,10,0.49692180000420194
90.0,2,0,0.44392119999974966
45.0,0,0,0.5552052999992156
0.0,2,10,0.4714051000046311
0.0,0,40,0.5273167999985162
45.0,0,10,0.426696800001082
90.0,0,40,0.7227677000046242
90.0,0,40,0.6372465000022203
45.0,2,40,0.5372044999967329
0.0,2,0,0.4908391000062693
90.0,2,40,0.595000200002687
45.0,0,40,0.8016305999917677
45.0,2,30,0.506757800001651
90.0,2,10,0.547648300009314
0.0,0,0,0.4596326000028057
0.0,2,10,0.5146701000048779
0.0,2,20,0.46544790000189096
45.0,0,0,0.4967726000031689
0.0,0,20,0.4863855000003241
90.0,2,40,0.6475982000119984
90.0,0,30,0.4717004999984056
0.0,0,40,0.5344366999925114
90.0,2,0,0.47168249999231193
0.0,0,20,0.5135521000047447
90.0,0,40,0.5864990999980364
0.0,0,10,0.43802070000674576
45.0,0,0,0.5000704999984009
90.0,0,0,0.43549699999857694
0.0,0,0,0.5156872000079602
90.0,0,20,0.5215859000018099
45.0,2,0,0.47508220000599977
90.0,2,10,0.46578579999913927
45.0,2,40,0.768472900002962
90.0,2,30,0.5042849000019487
0.0,0,20,0.6223734999948647
90.0,2,30,0.5154546999983722
90.0,0,20,0.4738837000040803
90.0,0,0,0.42785059999732766
0.0,2,30,0.5861586999963038
0.0,0,30,0.4826429999957327
45.0,0,10,0.600424699994619
0.0,2,0,0.47774449999269564
90.0,0,10,0.4457175000134157
90.0,0,40,0.5819394999998622
90.0,0,10,0.43535549999796785
0.0,2,40,0.6075115999992704
90.0,2,20,0.4937883999955375
45.0,0,30,0.4951271000027191
90.0,2,40,0.579643400007626
0.0,0,40,0.664214999997057
0.0,2,30,0.5102101999946171
0.0,2,40,0.5090135000064038
90.0,2,20,0.4403015999996569
90.0,0,0,0.3954381000075955
90.0,0,20,0.4885696000128519
90.0,2,30,0.5511878999968758
45.0,0,0,0.48984790001122747
90.0,2,20,0.5023614000092493
0.0,2,30,0.564812399999937
0.0,2,30,0.5891461999999592
90.0,0,30,0.535081199996057
45.0,0,30,0.5086384999885922
0.0,0,10,0.5425519999989774
45.0,2,10,0.545150999998441
0.0,2,20,0.4695830999989994
0.0,0,20,0.49670839999453165
45.0,0,10,0.5103626999916742
