Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,0,20,0.46103549998952076
45.0,0,10,0.4087629000132438
45.0,0,30,0.8696717999991961
45.0,0,0,0.4345437000010861
45.0,2,0,0.4279109999915818
45.0,2,30,0.4824025999987498
0.0,2,0,0.46553440000570845
0.0,2,20,0.41813140000158455
0.0,0,30,0.5241670999967027
0.0,0,20,0.44050509999215137
0.0,0,10,0.42711509999935515
0.0,2,30,0.494315000003553
45.0,2,20,0.5600793000048725
0.0,0,30,0.7024533999938285
90.0,2,10,0.5733332999952836
0.0,2,40,0.6007176999992225
90.0,0,40,0.6485989000066184
90.0,2,20,0.5065023000061046
90.0,2,20,0.49022120000154246
90.0,0,0,0.49745399999665096
0.0,2,30,0.5077471999975387
45.0,0,20,0.5251656999898842
0.0,0,30,0.5373584000044502
90.0,2,30,0.5432594000012614
0.0,2,20,0.5101721000100952
0.0,0,10,0.5165469000057783
0.0,2,10,0.4860201999981655
90.0,0,0,0.49325699999462813
0.0,0,20,0.46966420000535436
90.0,0,10,0.43876150000141934
0.0,0,40,0.6570624000014504
90.0,2,40,0.5516736999998102
90.0,2,10,0.4693909000052372
90.0,2,0,0.43432069999107625
45.0,0,40,0.6078549000085331
45.0,0,30,0.5513835000019753
0.0,0,10,0.6157855999917956
90.0,0,0,0.4231932999973651
45.0,2,20,0.5098199999920325
0.0,0,40,0.6057087000081083
45.0,2,10,0.5084362999914447
90.0,2,30,0.5629577000072459
0.0,2,0,0.5166967999975896
45.0,2,10,0.4885278000001563
45.0,2,20,0.4489631000033114
90.0,0,40,0.5625467999925604
0.0,2,0,0.47224000000278465
90.0,0,40,0.5702664999989793
0.0,2,10,0.549781100009568
90.0,0,0,0.4613670999970054
0.0,0,0,0.5124844999954803
90.0,2,30,0.5491660999978194
45.0,0,20,0.4108302999957232
90.0,2,40,0.600297099997988
45.0,2,20,0.5388915999938035
90.0,2,10,0.4392204999894602
90.0,0,30,0.45333920000121
45.0,2,0,0.4829128999990644
90.0,0,30,0.4838733000069624
45.0,2,40,0.5213185000029625
0.0,2,0,0.44860699999844655
45.0,2,40,0.4816263999964576
90.0,0,40,0.4940898000058951
90.0,2,30,0.5116438999975799
45.0,0,40,0.5035187000030419
90.0,0,10,0.4542950000031851
90.0,2,10,0.43691299999773037
0.0,0,30,0.46786239999346435
0.0,2,30,0.4874719999934314
0.0,0,0,0.4637488000007579
90.0,2,40,0.5557197000016458
90.0,2,0,0.5762228000094183
90.0,0,20,0.5038352999981726
45.0,2,40,0.5109206000051927
45.0,2,0,0.5567859999864595
90.0,0,40,0.5954864999948768
45.0,0,40,0.5468634999997448
45.0,0,20,0.49209839999093674
90.0,0,20,0.4726035000057891
45.0,0,0,0.5059681999991881
0.0,2,10,0.523428700005752
45.0,2,20,0.6596524999913527
90.0,0,30,0.5278917999967234
45.0,0,0,0.5092508999950951
45.0,2,10,0.8080064000096172
90.0,0,10,0.5064249999995809
0.0,2,40,0.6435824000072898
45.0,2,40,0.5441744999989169
0.0,0,10,0.5294869000063045
45.0,2,40,0.5156150999973761
90.0,2,20,0.5547753999999259
0.0,0,20,0.5713286000100197
90.0,2,0,0.5014373000012711
45.0,2,30,0.45730470000125933
0.0,0,10,0.5104602000064915
90.0,0,10,0.4688737999967998
0.0,0,30,0.49608620000071824
90.0,0,20,0.524260599995614
45.0,0,0,0.4630066999961855
0.0,2,30,0.550017100002151
