Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.3215621999988798
0.0,0,20,0.38738590000139084
90.0,0,30,0.3282684000005247
90.0,2,40,0.4721047000057297
90.0,0,10,0.36498349999601487
90.0,0,10,0.31702380000206176
0.0,2,30,0.4526984999974957
0.0,2,10,0.39155259999097325
90.0,2,30,0.3760333999962313
90.0,2,30,0.6244050999957835
90.0,2,30,0.4135477000090759
90.0,0,30,0.40236899998853914
0.0,0,0,0.3546432000002824
90.0,2,10,0.3780642000056105
90.0,2,0,0.3446579000010388
90.0,0,0,0.45318920000863727
0.0,0,30,0.453540399990743
0.0,0,10,0.4385922999936156
90.0,0,0,0.41059539999696426
90.0,0,40,0.4898064000008162
0.0,0,20,0.45126689999597147
90.0,0,20,0.38567619999230374
0.0,2,0,0.36687259998871014
90.0,0,10,0.3434636000019964
90.0,0,30,0.3771111999958521
0.0,0,20,0.3717656000080751
0.0,2,20,0.3647927999991225
90.0,2,10,0.44943000000785105
0.0,0,40,0.5268581999989692
90.0,2,20,0.3746173999970779
0.0,0,0,0.3576307000039378
0.0,0,20,0.3910304000019096
0.0,2,20,0.4701308999938192
0.0,2,40,0.3884994999971241
90.0,2,0,0.43553390000306536
90.0,0,0,0.35494640000979416
0.0,2,30,0.34797980000439566
90.0,2,0,0.3618503000034252
90.0,0,30,0.41449010001088027
90.0,0,40,0.4814207000017632
0.0,2,40,0.44724480000149924
0.0,2,20,0.4432364999956917
0.0,0,0,0.4333129000006011
90.0,2,20,0.4556579000054626
0.0,2,30,0.4103002999909222
90.0,0,30,0.4384070999949472
90.0,0,40,0.3745355999999447
90.0,2,30,0.4274337000097148
0.0,0,0,0.43186209999839775
0.0,0,30,0.42637549999926705
0.0,0,10,0.41482940000423696
0.0,0,30,0.37035430000105407
0.0,2,10,0.4394343000021763
90.0,0,0,0.36960540000291076
0.0,2,0,0.301902200008044
0.0,2,10,0.3860366000008071
0.0,2,20,0.381781799995224
90.0,2,30,0.45093500000075437
0.0,2,30,0.5378379000030691
90.0,2,10,0.39974439999787137
0.0,2,40,0.4701082000101451
0.0,2,40,0.4999857999937376
0.0,2,40,0.526202100008959
90.0,0,10,0.42905269999755546
0.0,2,20,0.4582997000106843
0.0,0,20,0.41725009999936447
90.0,0,40,0.4163613999990048
90.0,0,20,0.43424669999512844
90.0,2,10,0.43335750000551343
90.0,2,20,0.4259877000004053
0.0,0,10,0.34599630000593606
0.0,2,10,0.3629936000070302
90.0,0,0,0.3213830000022426
90.0,0,10,0.3692436999990605
90.0,2,0,0.3787447000067914
90.0,0,40,0.3560381999996025
0.0,2,10,0.42405620000499766
0.0,0,10,0.40917430000263266
0.0,2,10,0.37900070000614505
0.0,2,40,0.5304840000026161
0.0,0,40,0.5195927000022493
90.0,0,0,0.373884899992845
90.0,0,40,0.529800799995428
90.0,0,20,0.4099376999947708
0.0,0,20,0.4082568000012543
90.0,0,40,0.4685905999940587
90.0,2,40,0.5586958999920171
0.0,2,0,0.41605310000886675
0.0,2,40,0.45872560000861995
0.0,0,20,0.4470218000060413
90.0,2,20,0.4527031000034185
90.0,2,20,0.4547805999900447
0.0,0,30,0.3907524999958696
90.0,2,40,0.48041380000358913
0.0,2,30,0.3853281000046991
0.0,2,0,0.38939130000653677
90.0,0,30,0.4569550000014715
90.0,0,40,0.45243020000634715
0.0,2,0,0.38423060000059195
0.0,0,10,0.4481378000054974
