Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,10,0.3111579999967944
0.0,0,20,0.3822918999940157
90.0,0,30,0.3065082999964943
90.0,0,40,0.4074811000027694
90.0,2,10,0.3562910000036936
0.0,0,20,0.4086535000096774
90.0,0,20,0.3485538999957498
90.0,2,10,0.35791400000744034
0.0,0,0,0.3678498999943258
0.0,0,10,0.4240401999995811
90.0,2,20,0.3632376000023214
0.0,2,40,0.6207626999967033
90.0,2,20,0.43662800001038704
90.0,2,10,0.42269259999739006
90.0,0,40,0.5981001000036485
90.0,0,30,0.4691941000055522
0.0,2,30,0.4474855000007665
0.0,2,0,0.44148199999472126
90.0,0,40,0.44138329999987036
90.0,0,10,0.3665809999947669
90.0,2,0,0.38619230000767857
0.0,0,30,0.4192749000067124
0.0,2,0,0.3667827000026591
90.0,0,20,0.4626401999994414
0.0,0,10,0.3203334999998333
0.0,2,10,0.37679989999742247
90.0,0,10,0.39091149999876507
90.0,2,10,0.46425629999430384
90.0,2,30,0.438752400004887
90.0,2,10,0.4136583000072278
0.0,0,40,0.4546096999984002
0.0,0,10,0.33643429999938235
90.0,0,10,0.38181710000208113
90.0,0,30,0.37166220000653993
0.0,0,30,0.32883320000837557
0.0,2,20,0.38836180001089815
90.0,0,0,0.38456459999724757
90.0,2,10,0.43177929999365006
90.0,2,0,0.3441222999972524
0.0,0,0,0.4797054999944521
0.0,2,40,0.41689629999746103
0.0,2,30,0.3926095000060741
90.0,0,30,0.423104899993632
0.0,0,20,0.4140424999932293
0.0,2,40,0.4613826999993762
90.0,0,0,0.41530139998940285
0.0,2,0,0.3986128000105964
0.0,0,0,0.4448320999945281
90.0,0,10,0.4499727000074927
90.0,0,40,0.5123642000107793
90.0,0,40,0.38743490001070313
0.0,0,30,0.36693689999810886
90.0,0,20,0.48666660000162665
0.0,2,20,0.40369219999411143
0.0,2,0,0.4165884999965783
90.0,0,30,0.35347879999608267
0.0,0,40,0.44401799999468494
90.0,0,10,0.3806920000060927
0.0,2,10,0.379787199999555
90.0,2,40,0.45557829999597743
90.0,0,20,0.4329374000080861
0.0,0,30,0.4564687999954913
90.0,0,0,0.44533360000059474
90.0,2,30,0.5169524000084493
0.0,2,20,0.5258740000135731
90.0,2,20,0.44676230000914074
90.0,2,30,0.49185219999344554
0.0,2,40,0.4701236999972025
90.0,2,30,0.4950768999988213
0.0,2,40,0.49015159999544267
0.0,0,40,0.457829999999376
90.0,0,20,0.42903120000846684
0.0,0,20,0.4604560000007041
0.0,2,40,0.5986513999960152
0.0,2,20,0.595969400004833
0.0,0,0,0.43689979999908246
0.0,2,0,0.4800579000002472
0.0,0,0,0.45319990000280086
90.0,2,30,0.44815499999094754
90.0,2,40,0.4059477999981027
0.0,0,0,0.40968409999914
90.0,2,10,0.3770382999937283
90.0,2,30,0.43940839999413583
90.0,2,0,0.41876329999649897
90.0,0,10,0.48961780000536237
0.0,2,20,0.4356015000084881
0.0,0,0,0.46260860000620596
90.0,0,40,0.4377463999990141
90.0,2,20,0.42790660000173375
90.0,2,30,0.4385640999971656
0.0,0,20,0.4157015000091633
90.0,2,40,0.43027060000167694
0.0,2,30,0.5240549000009196
0.0,0,30,0.45625740000105
0.0,2,0,0.4529125999979442
90.0,2,0,0.41563409999071155
90.0,2,20,0.488256900003762
90.0,0,40,0.5191018000041367
0.0,2,40,0.5540998000069521
90.0,0,10,0.5137499999982538
