Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,35,0.381141799967736
45.0,2,15,0.44735289993695915
45.0,2,35,0.37957830005325377
90.0,2,0,0.37114330008625984
45.0,2,15,0.45532190008088946
90.0,2,15,0.4235332999378443
45.0,2,25,0.4801871000090614
90.0,2,20,0.5349182999925688
0.0,2,15,0.5620787999359891
0.0,2,5,0.48794889997225255
90.0,2,35,0.43263900000602007
0.0,2,0,0.49805330007802695
45.0,2,35,0.5141471000388265
90.0,2,25,0.45776729995850474
45.0,2,0,0.4527981000719592
90.0,2,15,0.3824683000566438
0.0,2,15,0.40255940007045865
0.0,2,0,0.40077930002007633
45.0,2,0,0.3964283000677824
90.0,2,40,0.4588502000551671
90.0,2,30,0.3897492000833154
90.0,2,25,0.370861699921079
45.0,2,5,0.43564319994766265
90.0,2,30,0.38034989999141544
0.0,2,35,0.4792488000821322
90.0,2,10,0.3881186000071466
45.0,2,30,0.4627708999905735
90.0,2,35,0.4827258000150323
90.0,2,40,0.46917579998262227
45.0,2,30,0.4846519000129774
0.0,2,40,0.565785999991931
45.0,2,15,0.5017447000136599
0.0,2,5,0.4820653999922797
0.0,2,10,0.42524749995209277
90.0,2,0,0.4202018999494612
45.0,2,5,0.36229269998148084
0.0,2,10,0.3980043000774458
0.0,2,5,0.44408299995120615
45.0,2,20,0.418013000045903
45.0,2,40,0.45132160000503063
90.0,2,35,0.47914359997957945
0.0,2,0,0.42652930004987866
0.0,2,10,0.40949640003964305
0.0,2,30,0.41500330006238073
0.0,2,20,0.4017622999381274
90.0,2,20,0.4257905000122264
0.0,2,15,0.40713289997074753
0.0,2,30,0.4047768999589607
90.0,2,0,0.37705280003137887
90.0,2,25,0.3822966000298038
45.0,2,10,0.4318072999594733
0.0,2,25,0.4021181999705732
45.0,2,0,0.37538570002652705
45.0,2,25,0.48531230003573
90.0,2,20,0.42270999995525926
0.0,2,35,0.4361439999192953
45.0,2,35,0.5304252000059932
0.0,2,20,0.4602473999839276
45.0,2,20,0.39603629999328405
45.0,2,5,0.43744580005295575
45.0,2,20,0.5057165999896824
45.0,2,40,0.4884885000064969
45.0,2,20,0.4291856000199914
90.0,2,10,0.399536200100556
0.0,2,30,0.5443681000033394
45.0,2,30,0.49131449998822063
0.0,2,15,0.4341294999467209
90.0,2,25,0.4228763999417424
0.0,2,35,0.431042900076136
45.0,2,25,0.5141182000515983
0.0,2,5,0.4284687000326812
90.0,2,0,0.3874681999441236
90.0,2,5,0.4057042000349611
90.0,2,10,0.38762090005911887
45.0,2,5,0.4253448999952525
45.0,2,10,0.42733199999202043
0.0,2,40,0.5247186999768019
0.0,2,15,0.38228000001981854
45.0,2,30,0.4116918999934569
0.0,2,25,0.39153479994274676
90.0,2,40,0.4927729000337422
90.0,2,40,0.5142724000615999
0.0,2,40,0.44783870002720505
90.0,2,10,0.4476755999494344
90.0,2,25,0.4344051999505609
45.0,2,5,0.4523463000077754
0.0,2,40,0.5400426000123844
90.0,2,30,0.4349334000144154
0.0,2,20,0.4383362999651581
0.0,2,10,0.49506500002462417
0.0,0,35,0.5586920999921858
90.0,0,0,0.3656481000361964
90.0,0,15,0.350019000004977
90.0,0,15,0.35931490000803024
0.0,0,40,0.8459279999369755
90.0,0,0,0.36617249995470047
45.0,0,15,0.42518160003237426
45.0,0,40,0.44632290001027286
90.0,0,25,0.37438679998740554
90.0,0,20,0.3787874000845477
0.0,0,15,0.46339719998650253
0.0,0,0,0.42674619995523244
90.0,0,25,0.43602169991936535
45.0,0,30,0.5140537000261247
45.0,0,30,0.47201429994311184
90.0,0,10,0.3731485001044348
45.0,0,30,0.5107500000158325
45.0,0,10,0.38991409994196147
45.0,0,15,0.3329342999495566
45.0,0,0,0.45513289992231876
90.0,0,5,0.36189410008955747
0.0,0,15,0.5033607999794185
0.0,0,35,0.40114019997417927
45.0,0,25,0.44627000007312745
0.0,0,20,0.46791930007748306
45.0,0,5,0.45027410006150603
45.0,0,10,0.4155184000264853
0.0,0,20,0.4338333000196144
0.0,0,25,0.4126690999837592
45.0,0,35,0.4977133999345824
45.0,0,10,0.3867513999575749
45.0,0,25,0.37601329991593957
0.0,0,30,0.39586130005773157
90.0,0,25,0.48805579997133464
90.0,0,40,0.49185340001713485
0.0,0,5,0.45440799999050796
45.0,0,30,0.43313539994414896
0.0,0,30,0.4557204000884667
90.0,0,35,0.4271243999246508
45.0,0,35,0.4218817000510171
0.0,0,20,0.3860767000587657
90.0,0,5,0.36265879997517914
45.0,0,0,0.4069129000417888
45.0,0,20,0.4235160000389442
45.0,0,0,0.39966460003051907
90.0,0,20,0.39452029997482896
90.0,0,40,0.4551141000119969
0.0,0,10,0.3914030999876559
90.0,0,35,0.44139429996721447
0.0,0,40,0.4073357000015676
0.0,0,35,0.43797309999354184
0.0,0,30,0.412991699995473
0.0,0,40,0.5147344999713823
0.0,0,0,0.40610049990937114
0.0,0,30,0.37777070002630353
90.0,0,5,0.439396100002341
90.0,0,25,0.4521689999382943
0.0,0,40,0.5696901000337675
45.0,0,0,0.4097910999553278
0.0,0,5,0.41225329996086657
0.0,0,15,0.4105858999537304
0.0,0,20,0.4548557000234723
45.0,0,40,0.5013874000869691
45.0,0,5,0.42991179996170104
0.0,0,10,0.42548279999755323
45.0,0,35,0.36181519995443523
45.0,0,15,0.49676140001975
0.0,0,30,0.4327763000037521
45.0,0,5,0.46823170001152903
45.0,0,15,0.3511036999989301
90.0,0,25,0.41572519997134805
45.0,0,30,0.44839369994588196
45.0,0,20,0.4372690999880433
0.0,0,10,0.46162449999246746
0.0,0,15,0.4728679000400007
90.0,0,25,0.4458193000173196
90.0,0,5,0.3914513000054285
45.0,0,0,0.42872510000597686
0.0,0,35,0.5557213999563828
0.0,0,5,0.45511720003560185
45.0,0,10,0.48002460005227476
0.0,0,25,0.42131080001126975
0.0,0,20,0.4529844999779016
45.0,0,10,0.3665021000197157
0.0,0,40,0.40239290008321404
90.0,0,0,0.4861652000108734
45.0,0,10,0.352595700067468
0.0,0,35,0.45908590010367334
0.0,0,40,0.6089054000331089
0.0,0,20,0.525718400022015
