Face,Direction,Eccentricity,Reaction Time (s)
19,2,35,0.8536891000112519
23,0,25,0.7552023999742232
19,2,30,0.9534065999905579
21,2,5,0.9052521999692544
23,2,40,0.8159192999592051
21,0,30,0.9570314000011422
23,0,15,0.683749399962835
19,2,15,0.7519905000226572
21,2,5,0.7387115000165068
21,0,30,0.826211100036744
21,0,0,0.6687817999627441
21,2,0,0.5554499999852851
21,0,20,0.6658704000292346
23,2,15,0.6857312999782152
21,0,30,0.7193839000537992
23,0,0,0.6870254999957979
21,0,10,0.6513863999862224
23,2,40,0.9635666999965906
21,0,30,0.7280489000258967
23,2,35,0.6843454000190832
21,2,25,0.6842674000072293
19,0,30,0.8734858999960124
21,0,15,1.020818600023631
23,0,5,0.6828409000299871
23,0,25,0.7488841000013053
23,0,35,0.6670894999988377
23,2,20,0.7034851999487728
21,0,10,0.7924376000300981
19,2,15,0.6517206999706104
19,0,40,0.8418078999966383
23,2,40,0.7983105999883264
19,0,10,0.6184268000070006
19,0,5,0.5792429000139236
23,0,40,0.7077844000305049
23,0,35,0.8625743999728002
19,2,15,0.6663694999879226
19,2,15,0.7900605000322685
23,0,20,0.5976864999975078
19,0,40,0.9002215000218712
21,0,15,0.5943600999889895
19,0,15,0.622805499995593
19,0,20,0.6101985000423156
21,2,0,0.6408254000125453
21,2,20,0.6383872000151314
19,2,20,0.6482293999870308
19,2,15,0.8140529000083916
19,2,25,0.6014983000350185
23,2,40,0.7798306999611668
21,0,15,0.7740212000207976
21,2,15,0.6638498000102118
23,0,0,0.5214579000021331
23,0,20,0.599349100026302
19,2,20,0.6253228000132367
19,2,5,0.7640625000349246
23,2,40,0.6441367000225
21,0,0,0.5918482000124641
23,0,5,0.5434311000281014
23,2,0,0.5294402999570593
19,2,5,0.6065171999507584
19,2,0,0.5452108000172302
21,2,35,0.7584884000243619
21,2,0,0.6104089999571443
23,0,35,0.6783280000090599
21,0,40,0.8528340999619104
23,2,35,0.6639782999991439
21,0,20,0.7890872999560088
21,0,25,0.7391861999640241
23,2,5,0.638788599986583
19,0,35,0.7311698000412434
23,0,35,0.8967754999757744
23,2,25,0.7405978000024334
19,2,40,0.7920163000235334
23,0,40,0.6894671999616548
19,2,10,0.6284037999575958
19,0,40,0.8203120999969542
23,2,25,0.6622161000268534
23,2,20,0.7021462999982759
21,0,20,0.6700912999804132
23,2,0,0.5205243999953382
21,0,30,0.5983742999960668
19,0,15,0.7077054000110365
21,2,30,0.7236309999716468
23,2,5,0.626014000037685
21,2,10,0.668282900005579
19,0,15,0.6596074000117369
19,2,5,0.7322521000169218
21,0,5,0.6685229000286199
19,0,30,0.7465547000174411
21,2,30,0.7863926999852993
23,0,40,0.6126042999676429
23,0,20,0.794574300001841
21,0,5,0.6354022000450641
23,0,0,0.5506614000187255
19,0,25,0.8364037999999709
19,2,0,0.5668001999729313
21,0,35,0.6959566000150517
19,2,40,0.8999173999764025
19,2,10,0.7412996999919415
23,0,0,0.7248379000229761
19,0,35,0.8654391000163741
23,0,35,0.7732868000166491
23,2,35,0.7382465999689884
23,2,35,0.7460332999471575
21,0,0,0.631928600021638
23,2,10,0.6319078000378795
21,2,30,0.7102321999846026
19,0,5,0.7088055000058375
19,0,10,0.6139445999870077
21,2,0,0.7025328000308946
21,2,25,0.6101745000341907
23,0,30,0.695994800014887
19,2,20,0.7756306999945082
23,2,40,0.6223066999809816
19,2,30,0.6974759000004269
19,2,35,0.7392034999793395
19,0,10,0.6134745999588631
19,2,30,0.622267400030978
19,0,25,0.7827421000110917
19,0,10,0.5764705999754369
21,2,25,0.6768702000263147
21,2,10,0.5883736000396311
19,0,40,0.8561887000105344
21,2,20,0.709426200017333
19,2,35,0.7426470000064
23,2,0,0.5723086000070907
19,2,30,0.7311012999853119
23,2,10,0.6493627000018023
19,0,0,0.7109488000278361
21,0,20,0.7022510999813676
21,0,40,0.934856999956537
19,2,10,0.7183966000447981
19,0,5,0.6259321000543423
19,2,25,0.6316392000298947
19,2,10,0.7122970999917015
19,0,0,0.5231575000216253
21,0,30,0.7099163000239059
21,0,5,0.5772428000345826
21,2,20,0.6346038000192493
21,2,20,0.5558319999836385
23,2,30,0.6320599999744445
19,2,5,0.8441109000123106
19,2,10,0.6942783999838866
21,2,20,0.6376188999856822
21,2,25,0.6827371999970637
23,0,20,0.6518291999818757
23,0,15,0.5378521999809891
23,0,15,0.7204288000357337
21,2,40,0.8628956000320613
19,2,0,0.6286003999994136
21,2,25,0.8435124999959953
23,0,25,0.6461516999988817
23,2,10,0.6195502000045963
23,2,15,0.6497827999992296
21,0,25,0.5978975999751128
19,2,30,0.66955470002722
21,2,15,0.7405477000284009
23,2,35,0.6820492999977432
19,0,0,0.5695103000034578
23,0,40,0.7911700999829918
23,0,5,0.5973126000026241
23,2,40,0.6194392000325024
21,2,30,0.7358379000215791
23,0,5,0.6333141999784857
21,0,25,0.6354414000525139
19,0,10,0.5678555999766104
23,2,5,0.6447657999815419
19,0,30,0.7607080999878235
23,0,10,0.6234298999770544
19,0,15,0.6648187999962829
23,2,25,0.6627570000127889
19,0,35,0.6603457999881357
21,0,35,0.8302485999884084
19,2,35,0.7377356000361033
21,0,20,0.7109546000137925
19,0,25,0.7540959999896586
19,0,25,0.6212110999622382
21,0,10,0.7356643999810331
21,0,10,0.937798400002066
23,2,15,0.6701532000442967
19,2,5,0.7110818999935873
