Face,Direction,Eccentricity,Reaction Time (s)
11,2,0,0.48412429995369166
9,2,30,0.4383543999865651
9,2,20,0.5284791000303812
11,2,15,0.5046682999818586
11,2,20,0.5407917000120506
9,2,15,0.4882891999441199
9,2,40,0.9230179999722168
11,2,35,0.7269468000158668
11,2,5,0.6234475999954157
9,2,20,0.4677787000546232
9,2,40,0.5293749999837019
11,2,30,0.5468719000346027
11,2,10,0.4922680999734439
11,2,25,0.5833398000104353
9,2,10,0.5135418000281788
11,2,35,0.6983730000210926
9,2,25,0.5235754000023007
11,2,15,0.47737679997226223
9,2,25,0.5025831999955699
11,2,0,0.6000283000175841
9,2,20,0.47474909998709336
11,2,10,0.4495153000461869
9,2,5,0.4071207999950275
9,2,40,0.5608851999859326
11,2,0,0.46725220000371337
9,2,5,0.4656461999984458
11,2,15,0.5426474999985658
11,2,20,0.5408417999860831
9,2,10,0.48433909995947033
9,2,35,0.6637993000331335
11,2,0,0.48893009999301285
9,2,25,0.4942872999818064
11,2,35,0.6147782999905758
9,2,5,0.43414369999663904
9,2,25,0.49913510004989803
11,2,0,0.4085219000116922
11,2,30,0.611020100011956
9,2,5,0.5993591999867931
11,2,20,0.614244399999734
9,2,15,0.5674416000256315
11,2,5,0.4616525999736041
9,2,30,0.5598183000111021
11,2,15,0.5668659000075422
11,2,0,0.5412584000150673
11,2,25,0.6139574999688193
11,2,0,0.4142086000065319
11,2,15,0.5131060999701731
9,2,10,0.4824572000070475
11,2,15,0.5017097000381909
9,2,0,0.4489352999953553
11,2,5,0.5452485000132583
9,2,25,0.5327760999789461
9,2,10,0.4611291000037454
9,2,35,0.573623200005386
9,2,5,0.46918959997128695
9,2,5,0.501602099975571
9,2,35,0.6102115000248887
11,2,15,0.5573043000185862
9,2,35,0.5714655999909155
9,2,5,0.5361804999993183
9,2,20,0.5934884999878705
9,2,0,0.48816680000163615
11,2,10,0.5289828000240959
11,2,25,0.6847426000167616
11,2,35,0.6637861999915913
11,2,40,0.7034073999966495
9,2,25,0.5020480999955907
9,2,40,0.5975576000055298
9,2,0,0.5579489000374451
11,2,30,0.5850679000141099
11,2,30,0.6016070999903604
9,2,30,0.6190846000099555
9,2,10,0.5048599999863654
11,2,15,0.5587140000425279
11,2,40,0.7040032999939285
11,2,30,0.6313687000074424
11,2,30,0.6577590000233613
11,2,35,0.5760290999896824
11,2,40,0.6116073000011966
9,2,25,0.5859502999810502
9,2,20,0.59290459996555
11,2,10,0.4596679999958724
9,2,20,0.4943218000116758
9,2,20,0.6546031000325456
11,2,30,0.597874499973841
11,2,40,0.7841924999956973
11,2,35,0.6128469999530353
9,2,10,0.6397754999925382
11,2,40,0.6625219999696128
11,2,40,0.6145667000091635
11,0,20,0.514498500037007
9,0,15,0.484762399981264
11,0,30,0.5954822999774478
9,0,25,0.5125052999937907
11,0,0,0.46697309997398406
9,0,35,0.557466399972327
9,0,25,0.6393166999914683
9,0,0,0.4727564000058919
11,0,30,0.5862780999741517
9,0,40,0.7174249000381678
11,0,40,0.5922425999888219
9,0,5,0.573154199984856
9,0,30,0.6993970000185072
9,0,15,0.5750248999684118
11,0,30,0.60623089998262
9,0,40,0.6969226999790408
9,0,25,0.6291023999801837
11,0,5,0.6519284000387415
9,0,40,0.6402160999714397
9,0,15,0.6171614999766462
11,0,15,0.4395133000216447
9,0,35,0.6354844000306912
11,0,30,0.6371781000052579
9,0,20,0.6506804000237025
9,0,35,0.6805072000133805
11,0,10,0.47931289998814464
11,0,20,0.5824343000422232
11,0,35,0.6819571999949403
11,0,10,0.536219900008291
11,0,10,0.4487480000243522
11,0,15,0.4533272000262514
11,0,30,0.5984331999788992
9,0,40,0.5069490000023507
11,0,10,0.5720714000053704
11,0,10,0.4881510999985039
9,0,10,0.5406665999908
11,0,30,0.6841187000391074
11,0,10,0.6022214000113308
9,0,0,0.5520906000165269
11,0,25,0.6509181000292301
9,0,5,0.5400195000111125
11,0,0,0.48177029995713383
11,0,35,0.6321755000390112
11,0,15,0.5554649999830872
11,0,15,0.6463786999811418
9,0,5,0.5736168000148609
9,0,25,0.6296054000267759
9,0,20,0.5623815000290051
9,0,30,0.6821025999961421
11,0,20,0.5476424000225961
9,0,5,0.5551361000398174
9,0,25,0.5273857000283897
9,0,0,0.4733299000072293
11,0,5,0.4901147000491619
11,0,25,0.6041524999891408
9,0,0,0.42292539996560663
11,0,35,0.6041305999970064
9,0,0,0.4623089999658987
11,0,10,0.6368002999806777
9,0,20,0.7097709000227042
9,0,25,0.5079990000231192
11,0,0,0.49414760002400726
11,0,15,0.5809128999826498
11,0,40,0.6643190999748185
9,0,20,0.4395447999704629
9,0,30,0.5731882000109181
9,0,35,0.5515507999807596
11,0,5,0.46057350002229214
9,0,0,0.44298689998686314
9,0,20,0.6388100000331178
9,0,30,0.5555916000157595
11,0,5,0.4858555000391789
9,0,35,0.7063858000328764
9,0,35,0.5464688999927603
11,0,35,0.6849538999958895
9,0,0,0.5818253000034019
9,0,10,0.5556760000181384
9,0,5,0.476857999979984
11,0,10,0.4629286000272259
9,0,20,0.4541554999887012
11,0,20,0.5161206999910064
9,0,40,0.6556642999639735
11,0,25,0.5279712000046857
9,0,5,0.6071070999605581
11,0,25,0.6083917000214569
9,0,15,0.48391829995671287
11,0,40,0.7004269000026397
9,0,40,0.5652245999663137
9,0,40,0.6368604999734089
11,0,15,0.49451039999257773
