Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,5,0.3392706000013277
90.0,0,35,0.49426409997977316
90.0,2,30,0.400331599987112
0.0,2,15,0.4211741000181064
90.0,2,40,0.48426129994913936
90.0,2,0,0.5990559000056237
90.0,2,5,0.412087699980475
90.0,0,30,0.3746227000374347
90.0,0,5,0.3431276000337675
0.0,0,0,0.4328957999823615
0.0,0,40,0.440443400060758
90.0,0,40,0.4200342999538407
0.0,2,35,0.4676838000304997
90.0,0,35,0.4018623000010848
90.0,0,35,0.49490170006174594
90.0,0,20,0.45882249996066093
0.0,2,30,0.4960440000286326
0.0,0,15,0.4527211000677198
90.0,2,30,0.4354831000091508
0.0,2,35,0.5427754000993446
0.0,0,15,0.4967733999947086
0.0,0,0,0.5256079999962822
90.0,0,5,0.4178962999721989
90.0,0,25,0.4309787000529468
0.0,0,10,0.4948022000025958
90.0,0,20,0.433200899977237
90.0,0,35,0.44452290004119277
0.0,2,25,0.38870620005764067
0.0,0,30,0.4372997999889776
90.0,0,5,0.4029099999461323
0.0,0,30,0.4701997999800369
0.0,0,0,0.4473431999795139
90.0,2,30,0.4225459999870509
0.0,2,40,0.47202039998956025
90.0,2,25,0.47538790001999587
0.0,2,10,0.48140300007071346
0.0,2,30,0.45829640002921224
90.0,2,0,0.4138485000003129
90.0,2,15,0.41737339994870126
0.0,2,25,0.42904419999103993
0.0,0,0,0.4276736999163404
0.0,2,25,0.42026439995970577
90.0,0,40,0.4718872000230476
90.0,0,15,0.45780840003862977
0.0,2,40,0.5104982999619097
90.0,2,5,0.44542519992683083
0.0,0,15,0.4361887000268325
90.0,0,30,0.5010777999414131
0.0,0,20,0.5370232000714168
0.0,0,20,0.4766016999492422
0.0,0,5,0.4760124000022188
90.0,2,15,0.42860800004564226
90.0,0,35,0.4369903999613598
90.0,0,25,0.48568600008729845
90.0,2,25,0.44853799999691546
90.0,0,35,0.44916020007804036
90.0,2,0,0.4691101999487728
0.0,0,15,0.4001860999269411
0.0,2,5,0.41243030002806336
0.0,2,0,0.41277529997751117
0.0,2,0,0.4004796000663191
0.0,2,35,0.4727994999848306
0.0,2,0,0.3975589000619948
0.0,0,0,0.3381516000954434
0.0,2,35,0.34399419999681413
0.0,0,10,0.46614959998987615
0.0,0,20,0.4870977000100538
0.0,0,25,0.44824160006828606
0.0,2,20,0.43257080006878823
90.0,2,40,0.5128719999920577
0.0,0,10,0.5093061999650672
0.0,2,10,0.4627240999834612
90.0,2,25,0.5350405999924988
90.0,2,40,0.5368026000214741
90.0,2,20,0.43371429992839694
0.0,2,10,0.4400953999720514
0.0,0,40,0.4991164000239223
0.0,0,30,0.470317899947986
90.0,2,15,0.480675800004974
90.0,2,40,0.6198819999117404
0.0,2,35,0.5359273999929428
0.0,2,15,0.4607024999568239
90.0,2,20,0.5067390000913292
90.0,2,0,0.4792808999773115
0.0,0,25,0.47222630004398525
0.0,2,35,0.47335230000317097
0.0,0,25,0.5265659999568015
0.0,2,40,0.668645599973388
0.0,2,0,0.48282790009398013
0.0,0,40,0.4679386999923736
90.0,2,40,0.5226580000016838
0.0,2,0,0.44315519998781383
0.0,0,20,0.47076169995125383
90.0,2,15,0.4645641000242904
90.0,0,35,0.4911918999860063
