Letter,Direction,Eccentricity,Reaction Time (s)
E,2,30,0.38267130008898675
P,0,40,0.4517822000198066
E,2,40,0.7383855000371113
E,2,0,0.4918885000515729
B,2,30,0.42485900002066046
B,2,20,0.4935288999695331
E,0,30,0.5596650000661612
B,2,40,0.5898263000417501
P,2,10,0.4286101000616327
P,2,0,0.47950339992530644
B,2,0,0.44531769992318004
B,2,40,0.4917047000490129
B,0,30,0.5196301999967545
P,0,30,0.513479599962011
P,2,20,0.5271389000117779
B,2,10,0.6151229999959469
P,0,10,0.4958671999629587
B,0,40,0.6263287999900058
E,2,30,0.5479596999939531
E,0,0,0.45203899999614805
E,2,0,0.5375089000444859
B,0,20,0.534104699967429
B,0,20,0.44642249995376915
P,2,10,0.505020400043577
P,2,30,0.7018422000110149
E,2,40,0.6110990999732167
E,0,20,0.5744632999412715
P,2,40,0.7786040999926627
E,0,20,0.6310477000661194
P,2,0,0.5359013000270352
B,0,0,0.5233749999897555
E,0,10,0.5435967999510467
E,0,40,0.7916185000212863
P,0,10,0.6103858000133187
B,0,30,0.6630110000260174
B,2,10,0.5494485000381246
E,2,20,0.6215248999651521
P,0,10,0.566466800053604
P,0,20,0.557096799951978
P,0,40,0.633817599969916
B,0,10,0.6009540000231937
P,2,0,0.5284583999309689
E,2,10,0.5503995000617579
B,2,30,0.5330833999905735
P,0,0,0.7146776999579743
E,2,0,0.5198208000510931
E,0,20,0.5241450999164954
B,0,0,0.5508753000758588
B,2,40,0.6223207999719307
E,2,10,0.5389470999361947
E,0,0,0.5547643000027165
E,2,20,0.5476924000540748
B,2,10,0.5596328999381512
B,0,30,0.628362699993886
E,0,20,0.5087216000538319
E,0,30,0.5595005999784917
P,2,20,0.5887461999664083
E,0,20,0.5384110000450164
E,2,20,0.5757965999655426
P,2,30,0.5224541000789031
E,2,0,0.46712310006842017
E,0,30,0.5747277999762446
P,0,40,0.7032916999887675
B,2,10,0.6023467999184504
E,0,10,0.5021438000258058
P,0,20,0.6272002999903634
P,2,40,0.723543900065124
B,0,10,0.5309860999695957
P,0,40,0.6925900999922305
B,2,40,0.7243348000338301
B,0,10,0.6354991000844166
B,2,20,0.6357961999019608
E,0,0,0.5494420999893919
E,0,40,1.2424963000230491
B,2,20,0.5660036000190303
E,0,10,0.563922300003469
P,2,40,0.8022378999739885
P,2,20,0.6315359999425709
P,0,40,0.6562391000334173
P,0,30,0.46068350004497916
E,0,0,0.49162069999147207
P,2,20,0.5835104999132454
E,0,20,0.5560015999944881
E,0,0,0.5486748999683186
P,2,30,0.5559015000471845
P,2,10,0.5782315999967977
B,2,30,0.6237624998902902
B,2,40,0.642051300033927
P,0,30,0.8240285000065342
B,0,0,0.6027069999836385
B,2,10,0.5279928999952972
P,2,30,0.594977599917911
E,2,30,0.7137384000234306
P,0,30,0.7047328000189736
P,0,0,0.6996742999181151
P,0,40,0.8506681999424472
B,2,0,0.6101850001141429
P,0,40,0.8977239000378177
B,0,10,0.5750776000786573
B,2,0,0.6179222000064328
