Letter,Direction,Eccentricity,Reaction Time (s)
B,2,10,0.4950400000670925
B,2,30,0.45634139992762357
B,0,20,0.6427810000022873
E,2,0,0.57263970002532
P,2,30,0.5504197000991553
B,0,10,0.4592350000748411
E,2,30,0.5431375000625849
B,2,40,0.6064715000102296
B,2,40,0.45457930001430213
B,2,0,0.48607370001263916
B,2,10,0.4554801000049338
E,0,40,0.594644199940376
B,0,0,0.45510559994727373
B,0,30,0.47574620007071644
E,0,30,0.4767350999172777
E,0,40,0.6402262999908999
B,2,30,0.4745377000654116
P,2,30,0.5689492999808863
B,0,20,0.4702347998972982
E,2,10,0.47147540003061295
E,2,40,0.5322558999760076
B,0,10,0.5262468000873923
B,0,20,0.7191206000279635
E,0,30,0.5561605000402778
B,0,0,0.542025100090541
B,0,0,0.6140020999591798
B,2,30,0.5009688000427559
B,2,10,0.4557525999844074
P,2,0,0.6161497000139207
B,0,0,0.4908403999870643
P,0,40,0.7540961999911815
P,2,10,0.5926043000072241
B,0,40,0.7300246000522748
B,0,20,0.625159899936989
P,2,30,0.6659713999833912
P,0,20,0.5975659999530762
P,2,20,0.5988725000061095
P,2,20,0.6906275999499485
P,2,0,0.569597200024873
P,0,10,0.6333648000145331
E,0,0,0.4894396000308916
P,2,40,0.6555504000280052
P,0,30,0.5580596000654623
P,2,20,0.5824486999772489
E,0,20,0.6107546000275761
B,2,0,0.6466763000935316
B,2,0,0.5333467000164092
E,2,20,0.5536240000510588
E,2,40,0.5432599000632763
P,0,30,0.615745099959895
P,2,30,0.6640931000001729
P,2,0,0.6694817000534385
P,2,40,1.0551042000297457
E,0,10,0.5469734000507742
E,2,40,0.5735421000281349
P,0,10,0.4875671999761835
E,0,20,0.5073910999344662
E,0,20,0.5211022000294179
P,2,10,0.6413334000390023
P,2,10,0.5410953001119196
E,0,40,0.5366333000129089
E,0,30,0.5094322999939322
E,0,10,0.5089900000020862
P,2,10,0.6183707999298349
E,2,30,0.5697010000003502
E,2,40,0.5253179999999702
B,2,20,0.6128442999906838
E,2,30,0.5326889000134543
P,2,20,0.6883523999713361
B,0,10,0.540008099982515
E,2,40,0.5769256999483332
B,0,10,0.568653600057587
P,0,30,0.6687804999528453
E,0,40,0.5801804999355227
P,0,30,0.5755534999771044
E,0,0,0.6047883999999613
E,0,0,0.5116551000392064
E,0,40,0.5386182999936864
E,2,10,0.5126705999718979
B,2,20,0.5985949999885634
P,2,20,0.7629716999363154
B,0,0,0.6769682000158355
P,0,20,0.7311016999883577
P,2,20,0.6823886999627575
E,0,30,0.5526791999582201
P,0,10,0.6061391000403091
P,0,0,0.5472474000416696
P,0,40,0.6375614999560639
E,2,20,0.5323205000022426
P,2,0,0.5542762000113726
B,0,30,0.5058777000522241
P,2,0,0.530325899948366
B,0,10,0.47997600003145635
E,0,20,0.5273273000493646
B,2,40,0.6871128999628127
E,0,40,0.714401200064458
P,0,0,0.5370772999012843
B,2,10,0.5236167999682948
B,2,0,0.5272105999756604
E,0,40,0.5576369999907911
