Letter,Direction,Eccentricity,Reaction Time (s)
B,2,30,1.020574096000928
E,2,0,0.5827635370005737
E,2,30,0.8043849389996467
B,2,10,0.8399190749987611
E,2,10,0.7948386370007938
P,2,40,0.8382301799993002
B,2,30,0.6875483700005134
B,2,20,0.6876724339999782
P,2,30,0.5500278279996564
E,2,30,0.6077284749990213
E,2,30,0.61458001200117
E,2,40,0.7993717930003186
E,2,20,0.56001052099964
B,2,0,0.6038628589994914
B,2,40,0.8835061959998711
P,2,10,0.8239831259998027
P,2,20,0.8246210759989481
B,2,10,0.5993309060013416
P,2,10,0.5860875109992776
E,2,40,0.7042402759998367
P,2,0,0.8356759109992709
B,2,30,0.8404058199994324
B,2,0,0.6320440399995277
B,2,10,0.6263416820002021
B,2,40,0.8785000850002689
P,2,10,0.6173677329989005
P,2,20,0.8563061840013688
B,2,0,0.6766345600008208
P,2,20,0.8954724819996045
E,2,40,0.847911295000813
B,2,0,1.104240397000467
P,2,20,0.782730826000261
B,2,20,0.6493646740000258
P,2,0,0.6825406680000015
B,2,0,0.548761296999146
B,2,30,0.6252110080004059
B,2,30,0.6666270530004113
E,2,40,0.6113147309988562
E,2,0,0.6609646510005405
E,2,30,0.6426106119997712
B,2,20,0.6161935950003681
P,2,10,0.522412816000724
E,2,0,0.5997953610003606
E,2,40,0.7888584200009063
P,2,40,0.7769646470005682
P,2,40,0.6776451559999259
E,2,10,0.555623039999773
P,2,20,0.7042695870004536
B,2,20,0.6244283739997627
P,2,10,1.3536990740012698
P,0,30,0.7564839639999263
E,0,40,0.7593094900003052
B,0,20,0.6983084319999762
B,0,30,0.5483321430001524
P,0,20,0.6231165760000295
B,0,40,1.2277601519999735
B,0,40,1.0095654470005684
B,0,30,0.7465174090011715
E,0,40,0.8041541019993019
B,0,20,0.5749825380007678
B,0,20,0.5186569500001497
B,0,0,0.6496930769990286
P,0,10,0.6228709200004232
P,0,30,0.9053899489990727
P,0,40,1.1006052499997168
B,0,30,0.8641309390004608
P,0,20,0.6377291270000569
E,0,10,0.5868171989986877
E,0,30,0.8566518620009447
B,0,10,0.859601209000175
B,0,0,0.622095601998808
P,0,10,0.6173513249996176
B,0,0,0.8445153009997739
P,0,10,0.6322653759998502
E,0,0,0.6476771360012208
E,0,0,0.5224667339989537
B,0,30,0.8305963189995964
P,0,10,0.4973353390014381
E,0,10,0.6212503040005686
P,0,10,0.5971497360005742
P,0,40,0.7485527970002295
P,0,40,0.693208978000257
B,0,30,0.8221167840001726
E,0,20,0.9075502169998799
P,0,10,0.7067136210007448
B,0,20,0.5586122969998542
E,0,20,0.518839141999706
B,0,0,0.5846714809995319
E,0,0,0.5495180079997226
P,0,30,0.6410830299992085
B,0,30,0.6838979740005016
B,0,0,0.6436346150003374
P,0,10,0.5396104530009325
E,0,40,1.3002230940001027
P,0,20,0.6940007299999706
E,0,0,0.5707373669993103
B,0,40,0.7417935989997204
B,0,0,0.5604715749996103
E,0,40,1.1002264819999255
P,0,20,0.4915385290005361
