Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.5873974429996451
0.0,2,10,0.21113589800370391
0.0,2,10,0.22888710600091144
0.0,2,40,0.07977349701104686
0.0,2,10,0.23846810999384616
0.0,2,40,0.23416735099453945
0.0,2,0,0.2771239909925498
0.0,2,30,0.2204836580058327
0.0,2,30,0.32040282200614456
0.0,2,30,0.2905010179965757
0.0,2,20,0.26156430300034117
0.0,2,0,0.2756532240018714
0.0,2,20,0.3095218430098612
0.0,2,10,0.22737829700054135
0.0,2,20,0.2689917239913484
0.0,2,40,0.2852653290028684
0.0,2,0,0.28393363300710917
0.0,2,0,0.3093097810051404
0.0,2,20,0.2737236200046027
0.0,2,40,0.2360241990099894
0.0,2,10,0.3475021389895119
0.0,2,0,0.25397630300722085
0.0,2,30,0.5083931700064568
0.0,2,40,0.36119244899600744
0.0,2,30,0.4032402769953478
0.0,2,20,0.017280164000112563
0.0,2,40,0.29579101300623734
0.0,2,10,0.2477998490066966
0.0,2,20,0.37951390800299123
0.0,2,40,0.23325879499316216
0.0,2,30,0.24779586899967398
0.0,2,0,0.40886630400200374
0.0,2,30,0.24002681700221729
0.0,2,30,0.2294585640047444
0.0,2,10,0.3220962170016719
0.0,2,10,0.10124891699524596
0.0,2,30,0.26598682699841447
0.0,2,20,0.27145434900012333
0.0,2,10,0.2911783299932722
0.0,2,40,0.3565227200015215
0.0,2,20,0.18269113800488412
0.0,2,0,0.3220962880004663
0.0,2,20,0.3277377150079701
0.0,2,0,0.4826467539969599
0.0,2,30,0.6552176209952449
0.0,2,20,0.26956600199628156
0.0,2,0,0.40739796600246336
0.0,2,40,0.6316184379975311
0.0,2,10,0.3401337030081777
0.0,2,40,0.2645638199901441
0.0,0,30,0.3367504000052577
0.0,0,30,0.23934443600592203
0.0,0,30,0.18755422199319582
0.0,0,0,0.36677782599872444
0.0,0,30,0.24971138099499512
0.0,0,10,0.2384419370064279
0.0,0,0,0.3776349450054113
0.0,0,20,0.263957160001155
0.0,0,10,0.3283014810003806
0.0,0,20,0.23574556500534527
0.0,0,20,0.2900856019987259
0.0,0,10,0.2845466779981507
0.0,0,0,0.34429177999845706
0.0,0,20,0.2623863810003968
0.0,0,30,0.2663569199939957
0.0,0,40,0.3814707559940871
0.0,0,0,0.7833634879934834
0.0,0,10,0.2727671610045945
0.0,0,0,0.22305179400427733
0.0,0,40,0.26075309900625143
0.0,0,40,0.28553326200926676
0.0,0,10,0.26639219500066247
0.0,0,0,0.3434048790077213
0.0,0,40,0.23537517699878663
0.0,0,0,0.36707906900846865
0.0,0,0,0.3058200140076224
0.0,0,40,0.25034637699718587
0.0,0,10,0.3246319310128456
0.0,0,10,0.28065364199574105
0.0,0,40,0.2708375740039628
0.0,0,20,0.28719396599626634
0.0,0,20,0.23647090299346019
0.0,0,10,0.26119045801169705
0.0,0,20,0.24771380099991802
0.0,0,30,0.2737694989918964
0.0,0,30,0.26196427599643357
0.0,0,20,0.27138009200280067
0.0,0,40,0.2684421489975648
0.0,0,10,0.32380853198992554
0.0,0,0,0.4661884710076265
0.0,0,30,0.2748548679956002
0.0,0,40,0.3638463840034092
0.0,0,40,0.3663844479888212
0.0,0,30,0.2804274629888823
0.0,0,40,0.31626758399943355
0.0,0,20,0.3817002559953835
0.0,0,0,0.378229795009247
0.0,0,20,0.4995198680117028
0.0,0,10,0.33388390399341006
0.0,0,30,0.6801917479897384
