Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,30,0.5300511679961346
0.0,2,20,0.4036932599992724
0.0,2,0,0.23699637899699155
0.0,2,40,0.3051631200069096
0.0,2,0,0.11956265199114569
0.0,2,0,0.30850090699095745
0.0,2,0,0.2612331650016131
0.0,2,10,0.2739900989981834
0.0,2,0,0.3417846179945627
0.0,2,40,0.25115571900096256
0.0,2,10,0.24056594200374093
0.0,2,20,0.3008989450027002
0.0,2,30,0.3084354579914361
0.0,2,20,0.25894700300705153
0.0,2,0,0.33294481299526524
0.0,2,40,0.20978054500301369
0.0,2,10,0.2697158109949669
0.0,2,10,0.2793312089925166
0.0,2,10,0.3045437559921993
0.0,2,30,0.3438708180037793
0.0,2,30,0.22892797099484596
0.0,2,10,0.29774939200433437
0.0,2,30,0.25575415800267365
0.0,2,20,0.35351873000035994
0.0,2,20,0.2680779590009479
0.0,2,10,0.31798439599515405
0.0,2,30,0.3585424310003873
0.0,2,40,0.48765601399645675
0.0,2,30,0.2611113999882946
0.0,2,20,0.2373644030012656
0.0,2,40,0.325373548999778
0.0,2,40,0.33301046601263806
0.0,2,30,0.37982563400873914
0.0,2,0,0.3250596249999944
0.0,2,10,0.31437621200166177
0.0,2,0,0.5239774030051194
0.0,2,40,0.2743441420025192
0.0,2,30,0.2560862960090162
0.0,2,20,0.22921529399172869
0.0,2,20,0.27835201799462084
0.0,2,0,0.3007256070122821
0.0,2,10,0.26798937599232886
0.0,2,40,0.3222960820130538
0.0,2,20,0.42166846999316476
0.0,2,40,0.6178275470010703
0.0,2,30,0.49641871299536433
0.0,2,40,0.4894257620035205
0.0,2,20,0.32452013999863993
0.0,2,10,0.2954055129957851
0.0,2,0,0.22909620599239133
0.0,0,0,0.37511996099783573
0.0,0,0,0.22647072600375395
0.0,0,20,0.22778874999494292
0.0,0,10,0.29210712599160615
0.0,0,30,0.5317507319996366
0.0,0,10,0.24238949800201226
0.0,0,20,0.24151589299435727
0.0,0,0,0.294816666006227
0.0,0,40,0.19816277199424803
0.0,0,20,0.4848587089945795
0.0,0,40,0.4201236679946305
0.0,0,20,0.3603585630044108
0.0,0,40,0.26680310200026724
0.0,0,30,0.29614320100517944
0.0,0,30,0.26711572699423414
0.0,0,40,0.374704952002503
0.0,0,10,0.345410150999669
0.0,0,10,0.6375679269985994
0.0,0,40,0.578685549000511
0.0,0,20,0.5751530829875264
0.0,0,30,0.6314712009916548
0.0,0,40,0.6628916259942343
0.0,0,20,0.3395267609885195
0.0,0,20,0.4279684549983358
0.0,0,40,0.5697658800054342
0.0,0,10,0.34095580100256484
0.0,0,30,0.5049520520115038
0.0,0,0,0.4545242290041642
0.0,0,10,0.4708074649970513
0.0,0,30,0.733340416001738
0.0,0,0,0.44645405499613844
0.0,0,0,0.47248813799524214
0.0,0,10,0.30962148400431033
0.0,0,40,0.4909848109964514
0.0,0,20,0.4324473860033322
0.0,0,30,0.23194296700239647
0.0,0,10,0.28298654199170414
0.0,0,40,0.24175547300546896
0.0,0,30,0.4078656339988811
0.0,0,0,0.6691357649979182
0.0,0,30,0.4607636760047171
0.0,0,20,0.32277724200685043
0.0,0,0,0.3483070840011351
0.0,0,10,0.2775394430063898
0.0,0,0,0.39993048801261466
0.0,0,10,0.36243713900330476
0.0,0,0,0.34467385400785133
0.0,0,30,0.5920032089925371
0.0,0,40,0.3898391319962684
0.0,0,20,0.49730717299098615
