Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,30,0.7077111399994465
45.0,2,40,0.8696122990077129
0.0,2,40,1.134539421997033
90.0,2,20,0.5865833179996116
45.0,2,30,0.6794613220117753
90.0,2,20,0.5789516039949376
0.0,2,40,0.9566766950010788
45.0,2,0,0.5608598230028292
0.0,2,20,1.0056482030049665
90.0,2,10,0.5844810029957443
45.0,2,30,0.6626818349905079
0.0,2,0,0.5229244869988179
45.0,2,0,0.6005106399970828
45.0,2,0,0.419859280998935
0.0,2,10,0.6693013179901754
90.0,2,20,0.6573941719980212
45.0,2,10,0.7668762690009316
45.0,2,0,0.6314917859999696
90.0,2,30,0.7998661789897596
45.0,2,10,0.5554754110053182
45.0,2,40,0.9127934349962743
45.0,2,30,0.7341486910008825
0.0,2,10,0.6309316770057194
45.0,2,0,0.48256456600211095
0.0,2,40,1.4663642189989332
0.0,2,10,0.8604895729949931
45.0,2,0,0.46070484499796294
45.0,2,10,0.47748268699797336
45.0,2,40,1.185252750001382
90.0,2,30,0.5020431849989109
90.0,2,30,0.4908330509933876
90.0,2,30,0.49974576399836224
45.0,2,10,0.574182483003824
45.0,2,40,0.7879483080032514
90.0,2,20,0.45987107200198807
90.0,2,40,0.57053601599182
45.0,2,20,0.513423349999357
90.0,2,20,0.4981679560005432
90.0,2,10,0.4966693970054621
45.0,2,40,1.1235945320077008
45.0,2,20,0.5369898099888815
90.0,2,0,0.4686231730011059
90.0,2,20,0.5396682110003894
90.0,2,40,0.4567098089901265
45.0,2,20,0.5148812330007786
90.0,2,30,0.5569939709967002
45.0,2,30,0.7547668830084149
90.0,2,0,0.4378108000091743
45.0,2,0,0.5123143330129096
45.0,2,10,0.4900503559911158
45.0,0,20,0.5380924070050241
0.0,0,0,0.4805351489922032
45.0,0,30,0.707893425002112
0.0,0,30,0.5928167800011579
45.0,0,10,0.630976134998491
45.0,0,10,0.5091481359995669
45.0,0,10,0.5218444100028137
90.0,0,0,0.46073035900190007
90.0,0,10,0.33098835399141535
45.0,0,30,0.6132813040021574
45.0,0,0,0.4010758290096419
0.0,0,40,0.9195407130027888
0.0,0,30,0.6508813289983664
90.0,0,40,0.543523861997528
45.0,0,20,0.5238660079921829
45.0,0,10,0.5594259490026161
45.0,0,40,0.6519999200099846
90.0,0,0,0.48641562199918553
0.0,0,0,0.5772635670000454
90.0,0,20,0.44630253899958916
0.0,0,0,0.5267381670128088
0.0,0,20,0.5654949370073155
90.0,0,40,0.9106958600023063
0.0,0,40,0.8600491139950464
45.0,0,40,0.6956634830130497
45.0,0,10,0.487184019992128
45.0,0,30,0.5638549650029745
45.0,0,40,1.0827987069933442
0.0,0,10,0.593550942998263
45.0,0,20,0.5480366470001172
90.0,0,30,0.6516832779889228
90.0,0,30,0.4925253459950909
45.0,0,0,0.5014745090011274
0.0,0,0,0.5504604080051649
0.0,0,20,0.6552073340135394
0.0,0,40,0.960614905008697
0.0,0,40,0.6795074330002535
0.0,0,10,0.5394281100016087
0.0,0,30,0.461546662991168
90.0,0,10,0.4734166690031998
90.0,0,20,0.4728519829950528
0.0,0,10,0.9882569740002509
45.0,0,20,0.5768819200020516
45.0,0,20,0.5894767319987295
0.0,0,0,0.5894233440048993
0.0,0,0,0.44242778500483837
0.0,0,20,0.5148873989965068
45.0,0,40,0.5083937199960928
45.0,0,30,0.5078854589955881
0.0,0,30,0.5512834339897381
