Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,10,0.4707358380110236
90.0,2,0,0.4214098390075378
90.0,2,20,0.5076123850012664
0.0,2,0,0.5018639960035216
45.0,2,10,0.5308630670042476
90.0,2,20,0.4786230549943866
90.0,2,40,0.6328533109917771
45.0,2,30,0.5008382170053665
0.0,2,30,0.6695897660101764
0.0,2,20,0.5502818459935952
0.0,2,20,0.4556824500032235
0.0,2,0,0.44979437900474295
45.0,2,30,0.5335657079995144
0.0,2,40,0.7680857889936306
45.0,2,30,0.5599680000013905
45.0,2,30,0.5768811650050338
90.0,2,40,0.6432434110029135
90.0,2,0,0.543751080011134
0.0,2,20,0.5832579270063434
0.0,2,40,0.5775866449985188
90.0,2,40,0.5847688719950384
90.0,2,10,0.4625059319951106
90.0,2,40,0.6534003770066192
90.0,2,20,0.4654254920023959
0.0,2,0,0.4502386420062976
0.0,2,30,0.5730018129979726
90.0,2,10,0.42384348399355076
0.0,2,10,0.537094758998137
0.0,2,30,0.5468124710023403
45.0,2,40,0.739120196987642
45.0,2,40,0.6044405050051864
45.0,2,20,0.6176180239999667
90.0,2,30,0.5658592230029171
0.0,2,40,0.9677816290059127
90.0,2,10,0.6824792840052396
45.0,2,0,0.602664960999391
45.0,2,10,0.5922267879941501
45.0,2,0,0.4832995329925325
0.0,2,20,0.788728434999939
0.0,2,20,0.6994121059979079
90.0,2,40,0.5940173870039871
45.0,2,10,0.5120428020018153
0.0,2,30,0.5486950149934273
0.0,2,30,0.5608962120022625
45.0,2,0,0.4903994939959375
45.0,2,20,0.5022195010096766
45.0,2,10,0.5280770499957725
0.0,2,0,0.5383603669906734
90.0,2,0,0.43201129499357194
45.0,2,10,0.5094148810021579
90.0,0,10,0.6819450550101465
0.0,0,10,0.4566218289983226
0.0,0,10,0.481869015013217
45.0,0,30,0.6539046569960192
90.0,0,30,0.557636890996946
45.0,0,20,0.5388022950064624
0.0,0,30,0.5890257199935149
45.0,0,10,0.5436606339935679
0.0,0,30,0.6064367840008345
0.0,0,20,0.5474549439968541
0.0,0,20,0.5463342599978205
45.0,0,0,0.7365505420020781
90.0,0,40,0.5627849849988706
0.0,0,30,0.5546805889898678
0.0,0,10,0.5894682409998495
0.0,0,30,0.5555560450011399
90.0,0,0,0.4638157629960915
90.0,0,0,0.43560185200476553
0.0,0,40,0.5665941320039565
0.0,0,10,0.5525915999896824
0.0,0,0,0.5329514059994835
45.0,0,40,0.6275743219885044
90.0,0,40,0.6387257119931746
90.0,0,20,0.8268817590142135
0.0,0,10,0.5701971800008323
45.0,0,20,0.870125404006103
90.0,0,40,0.5211765999993077
90.0,0,40,0.5673282770003425
45.0,0,30,0.7380168210074771
0.0,0,10,0.5167373599979328
45.0,0,20,0.5008442109974567
90.0,0,30,0.5304778009885922
0.0,0,10,0.5525468870037002
90.0,0,0,0.3941590129979886
45.0,0,40,0.5253697709995322
45.0,0,40,0.539418824002496
45.0,0,20,0.4005716069950722
45.0,0,20,0.4722287410113495
45.0,0,0,0.44983048998983577
45.0,0,0,0.4146141200035345
45.0,0,40,0.5242372810025699
0.0,0,40,0.6817631250014529
90.0,0,0,0.5222698200086597
45.0,0,30,0.545554316995549
0.0,0,10,0.5533691160089802
0.0,0,0,0.5405099909985438
90.0,0,20,0.4518013999913819
45.0,0,30,0.593836095998995
0.0,0,20,0.683985356008634
90.0,0,0,0.40254183000070043
