Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,0,0.47564791100739967
90.0,2,20,0.5317884209944168
90.0,2,0,0.43045285099651664
0.0,2,40,1.0315196569863474
0.0,2,30,0.9514706079935422
90.0,2,20,0.8073258569929749
0.0,2,0,0.6756366939953296
0.0,2,10,0.6807260229979875
0.0,2,0,0.5901866710046306
0.0,2,0,0.6509209890064085
90.0,2,10,0.6894246220035711
90.0,2,30,0.7327268380031455
90.0,2,20,0.9303550189943053
0.0,2,20,0.660234352995758
0.0,2,40,1.548516679002205
90.0,2,10,0.6238244220003253
90.0,2,30,0.65291399898706
90.0,2,20,0.7436286070005735
90.0,2,40,0.8397411839978304
90.0,2,10,0.4482820359990001
0.0,2,10,0.5918382660020143
0.0,2,30,1.0080802519951249
90.0,2,20,0.492303021994303
0.0,2,40,1.4127167420083424
90.0,2,0,0.4412201749946689
90.0,2,30,0.5441530149983009
90.0,2,40,0.48313375998986885
90.0,2,30,0.7386400849936763
90.0,2,30,0.8878069060010603
0.0,2,40,0.7858633709984133
90.0,2,40,0.5274570570036303
90.0,2,0,0.3174203899980057
0.0,2,20,0.5123280420084484
0.0,2,0,0.5252249309996841
90.0,2,40,0.5223604659986449
90.0,2,10,0.4446625219861744
0.0,2,40,0.7387964369991096
90.0,2,10,0.3619719419948524
90.0,2,0,0.36580566500197165
90.0,2,10,0.34830223499739077
90.0,2,30,0.440996813995298
90.0,2,30,0.3885482280020369
90.0,2,10,0.3201971219968982
0.0,2,0,0.575733500008937
0.0,2,20,0.7394958100048825
90.0,2,20,0.4524683419876965
90.0,2,10,0.43939980199502315
0.0,2,30,0.8860513399995398
0.0,2,20,0.6379425180057297
0.0,2,40,1.0291386309982045
90.0,0,10,0.4508588500029873
0.0,0,40,0.9113158309919527
0.0,0,20,0.7078009379911236
90.0,0,0,0.47346213400305714
90.0,0,40,1.1196167190064443
0.0,0,10,0.4048495650058612
90.0,0,20,0.44855956800165586
90.0,0,20,0.5836589530081255
0.0,0,10,0.43276591099856887
0.0,0,20,0.48694984799658414
90.0,0,10,0.40551803799462505
90.0,0,30,0.4927903920033714
0.0,0,30,0.5483648800000083
90.0,0,40,0.48997821600642055
0.0,0,0,0.43190701300045475
90.0,0,0,0.45846008499211166
0.0,0,40,0.5407040590071119
90.0,0,0,0.40489304799120873
0.0,0,30,0.5113720329973148
0.0,0,30,0.4798970419942634
0.0,0,0,0.34584394699777476
0.0,0,40,0.6034038259967929
0.0,0,10,0.560803364001913
0.0,0,0,0.3540428939886624
90.0,0,10,0.3139008630096214
0.0,0,40,0.7354644029983319
90.0,0,20,0.6885429760004627
0.0,0,20,0.5084104120032862
90.0,0,40,0.6789589260006323
0.0,0,20,0.6744263939908706
0.0,0,10,0.46612781900330447
0.0,0,20,0.6849528780003311
90.0,0,30,0.5054438689985545
90.0,0,30,0.545076501002768
0.0,0,20,0.5602295849967049
90.0,0,10,0.45304525599931367
90.0,0,30,0.7302224029990612
0.0,0,40,0.7448229099973105
90.0,0,30,0.5444812659989111
90.0,0,40,0.49909574798948597
90.0,0,20,0.563290939986473
0.0,0,40,0.5912875280046137
90.0,0,30,0.48803241101268213
0.0,0,0,0.5211967450013617
0.0,0,30,0.7854395429894794
0.0,0,0,0.5235208939993754
0.0,0,10,0.5506973589945119
0.0,0,0,0.5491208710009232
90.0,0,0,0.4696802830003435
0.0,0,10,0.398497596004745
