Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,40,0.7319483089959249
0.0,2,0,0.7763963399920613
0.0,2,0,0.7291935629909858
90.0,2,0,0.4643824369995855
0.0,2,10,0.6570643619925249
90.0,2,10,0.5479292379895924
0.0,2,30,0.5808477559912717
0.0,2,40,0.8410821899888106
90.0,2,10,0.6450034589943243
90.0,2,30,0.5376076120010111
0.0,2,10,0.5154869090038119
0.0,2,0,0.5049804790032795
90.0,2,40,0.5831275550008286
90.0,2,30,0.6767358549986966
90.0,2,20,0.508471172011923
90.0,2,0,0.538271134995739
0.0,2,40,0.7609686280047754
90.0,2,20,0.7060416159947636
0.0,2,30,0.6936166380037321
90.0,2,20,0.832659865001915
0.0,2,30,0.6364770009968197
90.0,2,0,0.39325871400069445
90.0,2,0,0.4379418200114742
0.0,2,30,0.7398430220055161
90.0,2,20,0.47311884100781754
0.0,2,20,0.5542953849944752
0.0,2,30,0.552299770002719
90.0,2,40,0.4467485589993885
0.0,2,40,0.5933109089965001
0.0,2,0,0.40014652100217063
0.0,2,30,0.6023960739985341
0.0,2,30,0.5367980159935541
90.0,2,40,0.579432752012508
90.0,2,10,0.43696828999964055
90.0,2,10,0.6076169449952431
0.0,2,20,0.5851282280054875
0.0,2,40,0.5907291589974193
90.0,2,40,0.6681432670011418
90.0,2,10,0.6028512430057162
0.0,2,0,0.4803235579893226
90.0,2,20,0.5309881529974518
90.0,2,30,0.47941785500734113
0.0,2,10,0.4748208000091836
0.0,2,40,0.7973163970018504
0.0,2,10,0.565943323992542
90.0,2,10,0.5836139979946893
0.0,2,20,0.5356287640024675
90.0,2,20,0.49493729999812786
90.0,2,0,0.4690423930005636
90.0,2,20,0.43118596900603734
0.0,0,20,0.41880282199417707
90.0,0,40,0.5533422529988457
0.0,0,20,0.45062191601027735
0.0,0,30,0.5286981960089179
90.0,0,30,0.43286367900145706
0.0,0,0,0.5276336079987232
90.0,0,20,0.45430301199667156
0.0,0,30,0.46630722799454816
90.0,0,0,0.43194287799997255
0.0,0,30,0.4657529049873119
0.0,0,10,0.5233337280078558
90.0,0,40,0.517121622004197
0.0,0,40,0.48915773899352644
0.0,0,40,0.6108071049966384
90.0,0,0,0.3269257720094174
0.0,0,30,0.764525364007568
90.0,0,30,0.5128607790102251
90.0,0,10,0.4566103180113714
90.0,0,30,0.8387126360030379
0.0,0,40,0.7151954470027704
90.0,0,10,0.5232027940073749
0.0,0,30,0.5411414810077986
0.0,0,40,0.6031706939975265
90.0,0,0,0.4708307969995076
0.0,0,40,0.5729292760079261
90.0,0,40,0.4972277939959895
90.0,0,10,0.4679718650004361
90.0,0,0,0.5984475289878901
90.0,0,20,0.4931221050064778
90.0,0,10,0.3984248449996812
90.0,0,40,0.41856357399956323
0.0,0,40,0.6972142149897991
90.0,0,20,0.42531568100093864
90.0,0,20,0.36137201498786453
90.0,0,0,0.4003678090084577
0.0,0,10,0.4089758170011919
0.0,0,30,0.8038526650052518
0.0,0,20,0.535415300008026
90.0,0,0,0.4015871700103162
90.0,0,20,0.47678160699433647
90.0,0,0,0.4333292710070964
90.0,0,20,0.47105302099953406
90.0,0,10,0.43377470000996254
90.0,0,20,0.5054681519977748
90.0,0,30,0.49977919399680104
0.0,0,0,0.5227703520067735
0.0,0,10,0.6568872010102496
90.0,0,10,0.4796781510085566
0.0,0,10,0.41900850500678644
0.0,0,0,0.374077098997077
