Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,30,0.30876944796182215
0.0,2,35,0.4103278040420264
0.0,2,30,0.22510451707057655
0.0,2,25,0.25666777114383876
0.0,2,30,0.2596869559492916
0.0,2,0,0.25965171004645526
0.0,2,25,0.24483442516066134
0.0,2,25,0.2564376029185951
0.0,2,10,0.30345260398462415
0.0,2,40,0.24760680296458304
0.0,2,5,0.22870019008405507
0.0,2,15,0.20313754095695913
0.0,2,25,0.209536966169253
0.0,2,35,0.22264008806087077
0.0,2,15,0.4024854588788003
0.0,2,5,0.30244757886976004
0.0,2,20,0.3954899020027369
0.0,2,25,0.4344817961100489
0.0,2,20,0.32680398295633495
0.0,2,40,0.3006341620348394
0.0,2,15,0.38983506383374333
0.0,2,10,0.3355981349013746
0.0,2,0,0.4024907660204917
0.0,2,35,0.4983862889930606
0.0,2,15,0.41359777585603297
0.0,2,15,0.30884633492678404
0.0,2,25,0.4917706889100373
0.0,2,5,0.28285062685608864
0.0,2,5,0.2552703688852489
0.0,2,10,0.2670799591578543
0.0,2,10,0.25126048899255693
0.0,2,35,0.21013433602638543
0.0,2,5,0.26650963816791773
0.0,2,30,0.2503723769914359
0.0,2,20,0.28973522293381393
0.0,2,40,0.3484641248360276
0.0,2,0,0.345372857991606
0.0,2,20,0.5073501879815012
0.0,2,10,0.22228915407322347
0.0,2,30,0.24035902600735426
0.0,2,5,0.28887837496586144
0.0,2,15,0.41495565697550774
0.0,2,5,0.3300701549742371
0.0,2,35,0.5571432199794799
0.0,2,40,0.365794365061447
0.0,2,0,0.34188639698550105
0.0,2,15,0.38344111084006727
0.0,2,35,0.4290459721814841
0.0,2,20,0.3329129130579531
0.0,2,0,0.3237392718438059
0.0,2,5,0.2592388540506363
0.0,2,40,0.5968815011437982
0.0,2,15,0.33380181319080293
0.0,2,5,0.2854247950017452
0.0,2,35,0.3077184450812638
0.0,2,20,0.572019028943032
0.0,2,0,0.37137892888858914
0.0,2,10,0.30055012507364154
0.0,2,30,0.4241108940914273
0.0,2,30,0.3343065690714866
0.0,2,25,0.46364642516709864
