Face,Direction,Eccentricity,Reaction Time (s)
7,2,20,0.30469741811975837
7,2,25,0.31268122186884284
7,2,30,0.5467988471500576
7,2,5,0.25146751711145043
7,2,15,0.2496162261813879
7,2,30,0.306540141813457
7,2,20,0.34480764903128147
7,2,35,0.49407079513184726
7,2,35,0.44219052814878523
7,2,20,0.2968794309999794
7,2,20,0.26276670792140067
7,2,15,0.3407162530347705
7,2,35,0.5060747410170734
7,2,5,0.3875942090526223
7,2,15,0.35496733197942376
7,2,10,0.3261313179973513
7,2,40,0.3801886320579797
7,2,20,0.29530881997197866
7,2,0,0.5287721089553088
7,2,35,0.30984589690342546
7,2,20,0.23715565889142454
7,2,25,0.2848075130023062
7,2,35,0.3504398730583489
7,2,0,0.2517993610817939
7,2,15,0.2542120721191168
7,2,30,0.24489644798450172
7,2,10,0.4143072529695928
7,2,30,0.37441930384375155
7,2,10,0.21627582609653473
7,2,0,0.23142557102255523
7,2,20,0.2732729979325086
7,2,20,0.24910731613636017
7,2,20,0.23533037584275007
7,2,30,0.21349557396024466
7,2,5,0.2343871460761875
7,2,40,0.23065004195086658
7,2,0,0.19904557499103248
7,2,10,0.26176790497265756
7,2,30,0.18264513718895614
7,2,0,0.30028838803991675
7,2,5,0.3578494479879737
7,2,15,0.44671089202165604
7,2,10,0.2586014268454164
7,2,30,0.2516774130053818
7,2,40,0.5159761989489198
7,2,30,0.25967509509064257
7,2,40,0.3537224039901048
7,2,0,0.2627694262191653
7,2,25,0.23456216510385275
7,2,40,0.29301818110980093
7,2,15,0.36536724399775267
7,2,5,0.22760863392613828
7,2,35,0.2944346081931144
7,2,5,0.20427323086187243
7,2,15,0.19491852610372007
7,2,35,0.23198833502829075
7,2,0,0.2185537270270288
7,2,25,0.19231253489851952
7,2,10,0.1800050688907504
7,2,35,0.23612671485170722
7,2,10,0.25672852410934865
7,2,25,0.2827218947932124
7,2,25,0.2720142360776663
7,2,35,0.21159224794246256
7,2,40,0.17491378798149526
7,2,0,0.29484310606494546
7,2,5,0.1874980740249157
7,2,10,0.25474230106920004
7,2,30,0.24970045103691518
7,2,5,0.21692904690280557
7,2,10,0.20039441110566258
7,2,5,0.26417434215545654
7,2,10,0.2873770489823073
7,2,35,0.3191787810064852
7,2,40,0.22091282694600523
7,2,25,0.21300762915052474
7,2,5,0.23718175711110234
7,2,40,0.2979104670230299
7,2,25,0.22704612603411078
7,2,0,0.23727657389827073
7,2,15,0.20399112883023918
7,2,25,0.12416517082601786
7,2,20,0.2940050570759922
7,2,40,0.346402769908309
7,2,30,0.3060299081262201
7,2,15,0.22213500505313277
7,2,25,0.48263924405910075
7,2,15,0.30641616112552583
7,2,0,0.25576706998981535
7,2,40,0.23674700409173965
7,0,15,0.22537053492851555
7,0,30,0.2981719891540706
7,0,0,0.3049959628842771
7,0,35,0.22344316611997783
7,0,5,0.27211060002446175
7,0,0,0.25362909492105246
7,0,15,0.2576960469596088
7,0,40,0.3329026619903743
7,0,0,0.22475883597508073
7,0,40,0.30988941015675664
7,0,0,0.32311458699405193
7,0,10,0.25494978204369545
7,0,5,0.3575336718931794
7,0,0,0.1210494339466095
7,0,20,0.28279510396532714
7,0,35,0.2543422889430076
7,0,5,0.2331617888994515
7,0,25,0.20302715408615768
7,0,20,0.34489448415115476
7,0,40,0.33197602815926075
7,0,35,0.31180026405490935
7,0,10,0.20199729106388986
7,0,20,0.28971950290724635
7,0,30,0.24981115199625492
7,0,40,0.28804419096559286
7,0,10,0.21578363911248744
7,0,40,0.2450108239427209
7,0,0,0.2547131609171629
7,0,35,0.2975305821746588
7,0,30,0.2602852589916438
7,0,40,0.28197741718031466
7,0,5,0.33394391904585063
7,0,15,0.22808165196329355
7,0,30,0.24681822513230145
7,0,20,0.3341463119722903
7,0,35,0.25436856015585363
7,0,35,0.13105747918598354
7,0,15,0.23396754008717835
7,0,10,0.2399446740746498
7,0,25,0.17994910711422563
7,0,0,0.23038676101714373
7,0,10,0.2123147500678897
7,0,15,0.2525217100046575
7,0,20,0.18498912011273205
7,0,25,0.26271220692433417
7,0,40,0.27547242888249457
7,0,25,0.2515107358340174
7,0,25,0.2091269011143595
7,0,30,0.17610051296651363
7,0,25,0.23567723599262536
7,0,5,0.22218971885740757
7,0,15,0.2074382749851793
7,0,10,0.612421517027542
7,0,30,0.294957373989746
7,0,35,0.1970046500209719
7,0,25,0.2394062140956521
7,0,15,0.2886681330855936
7,0,30,0.22623263602145016
7,0,35,0.24338062200695276
7,0,5,0.21351545583456755
7,0,10,0.24431333900429308
7,0,10,0.21078243991360068
7,0,20,0.2287555211223662
7,0,15,0.21247136709280312
7,0,20,0.23627333715558052
7,0,25,0.2758000309113413
7,0,0,0.2652600940782577
7,0,5,0.20631278306245804
7,0,5,0.28403230593539774
7,0,30,0.2657022241037339
7,0,20,0.269316541031003
7,0,20,0.3472610111348331
7,0,10,0.2071596710011363
7,0,25,0.2622184979263693
7,0,35,0.2975032120011747
7,0,30,0.3546614581719041
7,0,40,0.4185082521289587
7,0,15,0.2182279941625893
7,0,30,0.34211209299974144
7,0,35,0.5217222559731454
7,0,0,0.25911407987587154
7,0,15,0.46168514201417565
7,0,20,0.2745007479097694
7,0,10,0.2334738438948989
7,0,25,0.21672803885303438
7,0,40,0.222506316145882
7,0,5,0.37211374402977526
7,0,40,0.25734606897458434
7,0,0,0.2238808199763298
7,0,5,0.2738029679749161
