Face,Direction,Eccentricity,Reaction Time (s)
23,2,35,0.7695494079962373
23,2,10,0.6258050298783928
23,2,20,0.5080058739986271
21,2,35,1.1014003090094775
21,2,40,0.7636882560327649
21,2,40,0.7598567921668291
21,2,10,0.49196933093480766
21,2,30,0.5487794219516218
19,2,35,0.6653413290623575
21,2,25,0.8476666710339487
23,2,25,0.67768107005395
19,2,5,0.6645430598873645
19,2,40,0.7316669691354036
21,2,0,0.7066043720114976
19,2,40,0.8455935739912093
21,2,35,0.8706455579958856
21,2,15,0.6426791329868138
21,2,25,0.7806401019915938
23,2,40,0.8449204848147929
21,2,5,0.637965400936082
23,2,40,0.8239096291363239
23,2,40,0.7927607279270887
21,2,25,0.794005278032273
23,2,15,0.6165605830028653
23,2,10,0.526431696023792
23,2,20,0.5591916581615806
19,2,5,0.7223203619942069
21,2,0,0.5664157301653177
21,2,15,0.830624002031982
19,2,40,1.031558871967718
19,2,20,0.7998591789510101
21,2,35,0.7068026210181415
19,2,40,0.779392016120255
19,2,5,0.6132320750039071
23,2,20,1.462225783849135
23,2,20,0.55591761902906
23,2,15,0.5550686160568148
21,2,0,0.8017255859449506
19,2,0,0.6772872591391206
21,2,10,0.7645547650754452
21,2,10,0.4918610609602183
21,2,30,0.6654790479224175
23,2,10,0.5893747820518911
23,2,5,0.6774815011303872
19,2,30,0.793991579907015
19,2,15,0.7478300619404763
21,2,15,0.6773551718797535
23,2,35,0.662926419172436
19,2,0,0.5811080629937351
23,2,35,0.7572476218920201
19,2,5,1.2199589919764549
23,2,30,0.72964958101511
21,2,30,0.682584865950048
23,2,20,0.6622299330774695
19,2,25,0.7598205429967493
23,2,0,0.6682329450268298
23,2,25,0.6220646279398352
21,2,30,0.7362752349581569
21,2,20,0.5825448499526829
21,2,35,0.8176292630378157
23,2,20,0.5462549410294741
19,2,0,0.5984178909566253
23,2,40,0.8226311439648271
19,2,15,0.6782881580293179
23,2,5,0.5987036288715899
21,2,25,0.7500837910920382
19,2,0,0.582525250967592
21,2,35,0.8769268949981779
23,2,5,0.6171684819273651
21,2,25,0.7910945019684732
23,2,0,0.773857455002144
19,2,10,0.7349288461264223
21,2,10,0.642032247968018
23,2,30,0.8390186841133982
19,2,30,0.8872020251583308
23,2,30,0.7910377508960664
19,2,15,0.9679671239573509
21,2,5,0.8948876468930393
19,2,0,0.9013223219662905
23,2,10,0.6897482979111373
19,2,20,0.6799264659639448
19,2,15,0.6940301000140607
19,2,5,0.6335689858533442
21,2,15,0.6082039629109204
19,2,30,1.1346650768537074
19,2,20,0.7718154189642519
21,2,25,0.7353301148395985
21,2,10,0.6663994290865958
19,2,25,0.8326148760970682
23,2,35,0.8915671969298273
21,0,35,1.8054992489051074
23,0,10,0.7397976701613516
23,0,0,0.814835418947041
23,0,5,0.617039822973311
19,0,30,0.845728644868359
19,0,40,0.8572979930322617
23,0,5,0.6691055758856237
19,0,40,0.9174708100035787
23,0,10,0.6188538931310177
21,0,15,0.6343838050961494
21,0,20,1.08278823713772
23,0,10,0.5750010639894754
19,0,0,0.6601598591078073
19,0,0,0.7692096401005983
19,0,25,0.8507466979790479
21,0,40,0.8642783421091735
19,0,25,0.7487664979416877
23,0,40,0.7678609259892255
19,0,30,0.846351123880595
21,0,40,1.5737374650780112
23,0,20,0.7336031659506261
23,0,0,0.5718752411194146
21,0,10,0.592556132003665
19,0,15,0.7641210809815675
19,0,40,0.8886613871436566
19,0,15,0.6239090219605714
23,0,15,0.6597066819667816
23,0,15,0.6328869760036469
19,0,10,0.5861762519925833
21,0,25,0.7681610570289195
23,0,25,0.6776976420078427
19,0,15,0.672013693023473
19,0,10,0.5946604409255087
19,0,25,0.5527489469386637
21,0,5,0.6650022459216416
19,0,20,0.7540991939604282
23,0,30,0.5995395539794117
21,0,15,0.549411476124078
19,0,40,0.8432968140114099
23,0,20,0.6058867741376162
23,0,5,0.6080906779970974
19,0,35,0.7463952319230884
21,0,35,0.6210889450740069
23,0,25,0.9155795860569924
21,0,30,0.7640921890269965
21,0,15,0.6750998850911856
19,0,0,0.704073544126004
23,0,15,0.6533261048607528
19,0,30,0.8139921079855412
19,0,35,0.7821416649967432
23,0,10,0.6817550540436059
21,0,30,0.7075714520178735
19,0,25,0.6206803738605231
23,0,10,0.6874598721042275
21,0,20,0.5927487958688289
21,0,5,0.6448346609249711
21,0,20,0.7461302771698684
23,0,20,0.5614237969275564
19,0,10,0.6710268838796765
23,0,40,0.7623076979070902
19,0,35,0.7723011448979378
21,0,35,0.7149347949307412
21,0,20,0.7741176169365644
23,0,40,0.7116979090496898
23,0,0,0.5227803930174559
23,0,25,0.5968274669721723
19,0,40,0.782200040994212
21,0,5,0.8346031240653247
23,0,30,0.6451986790634692
19,0,30,0.7758421120233834
19,0,30,0.6548560310620815
23,0,25,0.7460069658700377
23,0,35,0.7161254009697586
19,0,35,0.7804615998174995
23,0,5,0.6097130028065294
23,0,5,0.7300342319067568
21,0,5,0.6847330150194466
19,0,30,0.7951995639596134
23,0,0,0.6030093061272055
19,0,10,0.8437414080835879
19,0,25,1.1120828371495008
21,0,15,0.6740278888028115
23,0,5,0.7648992310278118
21,0,35,0.7417612650897354
19,0,0,0.7558542159385979
19,0,0,0.6597480201162398
21,0,20,0.7188795029651374
19,0,0,0.6077903639525175
23,0,20,0.6777965009678155
23,0,35,0.7184321009553969
