Face,Direction,Eccentricity,Reaction Time (s)
1,2,25,0.6448649452067912
1,2,35,0.6777480100281537
1,2,15,0.7302525341510773
1,2,35,0.6109362239949405
3,2,0,0.5386127841193229
1,2,5,0.6387116711121053
1,2,25,0.5708137089386582
1,2,0,0.43579228199087083
1,2,15,1.1936286638956517
1,2,5,0.4795461248140782
1,2,30,0.52859654603526
1,2,15,1.1940532790031284
1,2,35,0.8146993890404701
1,2,0,0.5574499641079456
1,2,20,0.9007133038248867
3,2,20,0.9373878848273307
1,2,30,0.8614810341969132
3,2,10,0.5551273077726364
3,2,15,0.5653148130513728
3,2,15,0.5082593290135264
1,2,5,0.5351476138457656
3,2,20,0.4641093430109322
3,2,20,0.6577504689339548
1,2,10,0.6750618480145931
3,2,25,0.6751742090564221
3,2,15,0.5803915208671242
1,2,25,1.0283723671454936
3,2,20,1.2168805650435388
3,2,20,1.3116204331163317
1,2,30,1.159190237056464
1,2,35,0.7463632801081985
3,2,0,0.44538948289118707
1,2,0,0.5124589721672237
1,2,0,0.5419367281720042
1,2,5,0.4599259679671377
1,2,10,0.517049633199349
3,2,15,0.6204204130917788
1,2,30,0.9250243429560214
3,2,0,0.5184169500134885
1,2,30,0.8833397680427879
1,2,25,0.7039367819670588
3,2,25,1.2014467290136963
3,2,15,0.5348108299076557
3,2,25,0.7925367150455713
1,2,40,1.0368955098092556
3,2,5,0.4268930919934064
3,2,10,0.46288745710626245
1,2,10,0.9518572420347482
3,2,40,0.9935915810056031
3,2,20,0.7542961870785803
3,2,30,0.706580355996266
1,2,40,0.8852193600032479
3,2,10,0.5044119539670646
1,2,10,0.6714052858296782
1,2,30,0.616799569921568
1,2,35,0.6821110548917204
1,2,0,0.48544359509833157
3,2,5,0.48848443920724094
3,2,25,1.2007519730832428
1,2,20,0.7276818458922207
3,2,5,0.45643892302177846
1,2,20,0.6945623301435262
3,2,5,0.6560923028737307
1,2,10,0.592665561940521
3,2,20,0.6004973580129445
1,2,25,0.8666309718973935
1,2,5,0.5455315178260207
3,2,10,0.6275960200000554
1,2,30,0.6292543879244477
3,2,5,0.7205938519909978
3,2,40,1.2174936321098357
3,2,35,1.1024682528804988
1,2,15,0.6397739720996469
1,2,0,0.8787285319995135
1,2,0,0.6800600658170879
1,2,25,0.7370511831250042
3,2,10,0.526520811021328
3,2,40,1.1093203278724104
3,2,40,1.4157327897846699
3,2,35,0.965126764960587
1,2,40,0.903912517009303
3,2,30,1.4112615489866585
3,2,35,1.2549992729909718
1,2,35,0.9973147599957883
3,2,35,1.0523666448425502
3,2,40,0.972075963858515
3,2,40,0.8536700650583953
3,2,15,0.6463911710307002
3,2,30,1.0937379370443523
1,2,40,1.611160894157365
1,0,25,0.8355515219736844
3,0,20,1.4546982180327177
3,0,20,1.0819098770152777
3,0,40,0.990771456155926
3,0,15,0.5596626368351281
3,0,20,0.6506659421138465
3,0,30,1.0328997089527547
3,0,35,0.9925095131620765
3,0,15,0.5165261938236654
3,0,15,0.5855022761970758
1,0,0,0.6178103659767658
1,0,25,1.0501316338777542
3,0,30,0.9358294880948961
1,0,5,0.6225265029352158
3,0,30,0.8906681120861322
1,0,35,1.056580965872854
3,0,40,1.157346751075238
3,0,5,0.6388967039529234
1,0,35,1.1036980289500207
3,0,10,0.5857884790748358
3,0,20,0.9071583449840546
1,0,15,0.6576338480226696
1,0,20,1.0689999759197235
1,0,15,0.8367494801059365
3,0,10,0.70123085915111
3,0,15,0.6577146130148321
1,0,20,0.5575268268585205
3,0,10,0.5352845110464841
1,0,30,0.8193819939624518
1,0,0,0.6278815800324082
3,0,40,1.7080416011158377
3,0,35,1.1899983931798488
3,0,15,0.5473370810505003
3,0,25,0.6189571539871395
3,0,30,0.8578212591819465
3,0,40,1.5298803760670125
1,0,35,0.7406671638600528
1,0,10,0.5300392771605402
1,0,5,0.5190039798617363
1,0,5,0.5090394578874111
3,0,35,1.4465739929582924
1,0,40,0.940353139070794
1,0,30,0.8701442028395832
3,0,25,0.9228780320845544
3,0,15,0.5021678560879081
1,0,30,0.8104899600148201
3,0,10,0.5714286519214511
1,0,40,1.1483379791025072
3,0,30,0.7263975469395518
1,0,20,0.9242485768627375
1,0,5,0.5417508659884334
3,0,5,0.6338140561711043
3,0,25,1.3253014769870788
1,0,15,0.6087179710157216
3,0,25,0.5563007709570229
3,0,0,0.530280098086223
1,0,25,0.5805217861197889
1,0,20,0.805940116988495
3,0,10,0.5251000339630991
3,0,5,0.4506298219785094
1,0,0,0.5585841189604253
1,0,10,0.5591215759050101
3,0,0,0.530126677127555
1,0,0,0.5342189511284232
3,0,25,0.7593920649960637
1,0,30,0.591908287955448
1,0,15,1.0303129288367927
1,0,25,0.5541152271907777
3,0,20,0.6233512470498681
3,0,40,1.2398491040803492
3,0,0,0.772490130038932
1,0,40,0.9037343529053032
1,0,10,0.6916212281212211
1,0,30,1.322366148000583
3,0,10,0.546900857007131
1,0,0,0.521946607157588
1,0,20,1.2594473420176655
1,0,5,0.5617456010077149
1,0,10,0.5375294121913612
1,0,35,1.225785955088213
3,0,0,0.5565917640924454
1,0,5,0.543531646952033
3,0,35,0.9753171128686517
1,0,5,0.6208917370531708
1,0,35,1.072366091888398
3,0,35,1.2775482218712568
3,0,40,1.3327580320183188
1,0,25,1.5425438000820577
3,0,40,1.4830752150155604
1,0,0,0.6100137929897755
