Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,35,0.780975922010839
90.0,2,5,0.5817847729194909
90.0,2,40,0.7869144668802619
90.0,2,30,0.6412421399727464
0.0,2,40,0.5402800608426332
0.0,2,25,0.6241634548641741
90.0,2,0,0.7315313019789755
90.0,2,40,0.8835038649849594
90.0,2,30,0.6056816631462425
90.0,2,5,0.5410584651399404
0.0,2,5,0.5980266889091581
90.0,2,0,0.3546354060526937
0.0,2,25,0.6604633729439229
90.0,2,15,0.3655537760350853
90.0,2,35,0.5902587210293859
0.0,2,40,0.6302361499983817
90.0,2,10,0.42578830011188984
0.0,2,35,0.7878494639880955
90.0,2,15,0.3586885880213231
90.0,2,35,0.586576305096969
90.0,2,10,0.41847031796351075
90.0,2,0,0.433611580170691
90.0,2,10,0.3344132590573281
0.0,2,0,0.49595826398581266
90.0,2,15,0.46611506887711585
90.0,2,15,0.42324641114100814
90.0,2,0,0.30207962403073907
90.0,2,5,0.36014567594975233
0.0,2,0,0.4313332079909742
90.0,2,10,0.493799485033378
0.0,2,25,0.7854743280913681
0.0,2,40,1.1868099400307983
0.0,2,30,0.7977425551507622
0.0,2,20,0.7792038240004331
90.0,2,35,0.594253497896716
90.0,2,15,0.5385604919865727
90.0,2,25,0.5470599918626249
0.0,2,35,0.9201139290817082
0.0,2,25,1.148415556177497
0.0,2,10,0.7000884748995304
0.0,2,20,0.6155490949749947
0.0,2,20,0.5233915690332651
90.0,2,25,0.7871173210442066
0.0,2,5,0.6106456201523542
90.0,2,30,1.1634012188296765
90.0,2,15,0.4496901170350611
0.0,2,30,0.7730012650135905
0.0,2,20,1.2456597469281405
0.0,2,0,0.44642032007686794
90.0,2,10,0.5136512140743434
0.0,2,25,0.52115298807621
90.0,2,35,0.9138134978711605
90.0,2,20,0.5200435169972479
90.0,2,40,0.7196340500377119
90.0,2,10,0.4461859951261431
90.0,2,40,1.217803233070299
0.0,2,5,0.42024488211609423
0.0,2,5,0.49363019596785307
90.0,2,25,0.5948725158814341
0.0,2,25,0.7988060389179736
0.0,2,10,0.7131720250472426
90.0,2,20,0.48825527215376496
0.0,2,35,0.794790020911023
90.0,2,15,0.7025479509029537
0.0,2,30,0.6590267079882324
90.0,2,5,0.4819121058098972
0.0,2,20,0.6518696979619563
90.0,2,15,0.6105842778924853
0.0,2,30,0.9653340890072286
0.0,2,10,0.5711193098686635
0.0,2,40,0.9736963990144432
0.0,2,0,0.3951353400480002
90.0,2,30,0.697190745966509
90.0,2,10,0.48972977697849274
