Letter,Direction,Eccentricity,Reaction Time (s)
P,2,0,0.47280252492055297
E,2,30,0.5244577759876847
P,2,10,0.9054889749968424
E,2,0,0.4446122299414128
E,2,0,0.43723512603901327
E,2,10,0.5064241869840771
E,2,30,0.43514740001410246
P,2,10,0.4018829179694876
P,2,10,0.42173980292864144
P,2,20,0.4659370359731838
E,2,30,0.4732221139129251
E,2,10,0.48842302698176354
P,2,0,0.5141068689990789
P,2,40,0.4977013838943094
E,2,40,0.5534480559872463
E,2,20,0.49039222695864737
P,2,20,0.48297362693119794
E,2,0,0.47632726992014796
P,2,30,0.4976822549942881
E,2,30,0.6914866080041975
E,2,40,0.6455356400692835
E,2,40,0.5858921059407294
P,2,40,0.5498458830406889
E,2,20,0.546359751955606
P,2,30,0.5102125559933484
P,2,20,0.5849226909922436
E,2,10,0.542329462012276
P,2,10,0.5393800400197506
P,2,20,0.5102582389954478
E,2,20,0.365727161988616
P,2,30,0.6603446069639176
P,2,40,0.6004923519212753
E,2,0,0.5573483750922605
P,2,0,0.4637091550976038
E,2,20,0.7379717379808426
P,2,20,0.5199548458913341
E,2,30,0.47639367799274623
P,2,40,0.4834388520102948
P,2,10,0.42255166301038116
P,2,10,0.36855658900458366
E,2,20,0.5178020210005343
P,2,40,0.6061707539483905
P,2,40,0.4953034579521045
E,2,30,1.0853726139757782
P,2,30,0.6652561910450459
P,2,0,0.5356579750077799
E,2,40,0.5647708310279995
P,2,10,0.5363663589814678
P,2,0,0.38180835801176727
P,2,0,0.36664211796596646
P,0,30,0.41802898107562214
E,0,40,0.8222485139267519
P,0,30,0.4963558060117066
E,0,10,0.47742010501679033
P,0,0,0.44419205898884684
E,0,40,0.8699394790455699
E,0,20,0.5345688010565937
E,0,20,0.5200910249259323
P,0,10,0.39049276500009
E,0,0,0.3748244110029191
P,0,40,0.4738844409584999
P,0,40,0.4558308699633926
E,0,10,0.5834654140053317
P,0,10,0.3479264019988477
P,0,10,0.4264115549158305
P,0,40,0.5310932439751923
E,0,0,0.9838786129839718
P,0,20,0.4831823098938912
P,0,0,0.41121527599170804
E,0,40,0.5827271669404581
P,0,10,0.4501205129781738
E,0,10,0.45042107498738915
P,0,0,0.3522581539582461
P,0,20,0.3806742581073195
P,0,10,0.35348311497364193
P,0,30,0.39532244205474854
E,0,40,0.49048202589619905
E,0,20,0.7272896749200299
P,0,40,0.5388031679904088
E,0,20,0.7462325460510328
P,0,0,0.422495199018158
P,0,20,0.4116672370582819
E,0,0,0.35801909503061324
P,0,10,0.3225233650300652
E,0,30,0.4697184649994597
E,0,30,0.526642438955605
E,0,30,0.5178942420752719
P,0,20,0.30487959494348615
P,0,30,0.6059851839672774
E,0,30,0.45118243899196386
P,0,20,0.31090255395974964
E,0,40,0.7874852650566027
P,0,40,0.45186215499415994
P,0,0,0.5152253060368821
P,0,30,0.4820094919996336
P,0,0,0.49626058095600456
P,0,20,0.4995049450080842
E,0,0,0.36954015598166734
E,0,10,0.5634010569192469
P,0,30,0.5375235950341448
