Face,Direction,Eccentricity,Reaction Time (s)
5,0,0,0.28668430000107037
5,0,40,0.42345209999984945
5,0,40,0.42269410000153584
5,0,30,0.3209907000000385
5,0,5,0.27098490000025777
5,0,15,0.2449436999995669
5,0,15,0.2398300000004383
5,0,5,0.23831719999907364
5,0,30,0.1147302999997919
5,0,0,0.3042717000007542
5,0,30,0.32131500000105007
5,0,20,0.3062032999987423
5,0,25,0.33982579999974405
5,0,35,0.3036616999997932
5,0,0,0.31446949999917706
5,0,40,0.25914600000032806
5,0,35,0.2911387999993167
5,0,20,0.270178599999781
5,0,30,0.2738786000008986
5,0,20,0.29891329999918526
5,0,25,0.31695870000112336
5,0,25,0.2930519000001368
5,0,30,0.3082585000011022
5,0,15,0.24575929999991786
5,0,20,0.30131270000129007
5,0,30,0.2898948999991262
5,0,20,0.29542050000054587
5,0,35,0.32270729999981995
5,0,0,0.2976892000006046
5,0,20,0.3096574999999575
5,0,10,0.2669745999992301
5,0,15,0.2406925000013871
5,0,20,0.2742299000001367
5,0,0,0.32121619999998074
5,0,5,0.3114655999997922
5,0,30,0.25718090000009397
5,0,25,0.289876999999251
5,0,35,0.2891205000014452
5,0,5,0.271625800000038
5,0,25,0.2863763999994262
5,0,40,0.35374679999949876
5,0,0,0.2588672999991104
5,0,10,0.2605746999997791
5,0,35,0.26717200000166486
5,0,10,0.2899694999996427
5,0,25,0.27926209999895946
5,0,10,0.30685669999911624
5,0,25,0.31197640000027604
5,0,15,0.2690492000001541
5,0,25,0.2724207999999635
5,0,0,0.281450099999347
5,0,10,0.23754330000156187
5,0,5,0.2758434000006673
5,0,25,0.22445169999991776
5,0,40,0.22620669999923848
5,0,5,0.20961560000068857
5,0,10,0.26361850000103004
5,0,30,0.2499160999996093
5,0,5,0.35959340000044904
5,0,5,0.2701895999998669
5,0,35,0.2638108999999531
5,0,5,0.3054152000004251
5,0,15,0.21649899999829358
5,0,10,0.3412466999998287
5,0,35,0.24498959999982617
5,0,0,0.1447031000006973
5,0,40,0.2877341000003071
5,0,10,0.24711409999872558
5,0,10,0.31849460000012186
5,0,0,0.2753154000001814
5,0,0,0.26510070000040287
5,0,35,0.25930629999857047
5,0,25,0.3247250000003987
5,0,35,0.17122079999899142
5,0,15,0.25218279999899096
5,0,20,0.23105519999990065
5,0,40,0.2237476999998762
5,0,20,0.2521901000000071
5,0,30,0.252416399998765
5,0,40,0.29022320000149193
5,0,5,0.2475871000006009
5,0,35,0.2568991999996797
5,0,40,0.2807370999998966
5,0,20,0.2584697000002052
5,0,40,0.31134540000130073
5,0,15,0.15960589999849617
5,0,15,0.40163380000012694
5,0,30,0.4183833000006416
5,0,10,0.37083609999899636
5,0,15,0.46446149999974295
5,2,20,0.31395709999924293
5,2,30,0.2887004000003799
5,2,20,0.2626144999994722
5,2,10,0.26393129999996745
5,2,15,0.21177069999976084
5,2,35,0.2490509999988717
5,2,0,0.20791120000103547
5,2,25,0.1653040000001056
5,2,40,0.0009652000007918105
5,2,15,0.23604680000062217
5,2,5,0.207748900000297
5,2,15,0.2692858000009437
5,2,15,0.2445010999999795
5,2,20,0.16769699999895238
5,2,30,0.24439220000022033
5,2,35,0.15813759999946342
5,2,35,0.26153359999989334
5,2,0,0.24754810000013094
5,2,25,0.2308368000012706
5,2,35,0.20062659999894095
5,2,0,0.27690890000121726
5,2,0,0.2911398999985977
5,2,5,0.29858929999863904
5,2,0,0.25049029999900085
5,2,20,0.23722670000097423
5,2,40,0.28675010000006296
5,2,30,0.26587389999986044
5,2,25,0.22102129999984754
5,2,10,0.27429640000082145
5,2,35,0.03559989999848767
5,2,0,0.2279115000001184
5,2,5,0.27892900000006193
5,2,20,0.2746519000011176
5,2,25,0.23846039999989443
5,2,35,0.260002799999711
5,2,5,0.15828209999926912
5,2,15,0.22462840000116557
5,2,25,0.22820209999918006
5,2,5,0.15384280000034778
5,2,5,0.2193805999995675
5,2,10,0.2101318999993964
5,2,30,0.18254370000067865
5,2,0,0.24611430000004475
5,2,0,0.20944520000011835
5,2,20,0.22747460000027786
5,2,35,0.09886769999866374
5,2,5,0.22461729999849922
5,2,40,0.23351919999913662
5,2,20,0.2559978000008414
5,2,15,0.07407880000027944
5,2,0,0.2519950999994762
5,2,40,0.25290750000021944
5,2,35,0.0322013999993942
5,2,35,0.2362252000002627
5,2,20,0.3171848999991198
5,2,40,0.2239835000000312
5,2,40,0.31595890000062354
5,2,10,0.23745229999985895
5,2,30,0.2569241000001057
5,2,30,0.2994846999990841
5,2,0,0.23203130000001693
5,2,10,0.23267350000060105
5,2,30,0.24171750000095926
5,2,10,0.03765440000097442
5,2,40,0.2444274999998015
5,2,15,0.24456839999947988
5,2,10,0.20218299999942246
5,2,15,0.2474860999991506
5,2,25,0.24156899999979942
5,2,35,0.2706290000005538
5,2,40,0.262692700000116
5,2,30,0.3573734000001423
5,2,40,0.261980000001131
5,2,10,0.2429959000000963
5,2,20,0.24872870000035618
5,2,30,0.2294423999992432
5,2,40,0.3187292999991769
5,2,25,0.23869200000081037
5,2,10,0.24815229999876465
5,2,25,0.24271709999993618
5,2,15,0.2602012999996077
5,2,30,0.19339570000011008
5,2,10,0.2616861999995308
5,2,5,0.21861969999918074
5,2,20,0.2228986000009172
5,2,5,0.20494159999907424
5,2,15,0.24148179999974673
5,2,25,0.3183424000017112
5,2,25,0.25802370000019437
5,2,5,0.2565682000004017
