Face,Direction,Eccentricity,Reaction Time (s)
21,2,0,1.217468899965752
21,2,20,0.9824249999946915
21,2,5,0.6815206999890506
21,2,10,0.6979865999892354
21,2,30,0.7134028999716975
19,2,10,0.6353169000358321
19,2,10,0.6077930000028573
19,2,15,0.5048988999915309
23,2,15,0.6665255000116304
21,2,25,0.6322534999926575
19,2,35,0.7691362000186928
21,2,25,0.6914756000041962
21,2,20,0.6960644000209868
19,2,5,0.6472150000045076
23,2,30,0.8104731000494212
23,2,40,0.8341068000299856
23,2,35,0.8581522000022233
21,2,15,0.6267081999685615
21,2,40,0.7918579999823123
23,2,0,0.5899513000040315
21,2,30,0.6126219999860041
23,2,35,0.7962492000078782
21,2,35,0.7269715000293218
23,2,10,0.5350021999911405
19,2,15,0.6200338000198826
19,2,35,0.8502959000179544
21,2,35,1.3569649000419304
19,2,10,0.6515152999782003
21,2,25,0.6941959999967366
19,2,40,0.8498369999579154
23,2,25,0.8204727999982424
19,2,0,0.7613237000186928
21,2,5,0.6335909000481479
19,2,5,0.6113143999828026
23,2,5,0.7977304999949411
21,2,15,0.6773049999610521
21,2,10,0.7278393000015058
23,2,15,0.6032644000370055
19,2,0,0.7200507000088692
19,2,25,0.8346973999869078
19,2,5,0.6616075999918394
23,2,10,0.6781584999989718
23,2,0,0.6003455999889411
21,2,40,0.91336099995533
23,2,30,0.7119840999948792
23,2,15,0.6135476999916136
19,2,40,0.8433802999788895
23,2,10,0.5608530000317842
21,2,20,0.8541217000456527
23,2,40,0.8256655000150204
23,2,20,0.607545500039123
21,2,10,0.583817100035958
23,2,40,0.8896228999947198
19,2,30,0.8675112000200897
21,2,30,1.0948688999633305
23,2,35,0.719029700034298
19,2,20,0.6940947000402957
23,2,5,0.6684082000283524
23,2,25,0.6782295999582857
23,2,25,0.6126428000279702
21,2,30,0.7002525999560021
23,2,30,0.6476248999824747
19,2,0,0.5863303999649361
23,2,5,0.5707360999658704
23,2,25,0.6130874999798834
19,2,35,0.8156370000215247
23,2,20,0.7050414000404999
21,2,10,0.5667721999925561
21,2,35,1.0903306999825872
19,2,0,0.539918199996464
23,2,20,0.6556154999998398
23,2,20,0.6519324000109918
19,2,25,0.8894599999766797
19,2,15,0.7767374999821186
23,2,30,0.8122381000430323
19,2,5,0.5648916999925859
23,2,35,0.790400999947451
19,2,20,0.703218000009656
23,2,5,0.5846640000236221
19,2,0,0.6526942000491545
21,2,40,0.8013942000106908
23,2,20,0.5963100999942981
21,2,15,0.7506884000031278
21,2,0,0.6874085000017658
19,2,15,0.6476044000010006
23,2,40,0.8563928999938071
21,2,0,0.6910204000305384
23,2,40,0.8464078000397421
21,2,30,0.7116933000506833
19,2,25,0.5905885999673046
23,0,5,0.6616059999796562
21,0,35,0.7114690999733284
21,0,10,0.6896796000073664
19,0,15,0.6239086000132374
23,0,30,0.661720999982208
19,0,30,0.7057168000028469
19,0,35,0.7027005000272766
19,0,40,0.7703052000142634
19,0,20,0.6237798999645747
19,0,35,0.6673734000069089
21,0,15,0.6153211999917403
23,0,10,0.7222350999945775
23,0,40,0.9856104000355117
23,0,40,0.7751763999694958
19,0,5,0.5619542999775149
23,0,15,0.6730893999920227
21,0,15,0.5831896000308916
23,0,40,0.81714679999277
19,0,20,0.7850427000084892
19,0,20,0.4852083000005223
19,0,0,0.5122358999797143
19,0,30,0.5579910999513231
21,0,25,0.7602517000050284
19,0,15,0.6253740999964066
19,0,30,0.760674100019969
21,0,30,0.7677495999960229
23,0,15,0.7505175999831408
21,0,35,0.5777571999933571
19,0,25,0.7014159999671392
23,0,35,0.6691602000501007
19,0,5,0.5438906999770552
23,0,40,0.6124476999975741
19,0,20,0.7208541999571025
21,0,35,0.6953094999771565
23,0,5,0.6287439000443555
23,0,15,0.5668604000238702
19,0,10,0.6248542999965139
21,0,10,0.628386500000488
19,0,40,0.7274307999759912
23,0,40,0.9621061999932863
23,0,20,0.6855723999906331
21,0,5,0.6577589999651536
21,0,0,0.6899807999725454
19,0,40,0.9102471999940462
19,0,15,0.6035279000061564
23,0,30,0.7245024999720044
23,0,10,0.500694399990607
19,0,5,0.5871415000292473
21,0,25,0.5832129999762401
21,0,35,0.7158515999908559
19,0,0,0.5170304999919608
23,0,20,0.6976147000095807
21,0,20,0.6937171000172384
21,0,5,0.8197770999977365
19,0,15,0.6586640999885276
23,0,0,0.6072132000117563
21,0,0,0.6175889999722131
21,0,25,0.808290799963288
19,0,25,0.7162373999599367
19,0,25,0.5868360999738798
19,0,30,0.6076046000234783
21,0,5,0.6355890000122599
21,0,5,0.5023492999607697
23,0,25,0.8837830999982543
21,0,30,0.7819796000258066
21,0,0,0.6903259999817237
21,0,20,0.8419409999623895
21,0,0,0.5102299000136554
21,0,40,0.8415757999755442
23,0,40,0.9976864999625832
23,0,10,0.6170295000192709
23,0,35,0.6399899999960326
19,0,10,0.7153026000014506
21,0,20,0.6372820999822579
23,0,10,0.5433828000095673
19,0,5,0.5898527999524958
19,0,25,0.636824700050056
23,0,35,0.8188446999993175
23,0,15,0.706625199993141
21,0,30,0.6288211999926716
23,0,0,0.492558799975086
19,0,10,0.6506890000309795
21,0,25,0.7325437999679707
21,0,0,0.7295330000342801
21,0,35,0.7580230999737978
23,0,30,0.7212166999815963
19,0,25,0.7180769999977201
19,0,10,0.5277483999961987
19,0,0,0.6310677999863401
21,0,20,0.642305200046394
