Face,Direction,Eccentricity,Reaction Time (s)
1,0,0,0.5854567000060342
1,0,10,0.4984971999656409
1,0,20,0.4767396000097506
1,0,15,0.40029479999793693
1,0,10,0.40085869998438284
3,0,15,0.484303200035356
1,0,15,0.794369800016284
3,0,20,0.5631919000297785
3,0,30,0.4620349999750033
1,0,0,0.47172239999054
3,0,5,0.5524248000001535
1,0,30,0.5543646000442095
3,0,0,0.4505341000040062
1,0,35,0.6245802999474108
1,0,0,0.47712729999329895
3,0,40,0.8248240000102669
3,0,20,0.6339018999715336
1,0,25,0.6389120999956504
3,0,10,0.49454069999046624
1,0,35,0.8458906000014395
3,0,35,0.528747399977874
3,0,40,0.546879900037311
3,0,0,0.5482216000091285
3,0,30,0.5675201999838464
1,0,25,0.6243538999697194
1,0,5,0.5921993000083603
1,0,15,0.5143752000294626
1,0,25,0.5741620999760926
3,0,35,0.5614274999825284
1,0,30,0.6793432999984361
3,0,15,0.6060185999958776
3,0,0,0.5480337999761105
3,0,35,0.5316321999998763
3,0,25,0.5929329000064172
1,0,30,0.6713257000083104
1,0,25,0.6192772999638692
1,0,5,0.5861115999869071
3,0,0,0.5380787000176497
3,0,20,0.44920859998092055
1,0,10,0.49108399997930974
1,0,10,0.47749990003649145
1,0,25,0.5803244999842718
3,0,5,0.43130709999240935
3,0,35,0.5295900999917649
3,0,5,0.41538520000176504
3,0,15,0.5404409000184387
1,0,40,0.766850300016813
1,0,35,0.6473820999963209
3,0,0,0.5148457000032067
3,0,40,0.8930680000339635
1,0,15,0.6370336999534629
1,0,20,0.4782740999944508
1,0,10,0.4783496999880299
1,0,40,0.5760157000040635
1,0,20,0.45906389999436215
1,0,5,0.40810790000250563
1,0,10,0.38077519997023046
1,0,10,0.40337229997385293
1,0,15,0.4408091999939643
3,0,40,0.7513504999806173
3,0,30,1.0793502000160515
1,0,10,0.6760253999964334
3,0,35,0.6363042999873869
3,0,25,0.8358854000107385
3,0,40,0.6162682000431232
1,0,40,1.0760570000275038
1,0,20,0.5373313000309281
3,0,20,0.6452011999790557
3,0,40,0.46573449997231364
3,0,0,0.6043375000008382
1,0,15,0.5467208999907598
3,0,25,0.4811492000008002
3,0,5,0.4318558999802917
1,0,30,0.9052093999926001
3,0,5,0.44028560002334416
3,0,10,0.609315300011076
3,0,20,0.5393401000183076
3,0,5,0.5101550999679603
1,0,0,0.5395262999809347
1,0,15,0.5791388000361621
3,0,25,0.5554375000065193
3,0,40,0.5250186000484973
1,0,5,0.5311349999974482
3,0,25,1.5803844999754801
3,0,30,1.1304231000249274
3,0,20,0.5676027000299655
1,0,30,0.5201244999771006
3,0,35,0.5819871000130661
3,0,30,0.903317199961748
1,0,35,0.8990653000073507
1,2,0,0.48767689999658614
3,2,15,0.4960525999777019
3,2,20,0.463292799948249
1,2,35,0.6486406000331044
3,2,0,0.3799119000323117
1,2,25,0.5514123000320978
1,2,30,0.7193409000174142
1,2,30,0.6110436000162736
3,2,30,1.1746856999816373
1,2,10,0.5487125999643467
1,2,35,1.295412400038913
1,2,25,0.764557899965439
3,2,20,0.5207153999945149
1,2,10,0.5824370000045747
3,2,10,0.5346017999690957
1,2,40,1.4676913000294007
3,2,5,0.6354828999610618
1,2,5,0.6060512000112794
1,2,5,0.509863699960988
3,2,35,1.294304299983196
3,2,35,1.0554874999797903
3,2,30,0.5539209999842569
1,2,5,0.5172444000490941
1,2,40,1.2174304000218399
3,2,0,0.5595863999915309
1,2,15,0.5628740000538528
3,2,5,0.5471058000111952
1,2,20,0.7988321000011638
1,2,25,0.5519587000017054
1,2,30,1.06306970003061
1,2,10,0.6488733000005595
1,2,5,0.5097042000270449
1,2,0,0.4349244000040926
3,2,40,1.1382650000159629
3,2,40,0.9236284999642521
3,2,20,0.5661837999941781
3,2,10,0.5227686000289395
3,2,25,0.5908891000435688
1,2,10,0.7406218000105582
1,2,15,0.5722212999826297
3,2,0,0.490860799967777
3,2,10,0.4558363999822177
3,2,10,0.5171035000239499
3,2,20,0.4855515999952331
1,2,35,1.4476707000285387
3,2,30,0.785868400009349
1,2,15,0.5590105999726802
3,2,0,0.5787414999795146
3,2,0,0.4670958999777213
3,2,40,0.7753817999619059
3,2,0,0.4159728999948129
3,2,5,0.4840713000157848
1,2,40,1.1857026999932714
3,2,20,0.6177267999737523
3,2,15,0.5319362000445835
3,2,35,0.7065511000109836
1,2,25,0.6476257999893278
1,2,25,0.5903361000237055
3,2,15,0.5058997999876738
3,2,15,0.4954043999896385
3,2,15,0.38731019996339455
1,2,5,0.4581208999734372
1,2,25,0.5338494000025094
1,2,0,0.5012656000326388
1,2,15,0.511206499999389
3,2,40,1.4578118000063114
1,2,35,0.6981329999980517
1,2,25,0.5271315000136383
1,2,40,1.0891750999726355
3,2,0,0.5712417000322603
1,2,40,1.4163145000347868
1,2,20,0.5612581000314094
3,2,20,0.6285898999776691
3,2,5,0.5504187999758869
3,2,5,0.5544241000316106
3,2,30,1.0087354999850504
3,2,10,0.5593228999641724
1,2,30,0.6187554000061937
3,2,20,0.4951720000244677
3,2,15,0.472993100003805
3,2,10,0.4395010999869555
3,2,25,0.7382809999980964
3,2,20,0.5831807000213303
1,2,30,0.7681590999709442
1,2,25,0.5511501000146382
1,2,35,1.088113899983
1,2,35,0.7378092999570072
3,2,30,1.1821559999953024
3,2,35,0.8463855999871157
1,2,40,1.0834410000243224
