Face,Direction,Eccentricity,Reaction Time (s)
21,2,15,0.761348928
19,0,5,0.551685442
23,2,40,0.464800789
21,2,40,0.598516609
21,0,5,0.608606849
21,0,5,0.521105893
23,0,5,0.713307671
19,2,20,0.697819534
21,2,15,0.593636605
21,0,0,0.499438153
19,0,25,0.756886088
21,0,20,0.726402236
21,2,5,0.787605747
23,2,15,0.816541013
19,0,20,0.819013676
23,0,25,0.740690946
19,2,0,0.540443457
19,0,10,0.605960023
19,0,5,0.607610218
19,0,15,0.660332254
23,0,20,0.867554094
19,0,15,0.712161266
19,0,40,0.60396908
23,0,40,0.805504861
23,0,25,0.564232592
19,2,0,0.601520161
19,2,35,0.664416209
23,0,20,0.696018163
23,0,10,0.56445036
19,2,5,0.548182168
19,0,10,0.659370912
21,2,5,0.557647743
21,2,5,0.553814051
23,2,10,0.617542507
23,0,20,0.684135614
21,2,5,0.700671937
21,2,10,0.594070437
19,2,25,0.692699595
21,0,15,0.67778268
21,2,0,0.502321804
21,2,35,0.606393157
23,0,5,0.62760013
23,0,30,0.697029552
23,0,25,0.657744928
21,2,5,0.470250604
19,2,25,0.553885099
23,0,40,0.681470151
23,2,35,0.700776071
21,0,0,0.623576158
23,0,35,0.667726751
23,2,20,0.761871001
21,0,0,0.6549766
23,2,0,0.609523516
23,0,20,0.584282905
21,2,25,0.615723484
23,2,0,0.668766021
19,0,10,0.708928831
23,0,15,0.674345389
21,2,10,0.908974984
21,2,25,0.670654858
19,2,15,0.686130878
19,0,35,0.682252396
19,0,15,0.719679401
19,0,15,0.709634574
21,2,35,0.736348247
23,2,35,0.832401645
21,2,35,0.763548957
19,2,25,0.733328002
21,0,5,0.698823108
19,0,25,0.635174696
19,0,0,0.549746005
19,0,0,0.482374682
23,0,35,0.751789637
19,2,0,0.565717033
23,2,20,0.794613566
23,2,15,0.522678545
19,2,40,0.738434491
23,0,20,0.691754359
21,0,5,0.646163144
19,2,20,0.658439156
23,0,10,0.729352889
23,2,40,0.607423236
21,2,25,0.830152104
19,0,35,0.785504726
21,0,35,0.787829048
23,0,15,0.797568338
21,2,35,0.810166709
21,2,5,0.541106462
19,2,10,0.669947057
23,2,20,0.694857655
21,0,15,0.652384749
23,2,30,0.820646588
21,2,20,0.739658721
19,0,30,0.744223855
19,0,10,0.755670499
19,0,25,0.800296942
21,0,35,0.694508362
19,2,0,0.663858348
19,0,25,0.889237349
21,2,5,0.707697933
19,2,25,0.580643213
23,2,30,0.766521068
19,0,35,0.723813553
19,2,10,0.612670171
19,0,0,0.500888273
23,0,30,0.729822589
19,0,30,0.691532874
23,0,20,0.687361473
19,2,15,0.779118833
21,0,10,0.672192853
19,2,0,0.549112698
21,2,40,0.936137494
23,2,40,0.780667213
19,0,40,0.808300716
23,2,10,0.617954743
21,2,20,0.685736079
21,0,35,0.713352338
23,0,0,0.723593601
19,0,30,0.733842987
21,2,20,0.816239319
19,2,15,0.596898607
23,0,40,0.793010691
19,2,40,0.732497678
21,0,35,0.789994196
23,2,30,0.692598982
21,2,0,0.641542927
19,0,40,0.774370937
19,2,10,0.595433109
23,0,10,0.677464928
23,0,30,0.681570807
19,0,15,0.692534903
19,2,30,0.679068144
19,0,40,0.718449348
21,2,25,0.625272341
21,0,5,0.583641632
19,0,0,0.580365034
21,0,10,0.618754138
19,2,25,0.563693668
23,0,0,0.726701652
19,0,25,0.640066599
21,0,25,0.567934492
21,2,30,0.606598146
19,0,15,0.593515845
23,2,5,0.909667677
21,2,30,0.800680543
21,2,30,0.558143654
21,2,15,0.552663257
19,0,30,0.752051806
19,0,20,0.712857842
23,0,20,0.850620762
21,0,0,0.591349687
21,2,15,0.656996938
19,0,40,0.702935078
21,2,15,0.709100743
21,0,30,0.717499752
19,2,20,0.720067606
23,0,25,0.757407028
19,2,40,0.87011447
23,2,0,0.690341226
19,2,35,0.662191319
23,2,10,0.667001604
21,2,25,0.720303792
19,2,10,0.624857938
23,0,30,1.042014643
19,0,5,0.582387382
21,2,30,0.783659181
21,2,40,0.750978546
19,0,10,0.833942955
23,2,40,0.752703513
23,0,40,0.659891484
19,2,5,0.741957044
23,2,20,0.731025418
21,2,30,0.817074722
19,0,30,0.766202814
21,2,35,0.770113174
19,2,10,0.66027651
21,0,35,0.727911383
19,2,30,0.908833098
23,0,40,0.801699395
21,2,35,0.749631876
