Face,Direction,Eccentricity,Reaction Time (s)
7,0,35,0.1074455
7,2,35,0.247537347
7,0,0,0.115016591
7,2,40,0.189584917
7,0,20,0.224003875
7,0,5,0.294302981
7,0,0,0.234461157
7,2,0,0.220809294
7,0,20,0.203991633
7,2,20,0.236423243
7,0,5,0.245918955
7,0,40,0.24602623
7,0,40,0.258188297
7,2,10,0.213276096
7,0,15,0.055449423
7,2,40,0.216980438
7,2,40,0.125158478
7,0,20,0.206574574
7,0,20,0.179541952
7,0,5,0.260517792
7,0,15,0.069929549
7,2,30,0.105946725
7,2,15,0.140388851
7,0,25,0.335271311
7,0,15,0.26441534
7,2,10,0.196966658
7,0,30,0.141978503
7,2,20,0.320072964
7,2,10,0.223743008
7,0,40,0.193948178
7,0,35,0.148905666
7,2,30,0.043598742
7,2,10,0.237064505
7,0,0,0.233077788
7,0,10,0.40454214
7,2,25,0.228033006
7,2,20,0.089300377
7,2,30,0.199550327
7,0,40,0.200841895
7,0,40,0.194980736
7,2,35,0.155217569
7,2,10,0.280788172
7,0,30,0.148510306
7,2,5,0.282501849
7,2,5,0.289584038
7,2,40,0.396009356
7,0,25,0.222542946
7,2,5,0.310424236
7,0,0,0.243176824
7,0,40,0.268510664
7,2,30,0.200007952
7,0,10,0.228351244
7,0,25,0.271265
7,2,15,0.177304064
7,0,20,0.067132184
7,2,20,0.238274293
7,2,35,0.205648686
7,2,0,0.06077304
7,2,30,0.209841674
7,2,20,0.228032191
7,0,15,0.266763783
7,2,10,0.078951864
7,0,5,0.173191724
7,0,0,0.342585326
7,0,10,0.087779364
7,2,5,0.250422009
7,2,30,0.067087361
7,0,15,0.265986831
7,2,30,0.167990261
7,2,10,0.118392456
7,0,20,0.040507602
7,2,35,0.236785751
7,0,30,0.217772006
7,0,20,0.209728706
7,2,40,0.092408278
7,0,30,0.131929279
7,2,10,0.065537737
7,2,35,0.209716444
7,2,5,0.148259532
7,2,15,0.41959309
7,0,25,0.189311009
7,0,35,0.215767552
7,0,25,0.124777513
7,2,15,0.179357539
7,0,0,0.042969502
7,0,40,0.103890762
7,2,0,0.071391884
7,0,10,0.070215952
7,2,20,0.091138183
7,2,25,0.192441014
7,2,25,0.190794167
7,2,5,0.189852039
7,2,30,0.143937503
7,0,35,0.408896625
7,0,25,0.069536382
7,2,15,0.203507859
7,2,25,0.205396423
7,2,15,0.242811784
7,0,5,0.253228
7,0,25,0.451117986
7,0,30,0.213429049
7,0,5,0.323160044
7,0,40,0.127538791
7,2,15,0.165796139
7,0,20,0.063011981
7,2,35,0.218760395
7,2,30,0.262508053
7,2,25,0.250764114
7,0,5,0.073045592
7,2,25,0.086568527
7,2,10,0.220326287
7,0,35,0.071534072
7,0,40,0.263021663
7,0,0,0.270335286
7,2,35,0.218503745
7,0,30,0.173873479
7,2,20,0.216189672
7,2,35,0.174356368
7,0,35,0.215599029
7,2,40,0.147591672
7,2,15,0.063777499
7,2,35,0.206753878
7,2,0,0.30860142
7,0,30,0.203655194
7,0,10,0.234021098
7,0,35,0.256300471
7,0,15,0.324256727
7,0,20,0.174567955
7,0,10,0.20110909
7,2,0,0.229878079
7,2,25,0.152694295
7,2,5,0.227112623
7,0,25,0.229446332
7,0,5,0.064875719
7,0,10,0.024183524
7,2,40,0.214509707
7,0,15,0.33413082
7,2,0,0.270084212
7,0,25,0.411505971
7,0,10,0.197163576
7,2,5,0.264885222
7,0,0,0.247841442
7,2,0,0.123854663
7,2,0,0.275396552
7,0,5,0.322406073
7,2,0,0.174328798
7,0,10,0.227012824
7,0,35,0.162364954
7,2,35,0.177429252
7,2,15,0.217405885
7,0,25,0.34006449
7,2,15,0.239361638
7,0,15,0.247142261
7,0,0,0.026108921
7,2,40,0.202996987
7,0,15,0.127897364
7,0,20,0.259551985
7,0,30,0.204345564
7,0,35,0.344044432
7,2,25,0.316599867
7,0,30,0.256781221
7,0,35,0.183742913
7,2,40,0.060602592
7,2,5,0.18243046
7,0,15,0.190717437
7,2,20,0.242698844
7,2,30,0.012716142
7,2,0,0.26981437
7,0,5,0.131118103
7,2,25,0.109258411
7,2,5,0.202364808
7,2,20,0.280042972
7,0,0,0.111341257
7,2,10,0.244955632
7,0,30,0.399450521
7,2,20,0.17516059
7,2,25,0.377208143
7,2,40,0.225360123
7,0,40,0.190748619
7,0,10,0.215685844
