Face,Direction,Eccentricity,Reaction Time (s)
3,2,30,0.588163197
3,2,20,0.617789382
3,0,25,0.640862409
1,0,20,0.661450253
1,0,25,0.690707351
1,2,25,0.795417373
1,0,10,0.652976381
3,2,5,0.66656409
1,0,40,0.786239868
3,0,0,0.599144259
1,2,10,0.476711067
1,0,35,0.513354964
1,2,35,0.49061548
1,0,30,0.670119375
1,0,35,0.591200946
1,0,40,0.627219208
3,0,10,0.55997776
3,2,30,0.752689005
3,0,5,0.664241775
1,2,10,0.589089583
3,0,20,0.799128435
3,0,15,0.445637013
3,0,0,0.513839683
3,0,5,0.711827258
1,2,0,0.65012438
3,0,20,0.59956899
1,2,20,0.636182523
3,0,25,0.727452378
1,2,30,0.585831005
3,2,20,0.157590487
1,0,5,0.699649957
3,0,20,0.688143186
3,0,5,0.626882853
1,2,30,0.31135932
3,0,20,0.278068351
1,2,0,0.424675883
1,2,25,0.618349576
1,0,15,0.531169308
1,2,0,0.40139786
3,0,0,0.538347452
1,2,15,0.681251456
1,2,35,0.253010121
1,0,5,0.625732754
1,0,15,0.782851459
1,0,40,0.308381661
3,0,25,0.392693679
3,2,5,0.546467415
1,0,10,0.774694313
1,2,35,0.729408933
1,2,35,0.492177317
1,0,0,0.517725634
1,0,25,0.614434058
1,2,25,0.481324472
1,0,35,0.576222022
1,0,35,0.774072112
3,2,0,0.410226294
1,2,10,0.215729887
1,0,5,0.274015845
3,0,0,0.668856997
1,0,20,0.682109049
1,0,10,0.542255962
3,0,35,0.395169724
3,0,15,0.544509906
1,2,40,0.456973573
1,2,5,0.893444202
3,2,0,0.702697487
1,0,10,0.616046251
3,2,15,0.617964692
3,2,0,0.191762733
3,2,10,0.751334313
1,0,0,0.232593389
3,0,15,0.513043521
1,0,40,0.647568154
1,0,35,0.539142361
3,2,10,0.28837871
3,0,25,0.568318439
1,2,0,0.77784737
3,2,5,0.943476223
1,2,5,0.406543395
1,2,15,0.763205763
1,0,30,0.66412603
3,0,5,0.555976541
3,0,15,0.861270958
1,0,30,0.775531787
3,0,0,0.426333761
3,2,20,0.572667115
3,0,0,0.43361662
3,2,30,0.635222745
3,2,5,0.573206743
3,0,20,0.774351171
3,2,35,0.680009383
3,0,40,0.837607733
3,2,20,0.696728969
3,2,5,0.556672939
1,0,40,0.611544918
1,0,35,0.669215768
1,2,35,0.650108232
3,0,35,0.487481533
3,2,20,0.22730216
1,2,15,0.802886146
3,0,10,0.576367087
3,0,25,0.636228047
3,0,5,0.484352959
3,2,30,0.93147254
3,2,40,0.515508921
3,0,35,0.729896546
1,2,0,0.694747996
1,2,10,0.657222467
3,0,30,0.648402772
1,2,40,0.251213362
1,2,0,0.580378294
1,2,10,0.428734773
3,0,0,0.368218381
1,2,30,0.506603773
3,2,15,0.230769823
1,0,10,0.553362212
3,0,10,0.290754659
3,2,25,0.217444909
1,2,25,0.660246234
3,2,15,0.278789393
1,2,35,0.37124473
3,0,10,0.527471594
1,0,30,0.737687796
3,2,40,0.532023873
3,2,20,0.42887457
3,2,25,0.722811905
3,0,15,0.692069192
3,2,40,0.390377661
3,0,20,0.723300076
1,2,10,0.426737691
1,2,5,0.844648538
3,2,20,0.670092737
1,2,10,0.718606901
3,0,30,0.667215549
3,2,5,0.588352452
3,2,5,0.620300001
3,2,40,0.486393884
1,0,5,0.871179088
1,2,10,0.677832392
1,2,35,0.392468783
1,0,40,0.544805852
3,0,15,0.691815657
1,2,40,0.578991975
1,0,10,0.726083081
1,2,20,0.761578064
1,2,15,0.415509055
3,2,35,0.57942166
1,0,25,0.576726255
3,2,25,0.422114044
1,2,25,0.376807978
3,0,20,0.674691816
1,0,20,0.578723862
3,2,25,0.553715866
1,0,5,0.646826424
3,2,25,0.877688679
1,0,30,0.756749536
1,0,30,0.752266023
1,0,25,0.622609897
1,0,40,0.925005138
3,0,15,0.617781586
1,0,25,0.744642307
1,0,15,0.714000391
3,0,30,0.852140985
1,2,0,0.603933573
1,2,15,0.728728401
3,2,15,0.72329989
1,0,40,0.869918901
3,2,30,1.213392278
3,2,15,1.082365901
1,0,30,0.827324236
1,0,0,0.938641457
3,2,30,0.937304419
1,0,35,0.942556963
1,2,30,0.882462183
3,2,40,0.997102302
1,0,40,0.85043736
1,2,40,0.905479435
3,2,35,1.096263984
1,2,20,1.121147383
1,2,40,0.662014057
