Face,Direction,Eccentricity,Reaction Time (s)
17,2,30,1.0908612000057474
17,2,25,0.6953911000164226
15,2,10,0.6921474999981001
15,2,0,0.7192977000377141
13,2,5,0.6851109999697655
17,2,20,0.7776188999996521
17,2,15,0.6532268000300974
15,2,5,0.6660371000180021
15,2,40,1.273673499992583
15,2,40,0.642536300001666
17,2,35,0.7711647000396624
17,2,25,0.6791230999515392
15,2,10,0.6622610000194982
13,2,0,0.7238113999483176
13,2,0,0.6017066999920644
15,2,30,0.8952560999896377
17,2,30,0.7179176000063308
17,2,0,0.6664335999521427
17,2,5,0.574596099962946
13,2,0,0.6205024000373669
17,2,5,0.7505212999531068
13,2,15,0.9426884999847971
17,2,20,1.0249924000236206
17,2,30,1.0798168000183068
15,2,35,0.8596848999732174
15,2,10,0.7545798000064678
15,2,10,0.607829499989748
15,2,20,0.7847194999922067
17,2,15,0.7552939999732189
13,2,20,0.7846988000092097
13,2,40,0.9547925000078976
13,2,5,0.722676900040824
13,2,20,0.930108200001996
17,2,0,0.5463890000246465
17,2,20,0.7332117999903858
13,2,15,0.7713432000018656
17,2,5,0.5703219999559224
17,2,20,0.614301500027068
15,2,15,0.7681121000205167
13,2,15,0.7731922999955714
15,2,25,0.606901699968148
17,2,5,0.5448179999948479
17,2,20,0.5911932000308298
13,2,25,0.7527984000043944
13,2,25,0.775149799999781
17,2,30,0.7931603999459185
15,2,30,0.716608599992469
15,2,25,0.8683467000373639
17,2,25,0.7656602999777533
17,2,10,0.7983969000051729
17,2,35,0.7112144000129774
13,2,35,1.5013784000184387
17,2,30,0.720381599967368
17,2,40,0.7549997000023723
13,2,0,0.5960807999945246
13,2,5,0.693612499977462
13,2,15,0.9389922000118531
17,2,10,0.7217671999824233
13,2,10,0.7433996999752708
17,2,10,0.7951710000052117
13,2,20,0.6684876000508666
17,2,40,0.8826153000118211
13,2,5,0.6009263000451028
13,2,0,0.5307447999948636
15,2,35,0.882127299963031
15,2,15,0.8960534000070766
17,2,0,0.6902099999715574
17,2,30,0.7862676999648102
17,2,10,1.1635708000394516
17,2,10,0.5862733999965712
15,2,15,0.740567300003022
17,2,35,0.7462934000068344
15,2,25,0.72544830001425
15,2,35,0.7044039000174962
15,2,25,0.9466286999522708
13,2,15,0.9978619999601506
15,2,0,0.6751793000148609
13,2,40,0.64800909999758
17,2,5,0.7943340000347234
15,2,35,0.9432784999953583
17,2,20,0.7047284999862313
15,2,30,0.9833762000198476
13,2,35,0.9207015000283718
13,2,40,0.5458903999533504
13,2,25,0.8121985000325367
17,2,40,1.4038308999734
17,2,40,1.4761238999781199
17,2,40,1.1406697999918833
13,2,35,0.9598888999898918
15,2,30,1.0370229000109248
15,0,5,0.6023095999844372
17,0,30,0.8341679999721237
17,0,35,0.7014650000492111
15,0,25,0.6343446000246331
13,0,15,0.539445899950806
15,0,0,0.5537147999857552
17,0,5,0.5708941999473609
17,0,20,0.5799414000357501
13,0,10,0.588947799988091
15,0,35,0.7775629999814555
17,0,10,0.7833104999735951
17,0,15,0.7090082999784499
15,0,30,0.9303713000263087
15,0,30,0.7345380000188015
17,0,20,0.7797315999632701
15,0,40,0.7536383999977261
17,0,35,0.6963048999896273
17,0,0,0.5600732999737374
13,0,5,0.7761749000055715
15,0,35,0.951242400042247
13,0,25,0.9102517999708652
17,0,0,0.6164838999975473
13,0,15,0.6711929999873973
15,0,0,0.7452846000087447
17,0,15,0.7583160999929532
15,0,20,0.8070452999672852
13,0,0,0.548416499979794
13,0,10,0.6551709999912418
15,0,40,0.7433336999965832
15,0,20,0.5781132999691181
15,0,5,0.557984699960798
17,0,35,0.782666600018274
13,0,15,0.8439882000093348
17,0,15,0.9858617999707349
17,0,30,1.159513499995228
15,0,5,0.7015233000274748
13,0,0,0.5878310999833047
15,0,10,0.7296389000257477
15,0,40,0.781668699986767
15,0,15,0.7432911999640055
15,0,35,0.6215696999570355
13,0,40,0.7725521000102162
13,0,30,0.7164800999453291
17,0,0,0.5861860999721102
13,0,10,0.7125141000142321
15,0,5,0.6109264999977313
17,0,10,1.09158569999272
17,0,35,0.736081299954094
15,0,15,0.6807199999457225
17,0,5,0.734109700017143
13,0,10,0.7330470000160858
13,0,5,0.6282721000025049
15,0,10,0.8443775000050664
13,0,5,0.57576480001444
17,0,10,0.7356435999972746
15,0,30,0.7532624999876134
15,0,25,0.811393899959512
17,0,0,0.5903535000397824
13,0,5,0.6926351999863982
13,0,25,0.7916535999975167
13,0,15,0.6265155000146478
13,0,25,0.8865934000350535
15,0,0,0.6189872000250034
17,0,40,0.7479442000039853
17,0,20,0.9331451999605633
13,0,25,0.8094734999467619
13,0,20,0.653059399977792
17,0,30,0.742742000031285
15,0,15,0.6622041999944486
13,0,25,0.8719864000449888
15,0,25,0.7310787999886088
13,0,20,0.6785521000274457
13,0,40,0.5852599000209011
17,0,0,0.6045226999558508
15,0,10,0.6890644999803044
13,0,35,0.9293395999702625
13,0,40,0.839933299983386
13,0,30,0.7668735000188462
15,0,25,0.5961600000155158
15,0,30,0.6857687999727204
13,0,20,0.6603813999681734
13,0,20,0.7918713999679312
15,0,35,0.640696200018283
15,0,40,0.7103253999957815
15,0,30,0.6988719999790192
13,0,20,0.7438422000268474
17,0,40,0.8054508000495844
17,0,25,1.1853596000000834
15,0,40,0.9353071000077762
13,0,35,0.8548813000088558
