Face,Direction,Eccentricity,Reaction Time (s)
9,2,5,0.3909808999742381
9,2,35,0.43514660000801086
9,2,30,0.4206026000028942
11,2,15,0.3659824999922421
9,2,10,0.40171299999929033
9,2,10,0.4009210000222083
11,2,0,0.4030716000124812
9,2,0,0.4157825000002049
11,2,25,0.40211890000500716
9,2,10,0.42239659998449497
11,2,15,0.3763364000187721
11,2,5,0.48022040000068955
11,2,25,0.6780808999901637
11,2,5,0.5959365000016987
11,2,35,0.6153147000004537
9,2,15,0.6697262999950908
11,2,35,0.7702161000052001
11,2,0,0.4425604999996722
9,2,15,0.6781467999971937
9,2,20,0.5340305000136141
9,2,10,0.5025924999790732
9,2,5,0.4519816000247374
9,2,0,0.4683397999906447
9,2,20,0.6307991000066977
11,2,30,0.5321557999996003
11,2,30,0.6417014999897219
11,2,0,0.45989890000782907
11,2,10,0.5268373999861069
9,2,30,0.6994465000170749
11,2,10,0.4559337999962736
11,2,30,0.6242922999954317
11,2,35,0.6255721000197809
9,2,25,0.5702389999933075
11,2,20,0.5975650000036694
11,2,15,0.47981970000546426
11,2,25,0.46874809998553246
11,2,35,0.5071423999906983
11,2,20,0.46696250000968575
11,2,40,0.6285683000169229
11,2,5,0.465730199997779
9,2,0,0.4098993000225164
11,2,5,0.4809928999748081
9,2,25,0.8286990000051446
9,2,40,0.6619850000133738
11,2,25,0.5913694000046235
11,2,10,0.5080612000019755
9,2,20,0.5995122000167612
9,2,35,0.6265156999870669
9,2,40,0.6101237999973819
9,2,20,0.6471224999986589
9,2,20,0.7037670999998227
9,2,30,0.41145830001914874
9,2,35,0.5227323000144679
9,2,20,0.4628402999951504
9,2,40,0.44621910000569187
11,2,0,0.47227560001192614
9,2,30,0.4791659000038635
9,2,15,0.4061404000094626
9,2,10,0.4017677000083495
9,2,25,0.515570600022329
11,2,0,0.4641859999974258
9,2,35,0.7091083000123035
11,2,5,0.6996189999917988
9,2,40,0.798720399994636
11,2,30,0.5505873000074644
11,2,30,0.571208299981663
11,2,15,0.5888871000206564
9,2,15,0.8275675000040792
9,2,5,0.5001160000101663
11,2,5,0.5985513999767136
9,2,5,0.5477928000036627
9,2,25,0.6818998000235297
9,2,40,0.5082401999970898
9,2,10,0.6243125000037253
9,2,0,0.6278505000227597
9,2,20,0.6896928999922238
9,2,40,0.9329699999943841
9,2,10,0.47714230002020486
11,2,15,0.6177057000168134
9,2,30,0.6671963999979198
9,2,15,0.5959238999930676
11,2,35,0.6637154999771155
9,2,0,0.678141999989748
11,2,40,0.7385351000120863
11,2,35,0.9546254999877419
9,2,40,0.8268611999810673
9,2,25,0.6451188000210095
11,2,20,0.5827136999869253
11,2,40,0.6529862000024877
9,2,25,0.6851901999907568
9,0,0,0.4339097000192851
11,0,30,0.6161100000026636
9,0,25,0.6074004000111017
11,0,40,0.7043096999987029
11,0,5,0.5773180999967735
11,0,25,0.5978297999827191
11,0,10,0.4708804000110831
11,0,30,0.5557572999969125
9,0,0,0.5471129000070505
11,0,10,0.5018490999937057
9,0,0,0.5398528999940027
11,0,30,0.6946760999853723
11,0,5,0.4673612999904435
9,0,35,0.7371544000052381
11,0,5,0.4818126000172924
9,0,15,0.6981045000138693
11,0,5,0.5476569999882486
11,0,25,0.4967008999956306
11,0,5,0.7843784999859054
11,0,30,0.5505467999901157
9,0,0,0.5540482000214979
11,0,30,0.6863959000038449
11,0,20,0.518596100009745
9,0,0,0.4622257000009995
11,0,10,0.5410801999969408
9,0,20,1.0913280000095256
9,0,30,0.6600656000082381
11,0,0,0.5344445999944583
11,0,20,0.4000592000083998
11,0,40,1.1182224999938626
11,0,40,0.7587828999967314
9,0,10,0.5768043000134639
11,0,0,0.6963560000003781
11,0,5,0.5896997999807354
9,0,20,0.7655367000261322
9,0,30,0.6975937999959569
11,0,5,0.5515732000058051
9,0,25,0.4556131999997888
11,0,10,0.47107469997718
11,0,35,0.5201162000012118
11,0,0,0.4527941000123974
11,0,35,0.46350209999945946
11,0,40,0.6089463999960572
9,0,0,0.551230699988082
11,0,15,0.5331421000009868
11,0,20,0.7228190999885555
11,0,30,0.5555125999962911
11,0,10,0.522532399976626
11,0,20,0.5022482000058517
11,0,15,0.44363809999777004
11,0,40,0.6380513999902178
11,0,35,0.5392371999914758
11,0,10,0.48335860000224784
9,0,15,0.591146699996898
11,0,10,0.5379531999933533
9,0,40,0.7286257999949157
9,0,20,0.5061365000146907
9,0,15,0.5186952999792993
9,0,35,0.7659014000091702
11,0,35,0.7648607000010088
11,0,15,0.5896804999792948
9,0,25,0.6556934999825899
9,0,35,0.6182007000024896
9,0,25,0.6982419000123627
11,0,10,0.5064217000035569
11,0,15,0.579638299997896
9,0,25,0.5211367000010796
9,0,40,0.7634138000139501
9,0,5,0.48821189999580383
9,0,40,0.6037231000082102
9,0,5,0.4669638999912422
11,0,20,0.5160386000061408
9,0,5,0.5424414999724831
9,0,15,0.5893572999921162
9,0,25,0.5534381999750622
9,0,30,0.6454655000125058
9,0,35,0.6784219999972265
11,0,20,0.7096347000042442
11,0,35,0.6972753000154626
9,0,40,0.6693411000014748
11,0,35,0.8952123000053689
9,0,25,0.719258400000399
9,0,20,0.6395701000001281
9,0,30,0.6316363000078127
9,0,15,0.6355021000199486
11,0,0,0.5540818000154104
9,0,10,0.7605214999930467
9,0,15,0.6360243999806698
9,0,25,0.6391559999901801
9,0,40,0.7059261000249535
