Face,Direction,Eccentricity,Reaction Time (s)
7,0,35,0.3750124000944197
7,2,5,0.38274309993721545
7,0,5,0.36068379995413125
7,0,30,0.36428720015101135
7,2,30,0.35385439987294376
7,0,5,0.3488847999833524
7,2,15,0.3515856999438256
7,2,20,0.3462283001281321
7,2,35,0.4378812999930233
7,0,20,0.5583331999368966
7,2,20,0.4769324001390487
7,2,30,0.3526622001081705
7,0,0,0.3249400998465717
7,0,10,0.4054458998143673
7,0,5,0.34802639996632934
7,2,15,0.3386228000745177
7,0,35,0.3763613000046462
7,0,0,0.3117564001586288
7,0,30,0.3165587999392301
7,0,30,0.3622793999966234
7,2,30,0.35534330015070736
7,2,15,0.33341750013642013
7,2,40,0.37921239994466305
7,0,40,0.40192520013079047
7,0,10,0.3516875999048352
7,0,20,0.3404512000270188
7,2,0,0.3131258999928832
7,2,0,0.29754730011336505
7,0,20,0.2793060999829322
7,2,25,0.34735929989255965
7,0,40,0.39014439983293414
7,2,5,0.3771100998856127
7,0,25,0.20551840006373823
7,2,20,0.368128800066188
7,2,40,0.38976419996470213
7,2,25,0.3070463999174535
7,2,20,0.3660697001032531
7,2,15,0.2987425001338124
7,0,10,0.3710040000732988
7,2,10,0.3266972000710666
7,2,0,0.3503040000796318
7,0,0,0.30109850014559925
7,0,25,0.37446369999088347
7,2,15,0.3288819999434054
7,2,5,0.36473349994048476
7,2,30,0.40081229992210865
7,0,15,0.3832531999796629
7,0,20,0.34379130019806325
7,0,0,0.34678370016627014
7,2,10,0.09960639989003539
7,0,25,0.037018900038674474
7,2,20,0.31751990015618503
7,0,20,0.3854280000086874
7,0,25,0.34687380003742874
7,2,25,0.3363308999687433
7,0,40,0.35027629998512566
7,2,35,0.35946680000051856
7,2,40,0.386073200032115
7,0,25,0.2960509001277387
7,0,35,0.33164589991793036
7,0,25,0.40338040003553033
7,0,10,0.41452850005589426
7,0,25,0.38441379996947944
7,0,40,0.3278279001824558
7,2,30,0.3687665001489222
7,2,20,0.45831499993801117
7,2,10,0.5242303998675197
7,2,35,0.19152069999836385
7,2,10,0.25396449980325997
7,2,30,0.36162880016490817
7,2,10,0.39011200005188584
7,0,0,0.33147370000369847
7,0,5,0.31769649987109005
7,0,10,0.3153793001547456
7,2,5,0.31946759996935725
7,2,35,0.3682304001413286
7,0,25,0.39857729990035295
7,2,30,0.3620217000134289
7,0,15,0.3477120001334697
7,2,25,0.3646152999717742
7,2,35,0.399887400213629
7,0,25,0.35009619989432395
7,0,5,0.41235200013034046
7,2,40,0.3900271998718381
7,0,30,0.4228763000573963
7,0,35,0.3959965000394732
7,2,10,0.3934480999596417
7,0,15,0.3765213000588119
7,2,5,0.4073137999512255
7,0,0,0.34078890015371144
7,0,20,0.3596982001326978
7,0,15,0.34008729993365705
7,0,10,0.3419660998042673
7,0,5,0.3599346000701189
7,2,35,0.3551336999516934
7,0,35,0.4111526000779122
7,2,0,0.38367410004138947
7,2,15,0.36668169987387955
7,2,40,0.3768125001806766
7,2,30,0.37208799994550645
7,0,20,0.3394512999802828
7,2,20,0.35792189999483526
7,0,40,0.37287910003215075
7,2,0,0.3507303998339921
7,2,25,0.3968803999014199
7,0,0,0.49485989985987544
7,2,25,0.39243160001933575
7,0,35,0.3397899998817593
7,2,5,0.4366629000287503
7,2,15,0.34196799993515015
7,2,25,0.3689267998561263
7,0,10,0.34902289998717606
7,0,35,0.33052049996331334
7,2,20,0.45547679997980595
7,2,5,0.32091509993188083
7,2,40,0.16654090001247823
7,0,40,0.3613967001438141
7,0,5,0.267522000009194
7,0,15,0.1579821000341326
7,0,15,0.3293627998791635
7,2,0,0.3277783999219537
7,0,30,0.36943199997767806
7,0,40,0.37267589988186955
7,0,15,0.3363316999748349
7,2,20,0.32594889984466136
7,0,20,0.3113979999907315
7,0,5,0.37387840007431805
7,0,15,0.40354229998774827
7,2,10,0.36924000014550984
7,2,40,0.5350063000805676
7,0,40,0.4010085999034345
7,2,10,0.368064200039953
7,0,30,0.5253670001402497
7,2,25,0.3690787998493761
7,2,40,0.22671699989587069
7,0,15,0.3888573001604527
7,0,15,0.34468579990789294
7,0,35,0.3641623000148684
7,0,5,0.3633248000405729
7,2,35,0.3999256999231875
7,0,30,0.40759560000151396
7,0,20,0.35675260005518794
7,2,35,0.3578939998988062
7,0,25,0.35280829994007945
7,2,35,0.3653695001266897
7,0,10,0.3153574999887496
7,2,30,0.4005757998675108
7,0,0,0.3404459999874234
7,2,15,0.3760875000152737
7,0,10,0.3956559000071138
7,0,5,0.35644669993780553
7,0,30,0.5996457000728697
7,2,5,0.380301000084728
7,2,10,0.32889080001041293
7,2,0,0.3491059998050332
7,2,10,0.059051299933344126
7,2,15,0.4214050001464784
7,0,30,0.14566170005127788
7,0,40,0.32429709983989596
7,0,40,0.34139620000496507
7,2,30,0.33540070010349154
7,0,0,0.3418068001046777
7,0,30,0.3098077999893576
7,0,20,0.34200319997034967
7,2,0,0.3356240999419242
7,0,0,0.32468040008097887
7,2,40,0.3602746999822557
7,2,0,0.4109871000982821
7,2,5,0.3457471998408437
7,2,15,0.44608109979890287
7,0,35,0.3873687000013888
7,0,35,0.3832692001014948
7,2,40,0.41438319999724627
7,2,0,0.3403870000038296
7,0,10,0.35566310002468526
7,2,25,0.3281818001996726
7,2,25,0.7730247001163661
7,2,5,0.30937699996866286
7,2,35,0.32105789985507727
7,2,20,0.3180593999568373
