Face,Direction,Eccentricity,Reaction Time (s)
9,2,15,0.7137211998924613
11,0,40,0.6928324000909925
11,0,5,0.4830571999773383
11,2,40,0.6916541000828147
11,2,35,0.664442699868232
11,0,20,0.5388740000780672
11,2,15,0.6385202000383288
9,0,0,0.5145550000015646
11,0,25,0.5673575999680907
9,2,25,0.7151457997970283
9,2,20,0.6909507000818849
9,0,0,0.4747388001997024
11,0,30,0.6023470000363886
9,2,5,0.5287280001211911
9,2,15,0.7112573999911547
11,0,20,0.5773859000764787
11,0,40,0.8055702999699861
11,0,25,0.7292605999391526
11,2,5,0.5100493999198079
11,2,0,0.5083939000032842
9,2,15,0.6353933999780566
9,0,25,0.6361567999701947
11,2,30,0.6498855999670923
9,2,30,0.7118480999488384
9,0,15,0.5466562998481095
11,2,10,0.6257074999157339
9,0,0,0.5627144000027329
9,0,15,0.5446814000606537
11,0,30,0.6881776999216527
11,2,20,0.5883009000681341
11,0,25,0.6606782001908869
11,2,10,0.6600471001584083
11,2,30,0.8135883000213653
9,2,10,0.6951822999399155
11,0,0,0.5862124999985099
11,0,20,0.5925626999232918
9,2,20,0.7043733999598771
11,2,0,0.6118306999560446
11,0,40,0.878008299972862
11,0,5,0.5003671001177281
9,2,10,0.5012227001134306
11,2,15,0.6076026000082493
11,0,35,0.6998965998645872
11,2,20,0.5826895001810044
11,2,15,0.5612244999501854
9,0,40,0.8849189998582006
9,2,40,0.695815599989146
9,2,25,0.5355746001005173
11,0,20,0.6367328001651913
9,2,25,0.7159064000006765
9,2,40,0.5618506001774222
9,0,5,0.5314454999752343
9,2,10,0.5227661000099033
9,0,25,0.5953078002203256
11,2,35,0.6759208999574184
9,2,40,0.710416599875316
9,2,20,0.6719189998693764
9,2,30,0.7029761001467705
9,0,10,0.5501222000457346
9,0,0,0.5279574000742286
11,0,5,0.5250864999834448
11,2,10,0.5803421998862177
11,2,15,0.5999203999526799
11,0,20,0.5931189002003521
11,0,40,0.7107013999484479
11,0,40,0.6899896999821067
11,2,0,0.5558762000873685
9,2,25,0.8778898001182824
11,2,20,0.6381828999146819
9,2,35,0.8659669999033213
11,0,35,0.6615317000541836
11,2,35,0.7190638000611216
9,2,25,0.6471833998803049
11,0,15,0.651657999958843
9,0,35,0.7031763000413775
9,0,30,0.7617894001305103
11,2,35,0.6744273998774588
9,0,20,0.8525829999707639
11,2,10,0.7862432999536395
11,2,0,0.5285657001659274
9,2,20,0.7550892999861389
9,0,25,0.7575721000321209
9,0,25,0.5911448001861572
11,0,5,0.6068583000451326
9,0,25,0.7150491001084447
9,0,30,0.7358738000039011
9,2,40,0.7254518000409007
9,2,25,0.5929471999406815
9,0,15,0.6117307001259178
11,0,30,0.7007943999487907
9,2,0,0.6858300999738276
11,0,10,0.6744226000737399
9,0,5,0.6336771999485791
9,2,25,0.7791335999500006
11,0,35,0.7781402000691742
9,0,15,0.6436662999913096
11,2,20,0.7227066000923514
11,0,5,0.6171973999589682
11,0,30,0.6923151998780668
11,0,35,0.5822074001189321
11,2,10,0.5304374000988901
9,0,15,0.6763571999035776
9,2,15,0.667782099917531
11,2,30,0.6701567000709474
11,2,0,0.6443263001274318
9,0,30,0.5818041001912206
9,2,35,0.5826133000664413
9,0,30,0.6452299999073148
9,2,5,0.677394000114873
11,2,30,0.6831615001428872
9,0,20,0.6107142001856118
11,2,10,0.6820139000192285
11,0,10,0.8092908998951316
11,0,0,0.6462532998993993
9,2,10,0.6732589998282492
9,2,5,0.5510472999885678
11,0,5,0.6898101000115275
11,0,10,0.6052381000481546
11,0,10,0.5596127000171691
9,2,5,0.7190942999441177
9,2,15,0.717804699903354
9,2,5,0.6292451000772417
11,0,20,0.6473339002113789
11,2,5,0.6828477999661118
9,0,15,0.6549909000750631
9,2,40,0.7416658001020551
11,2,0,0.6382776000536978
9,0,10,0.6473155000712723
11,0,10,0.7298284000717103
11,2,25,0.5915853998158127
11,2,40,0.6464001000858843
11,0,35,0.5825658000539988
11,2,35,0.7857111999765038
11,0,15,0.6136797999497503
9,2,25,0.7280715999659151
9,2,40,0.8901967001147568
9,2,0,0.5797617000062019
9,2,0,0.5210603000596166
9,2,25,0.6026566999498755
9,0,35,0.7298014999832958
11,2,35,0.9674914001952857
11,2,5,0.7326378000434488
11,2,40,0.6468130999710411
11,0,35,0.7112602000124753
11,0,15,0.7453895001672208
9,0,0,0.5291445001494139
11,0,40,0.7861397000961006
9,2,15,0.617105099838227
9,2,20,0.6087927001062781
9,0,10,0.5833268000278622
9,2,0,0.5438407000619918
9,0,10,0.5509707999881357
9,0,40,0.7447840000968426
11,0,0,0.5777743998914957
9,2,35,0.714110900182277
11,2,30,0.6897307001054287
9,0,30,0.7049801999237388
11,0,40,0.665815900079906
9,0,0,0.6102795999031514
11,0,40,0.6866850000806153
9,2,5,0.5393205999862403
9,0,10,0.5431216999422759
9,2,30,0.7051742998883128
9,2,20,0.5241884998977184
9,0,5,0.5018940002191812
9,0,0,0.526516200043261
9,0,5,0.5867606999818236
11,0,25,0.7498055000323802
9,0,20,0.6537219001911581
9,2,30,0.7000352998729795
11,2,35,0.7157139000482857
9,0,35,0.8004566000308841
9,2,5,0.5757856999989599
9,2,30,0.716125600039959
11,2,40,0.6843610000796616
9,0,35,0.6316677001304924
11,0,15,0.6771891000680625
9,0,25,0.6546480997931212
11,0,30,0.6668966000434011
9,0,20,0.6431966000236571
