Face,Direction,Eccentricity,Reaction Time (s)
13,2,25,1.0310442000627518
17,2,20,1.0336188001092523
17,2,5,0.7134120999835432
17,2,35,0.7821758999489248
15,2,10,0.6934430999681354
13,2,0,0.7053489000536501
13,2,15,0.7931239998433739
17,2,0,0.6432266000192612
13,2,5,0.5160821001045406
13,2,10,0.8285590000450611
13,2,15,0.7671101000159979
15,2,0,0.6044637998566031
13,2,40,0.9459704000037163
13,2,40,0.7994984998367727
15,2,10,0.7700614000204951
17,2,5,0.6739914999343455
13,2,5,0.7567567001096904
15,2,15,0.7751531000249088
17,2,20,0.6281153000891209
13,2,40,0.7553815001156181
15,2,0,0.5697600999847054
15,2,30,0.9779891001526266
15,2,30,0.8514501999597996
15,2,20,0.9773705000989139
15,2,10,0.6864952000323683
15,2,35,0.8319166000001132
15,2,30,1.0098296999931335
15,2,25,0.8968299000989646
13,2,0,0.7658098998945206
13,2,25,0.7112608999013901
17,2,5,0.6461617001332343
13,2,20,0.7693874000106007
17,2,5,0.5590524000581354
15,2,35,0.5255022998899221
17,2,15,0.6420138999819756
17,2,20,0.5308791999705136
17,2,0,0.5185413998551667
17,2,40,0.5395973999984562
13,2,5,0.7080516999121755
13,2,25,0.5435345000587404
15,2,35,0.5204750997945666
15,2,5,0.6833036998286843
17,2,25,0.6177348999772221
15,2,10,0.8957557000685483
13,2,0,0.6325935998465866
15,2,10,0.6896591999102384
17,2,10,0.7642989000305533
17,2,10,0.6379328998737037
15,2,5,0.5777750997804105
13,2,35,0.41242090007290244
17,2,0,0.5454643000848591
13,2,15,0.9698271998204291
13,2,15,0.5396930000279099
13,2,25,0.613660000031814
15,2,40,0.6965640999842435
15,2,20,0.877808399964124
15,2,40,1.2049791999161243
13,2,15,0.5957758999429643
13,2,10,0.6219627000391483
13,2,40,0.4425384998321533
13,2,15,0.4551740998867899
17,2,40,0.5896240000147372
15,2,30,0.8343501999042928
15,2,20,0.8658030999358743
17,2,35,0.64831000007689
17,2,35,1.2394143999554217
17,2,25,0.845806899946183
13,2,10,0.7453429999295622
17,2,25,0.6993733998388052
15,2,30,0.7545459000393748
13,2,35,0.8583248998038471
13,2,0,0.6080547999590635
17,2,20,1.219604899873957
15,2,30,1.0401721000671387
15,2,35,0.5587392998859286
15,2,30,0.6937924998346716
15,2,20,0.7981469000224024
13,2,0,0.6573807999957353
17,2,5,0.6651178000029176
13,2,15,0.6668934999033809
17,2,20,0.8510320000350475
15,2,15,0.667901299893856
15,2,25,0.9379342999309301
13,2,30,0.8984379000030458
13,2,30,1.0548120001330972
13,2,30,0.7853310001082718
13,2,35,0.7379617001861334
15,2,40,0.8031765001360327
13,2,25,0.6994342000689358
13,2,40,1.0186419999226928
13,0,40,0.7185670998878777
15,0,25,0.8967323999386281
15,0,35,0.8312205998227
15,0,25,0.6912700000684708
17,0,15,0.5460773999802768
17,0,35,0.5172421000897884
15,0,5,0.6221870998851955
15,0,0,0.5962050999514759
15,0,20,0.5319178001955152
17,0,5,0.7061751999426633
17,0,5,0.5076640998013318
15,0,15,0.8213359999936074
13,0,30,0.7461202000267804
13,0,35,0.5365538999903947
17,0,10,0.5483430000022054
17,0,10,0.5486403999384493
15,0,35,0.6181266999337822
17,0,5,0.6821282999590039
17,0,25,0.8326681999024004
15,0,30,0.7177306001540273
17,0,5,0.5612929000053555
13,0,10,0.6596568000968546
17,0,35,0.412462699925527
15,0,20,0.5060340999625623
15,0,25,0.6627806001342833
15,0,10,0.6891280000563711
15,0,30,0.7947893999516964
15,0,10,0.5332874001469463
13,0,35,0.6853377998340875
13,0,10,0.7974473999347538
17,0,10,0.7714257999323308
13,0,20,0.8424635999836028
17,0,0,0.6037824000231922
17,0,5,0.5538902999833226
13,0,30,0.7773406999185681
17,0,0,0.5848612999543548
17,0,15,0.7297610999085009
17,0,30,0.4637166999746114
17,0,25,0.5292698999401182
15,0,25,0.6474284001160413
15,0,20,0.6353464999701828
13,0,10,0.7888960000127554
15,0,5,0.6935042999684811
15,0,0,0.6007407000288367
15,0,10,0.6867717001587152
17,0,20,0.7186620999127626
17,0,20,0.5735082000028342
13,0,0,0.612738000229001
13,0,0,0.49011139990761876
15,0,0,0.5532082000281662
15,0,40,0.6886752999853343
17,0,15,0.6392818000167608
17,0,5,0.5279314001090825
17,0,15,0.5715252999216318
15,0,20,0.7876808000728488
17,0,15,0.5641338001005352
13,0,0,0.6320098000578582
15,0,0,0.5710636998992413
17,0,15,0.7380582999903709
17,0,25,0.5514645001385361
15,0,15,0.8410469999071211
15,0,0,0.6457746000960469
15,0,5,0.738435999955982
17,0,40,0.8480020000133663
17,0,40,0.9002602000255138
15,0,15,0.656047600088641
17,0,20,0.7727218999061733
13,0,15,0.6658177000936121
17,0,30,0.7267915999982506
17,0,35,0.8296878000255674
13,0,40,1.1002941001206636
13,0,30,0.7990876000840217
17,0,40,1.0317635000683367
13,0,20,0.7424186000134796
15,0,40,0.8127820999361575
13,0,40,1.0848463999573141
15,0,5,0.7655654000118375
13,0,40,0.7615449000149965
15,0,35,0.966749900020659
17,0,25,0.8807856999337673
17,0,25,1.078912999946624
17,0,20,0.6767021999694407
13,0,30,0.5240346000064164
13,0,10,0.6343083998654038
13,0,40,0.7950534000992775
15,0,25,0.7265355000272393
13,0,35,0.9863926998805255
13,0,35,0.8306761998683214
15,0,30,0.6973294999916106
13,0,30,0.3581740998197347
