Face,Direction,Eccentricity,Reaction Time (s)
9,2,20,0.5227084000071045
9,2,35,0.7036821000219788
9,2,25,0.5373295999888796
9,2,40,0.6647800999926403
9,2,30,0.6729116000060458
9,2,40,0.6439525000168942
9,2,0,0.5398212000145577
11,2,5,0.5859214000229258
9,2,5,0.5814062000135891
11,2,15,0.5977572999836411
9,2,40,0.7614365000044927
9,2,40,0.7417856999963988
9,2,35,0.5677842999866698
11,2,10,0.5842234999872744
9,2,35,0.608090199995786
9,2,15,0.6408774000010453
9,2,10,0.49639509999542497
9,2,15,0.48245730000780895
9,2,25,0.5203440000186674
9,2,15,0.4834213999856729
11,2,30,0.6723734000115655
11,2,35,0.616520900017349
9,2,20,0.611347800004296
11,2,40,0.6631750999949872
11,2,0,0.5551465999742504
11,2,35,0.637559599999804
11,2,15,0.5526857000077143
11,2,10,0.5657815999875311
11,2,5,0.5047845999943092
9,2,20,0.6072405000159051
11,2,0,0.530947000021115
11,2,10,0.4847721000260208
11,2,40,0.663008199975593
9,2,15,0.5953317999956198
11,2,30,0.5543527000118047
9,2,10,0.5590842999808956
11,2,20,0.5831927000253927
11,2,5,0.6044143999752123
11,2,30,0.5785346999764442
11,2,10,0.5101113000127953
9,2,40,0.7065532999986317
9,2,25,0.5926715000241529
9,2,30,0.5454297999967821
9,2,40,0.5981721999996807
11,2,0,0.5183374999905936
11,2,10,0.6703636000165716
11,2,20,0.5165933999815024
11,2,25,0.7001782000006642
11,2,25,0.5057810999860521
11,2,15,0.5272283999947831
11,2,35,0.6273739000025671
11,2,35,0.5040233000181615
11,2,25,0.6910683999885805
9,2,25,0.5989223000069614
11,2,20,0.6345199000206776
11,2,0,0.5254543999908492
11,2,5,0.5324411000183318
11,2,30,0.6176020000129938
9,2,5,0.5671776999952272
11,2,20,0.5790231999999378
9,2,0,0.48618559999158606
9,2,5,0.6014710000017658
9,2,35,0.6572515000007115
9,2,0,0.4781614000094123
9,2,25,0.553993299981812
11,2,0,0.4838748000038322
11,2,40,0.8387424999964423
9,2,0,0.5151638999814168
11,2,15,0.6550392000062857
9,2,30,0.6688660999934655
11,2,10,0.5467033000022639
11,2,20,0.6009847999957856
9,2,10,0.6216503999894485
11,2,5,0.5913273000041954
11,2,30,0.7770075000007637
11,2,20,0.5821483999898192
11,2,25,0.5777454000199214
9,2,15,0.5780754000006709
11,2,0,0.6067095000180416
11,2,5,0.5720094999996945
9,2,20,0.6101475000032224
9,2,15,0.6644465000135824
11,2,30,0.7131228999933228
11,2,10,0.5150873999809846
9,2,5,0.5784009000053629
11,2,25,0.6491000000096392
9,2,35,0.6097891999816056
9,2,30,0.7000733000168111
9,2,40,0.6977053000009619
11,2,35,0.5936376999889035
11,0,20,0.764425699977437
9,0,20,0.6866775999951642
11,0,35,0.7033215000119526
11,0,20,0.649792999989586
11,0,30,0.4418252000177745
9,0,0,0.4859342999989167
9,0,25,0.5272365999990143
11,0,0,0.5676237000152469
9,0,25,0.5744702000229154
9,0,15,0.6599736000061966
11,0,5,0.6731828000047244
9,0,5,0.580432299990207
11,0,15,0.579803600005107
9,0,5,0.5675004000077024
11,0,40,0.7212080000026617
11,0,40,0.5823082999850158
9,0,0,0.6104171999904793
9,0,10,0.5348754999868106
9,0,40,0.6861853000009432
9,0,25,0.5766428000060841
11,0,0,0.49374469998292625
9,0,25,0.721511300012935
11,0,5,0.4913644999905955
9,0,40,0.7306251999980304
9,0,35,0.594935400004033
9,0,5,0.43180150000262074
11,0,15,0.5454109999991488
11,0,40,0.5422194999991916
11,0,25,0.5913548000098672
11,0,5,0.4768503000086639
11,0,30,0.49335900001460686
9,0,0,0.6621730999904685
9,0,10,0.5307663999847136
9,0,20,0.5112137999967672
9,0,0,0.5893913999898359
11,0,30,1.1487834999861661
11,0,5,0.4803381999954581
11,0,0,0.5357529999746475
9,0,35,0.7298079000029247
9,0,0,0.5314975999935996
9,0,10,0.6157973999797832
11,0,10,0.6130324999976438
11,0,20,0.6504988000087906
9,0,40,0.8618515999987721
9,0,25,0.6690586000040639
11,0,10,0.5723589000117499
9,0,15,0.6284605999826454
11,0,0,0.5373354000039399
9,0,10,0.5527375999954529
9,0,10,0.5917752999812365
11,0,30,0.6073700999841094
11,0,20,0.6180046999943443
9,0,25,0.6913657000113744
11,0,35,0.7693639999779407
9,0,35,0.6938916000071913
11,0,15,0.5377077999874018
11,0,10,0.4749401000153739
9,0,30,0.7023421000048984
11,0,20,0.5955916999955662
9,0,35,0.7531317000102717
11,0,25,0.5810003000078723
11,0,20,0.5867405000026338
9,0,10,0.6466906999994535
9,0,0,0.6990958999958821
11,0,15,0.5875115999951959
9,0,10,0.5220352000033017
11,0,40,0.6575618999777362
9,0,25,0.6487619999970775
9,0,20,0.6630273000046145
9,0,30,0.6149957999878097
9,0,15,0.5181471999967471
11,0,15,0.5990612000168767
11,0,15,0.5604499999899417
11,0,15,0.5113102000032086
9,0,35,0.7443057000054978
11,0,20,0.5975006000080612
9,0,25,0.5840377999993507
9,0,5,0.6309455999871716
9,0,35,0.7921154999930877
11,0,30,0.6092029999999795
9,0,35,0.719384900003206
11,0,35,0.6293892999819946
9,0,5,0.6088692000193987
9,0,40,0.805245499999728
11,0,30,0.7508545000164304
9,0,40,0.7027989999915008
9,0,40,0.5086486000218429
9,0,5,0.673433699994348
9,0,30,0.6593089000089094
11,0,30,0.5040469999948982
