Face,Direction,Eccentricity,Reaction Time (s)
5,2,20,0.264409
5,2,35,0.2143201
5,2,40,0.208566
5,2,25,0.2347317
5,2,20,0.2277016
5,2,0,0.20831
5,2,35,0.1927176
5,2,15,0.2069401
5,2,0,0.2697232
5,2,25,0.2675612
5,2,10,0.2855132
5,2,35,0.2777291
5,2,20,0.1998372
5,2,30,0.2791251
5,2,5,0.2355881
5,2,10,0.1300556
5,2,5,0.0698979
5,2,30,0.211565
5,2,40,0.1988001
5,2,0,0.2274474
5,2,15,0.2254476
5,2,30,0.3515303
5,2,20,0.2196685
5,2,5,0.5360118
5,2,40,0.2165333
5,2,30,0.2195191
5,2,20,0.3357195
5,2,25,0.1979398
5,2,0,0.2331097
5,2,0,0.288765
5,2,5,0.3286191
5,2,30,0.2486923
5,2,20,0.0809998
5,2,25,0.4159928
5,2,25,0.317416
5,2,40,0.7402854
5,2,40,0.3659216
5,2,0,0.2993472
5,2,40,0.2374851
5,2,5,0.2596036
5,2,5,0.1319421
5,2,35,0.2809301
5,2,15,0.2705043
5,2,35,0.2217121
5,2,40,0.3079827
5,2,25,0.2941957
5,2,0,0.2470327
5,2,35,0.4902509
5,2,20,0.2619942
5,2,40,0.2931897
5,2,15,0.2751707
5,2,5,0.0707946
5,2,10,0.2277315
5,2,5,0.2632835
5,2,40,0.2658526
5,2,15,0.2505246
5,2,15,0.2459671
5,2,35,0.4234235
5,2,30,0.2346023
5,2,20,0.2423885
5,2,10,0.2448773
5,2,10,0.2396293
5,2,25,0.2271836
5,2,40,0.2451613
5,2,10,0.2108959
5,2,0,0.2577439
5,2,10,0.2081737
5,2,0,0.2776019
5,2,10,0.2379122
5,2,20,0.2367223
5,2,25,0.2714306
5,2,35,0.2373459
5,2,35,0.2504414
5,2,10,0.2451294
5,2,30,0.2337568
5,2,15,0.2536313
5,2,15,0.1604672
5,2,25,0.2848848
5,2,15,0.2271895
5,2,5,0.2771876
5,2,35,0.2176217
5,2,20,0.2623057
5,2,0,0.2709906
5,2,30,0.1299879
5,2,10,0.2564882
5,2,25,0.2723969
5,2,15,0.295057
5,2,30,0.2720803
5,2,5,0.2813726
5,2,30,0.2318122
5,2,20,0.2485618
5,0,40,0.285231
5,0,20,0.2271416
5,0,25,0.2801465
5,0,15,0.2289882
5,0,20,0.2638422
5,0,15,0.2663483
5,0,20,0.2374132
5,0,20,0.2502788
5,0,10,0.2542361
5,0,15,0.2478553
5,0,10,0.1959958
5,0,25,0.2379034
5,0,40,0.2341174
5,0,40,0.2197088
5,0,30,0.2459755
5,0,5,0.266303
5,0,25,0.2381719
5,0,5,0.1949044
5,0,30,0.1648437
5,0,25,0.1907213
5,0,20,0.2412723
5,0,35,0.1918009
5,0,35,0.2533971
5,0,40,0.2605091
5,0,40,0.2795103
5,0,10,0.2414542
5,0,20,0.4100654
5,0,30,0.2765488
5,0,0,0.2945761
5,0,10,0.2475298
5,0,25,0.2453202
5,0,0,0.2822198
5,0,15,0.4745735
5,0,15,0.2534422
5,0,40,0.2277565
5,0,5,0.38042
5,0,10,0.2429036
5,0,30,0.2723128
5,0,20,0.2272912
5,0,25,0.2835429
5,0,25,0.3754505
5,0,35,0.2287314
5,0,35,0.2494141
5,0,5,0.226456
5,0,20,0.2497308
5,0,30,0.2448412
5,0,15,0.208344
5,0,5,0.2364098
5,0,35,0.2657843
5,0,40,0.2367935
5,0,10,0.1805679
5,0,0,0.2252822
5,0,35,0.272894
5,0,40,0.2351554
5,0,30,0.2119264
5,0,30,0.2187246
5,0,0,0.2777815
5,0,0,0.243513
5,0,0,0.2702936
5,0,0,0.2877722
5,0,0,0.2507831
5,0,20,0.2640409
5,0,5,0.2459233
5,0,25,0.3648965
5,0,5,0.343797
5,0,10,0.3271921
5,0,15,0.2182027
5,0,15,0.1996374
5,0,25,0.239176
5,0,30,0.2899024
5,0,40,0.2346536
5,0,20,0.2362554
5,0,5,0.2408699
5,0,35,0.2551356
5,0,25,0.2823694
5,0,15,0.2098751
5,0,15,0.2456241
5,0,35,0.2401739
5,0,35,0.6210726
5,0,35,0.4343513
5,0,0,0.235119
5,0,30,0.3504196
5,0,10,0.2306511
5,0,5,0.2353032
5,0,30,0.2423855
5,0,40,0.2499708
5,0,5,0.3545255
5,0,10,0.4340669
5,0,0,0.2359412
5,0,10,0.2162925
