Face,Direction,Eccentricity,Reaction Time (s)
5,2,15,0.354748898
5,2,30,0.45773874
5,2,10,0.284420983
5,2,30,0.311654997
5,2,0,0.328553694
5,2,35,0.235981762
5,2,25,0.241805549
5,2,40,0.240988819
5,2,25,0.279563215
5,2,15,0.25734322
5,2,0,0.303126045
5,2,40,0.404779885
5,2,5,0.270162849
5,2,0,0.43684058
5,2,40,0.261737784
5,2,10,0.230927268
5,2,10,0.274989597
5,2,25,0.26064073
5,2,5,0.269079334
5,2,5,0.283145132
5,2,10,0.257196191
5,2,35,0.291534553
5,2,10,0.254519329
5,2,5,0.282831408
5,2,20,0.262118897
5,2,30,0.276992213
5,2,15,0.2906274
5,2,35,0.288107953
5,2,35,0.301927942
5,2,30,0.293744597
5,2,20,0.279829403
5,2,15,0.282029594
5,2,40,0.30789822
5,2,20,0.287880481
5,2,35,0.331000717
5,2,15,0.288992673
5,2,40,0.338746983
5,2,10,0.26940571
5,2,40,0.265518406
5,2,35,0.292651501
5,2,15,0.246301964
5,2,15,0.302473945
5,2,15,0.276798234
5,2,20,0.265497687
5,2,35,0.247629891
5,2,5,0.228044961
5,2,5,0.286351295
5,2,20,0.285581796
5,2,0,0.280010495
5,2,10,0.300678717
5,2,30,0.322285168
5,2,0,0.277557356
5,2,25,0.385131031
5,2,20,0.481272079
5,2,10,0.340827597
5,2,30,0.268224995
5,2,20,0.408149883
5,2,10,0.289473893
5,2,0,0.358917597
5,2,40,0.282775743
5,2,5,0.250242185
5,2,25,0.278017813
5,2,35,0.26276922
5,2,0,0.285896063
5,2,40,0.333602605
5,2,0,0.297080487
5,2,15,0.258358802
5,2,0,0.226123099
5,2,25,0.243786822
5,2,25,0.25076991
5,2,30,0.217100464
5,2,35,0.227197929
5,2,5,0.262290948
5,2,30,0.244855566
5,2,5,0.257999503
5,2,0,0.267859727
5,2,30,0.222812774
5,2,15,0.226810986
5,2,20,0.243845269
5,2,25,0.224518753
5,2,25,0.250079309
5,2,20,0.260982136
5,2,30,0.264049297
5,2,35,0.244523838
5,2,10,0.238287003
5,2,5,0.257608503
5,2,40,0.265030421
5,2,40,0.213151204
5,2,20,0.25223255
5,2,25,0.242467561
5,0,20,0.382256917
5,0,5,0.260826934
5,0,25,0.2496855
5,0,20,0.239078955
5,0,15,0.216769668
5,0,40,0.239757849
5,0,0,0.251499881
5,0,10,0.306279913
5,0,5,0.21934808
5,0,5,0.237680444
5,0,35,0.247147926
5,0,25,0.28648585
5,0,25,0.266785911
5,0,20,0.23310793
5,0,35,0.264822218
5,0,20,0.194233493
5,0,10,0.230974224
5,0,20,0.275853171
5,0,20,0.218424766
5,0,15,0.250758123
5,0,10,0.231329113
5,0,30,0.221928079
5,0,0,0.237842739
5,0,10,0.27827506
5,0,30,0.248848936
5,0,0,0.212897386
5,0,0,0.296568789
5,0,30,0.25567703
5,0,0,0.29390812
5,0,40,0.386336875
5,0,5,0.243926778
5,0,15,0.286758392
5,0,10,0.235365773
5,0,35,0.258058348
5,0,30,0.281392142
5,0,35,0.19729853
5,0,10,0.314655435
5,0,30,0.139864342
5,0,25,0.252019101
5,0,35,0.275272866
5,0,0,0.30750092
5,0,30,0.287561133
5,0,5,0.282661079
5,0,40,0.248295161
5,0,15,0.232999578
5,0,0,0.391012683
5,0,35,0.338882941
5,0,25,0.276667865
5,0,30,0.247849569
5,0,20,0.269780393
5,0,30,0.239200028
5,0,35,0.248553145
5,0,20,0.317361646
5,0,25,0.268914974
5,0,5,0.252417476
5,0,30,0.422702509
5,0,40,0.254373774
5,0,20,0.423306365
5,0,40,0.253742987
5,0,25,0.268369869
5,0,15,0.260882343
5,0,20,0.263822091
5,0,15,0.254127447
5,0,5,0.224773034
5,0,0,0.274446378
5,0,25,0.283106755
5,0,30,0.225418827
5,0,35,0.247216009
5,0,35,0.246194085
5,0,15,0.279426087
5,0,25,0.272533316
5,0,40,0.292727843
5,0,25,0.291884026
5,0,40,0.428545789
5,0,10,0.272689936
5,0,15,0.267145168
5,0,5,0.279239403
5,0,0,0.253397902
5,0,35,0.268971779
5,0,10,0.242130003
5,0,15,0.22529994
5,0,15,0.239133274
5,0,10,0.335053906
5,0,40,0.268602358
5,0,40,0.253931867
5,0,10,0.270288819
5,0,5,0.266737811
5,0,5,0.24772374
5,0,40,0.26381061
5,0,0,0.265443931
