Face,Direction,Eccentricity,Reaction Time (s)
23,2,30,0.729776218
23,2,40,0.751570721
19,2,40,0.931869876
21,2,20,0.596649507
19,2,0,0.649385927
21,2,5,0.513892338
21,2,25,0.578051595
21,2,35,0.627267273
19,2,15,0.670580368
23,2,5,0.508666028
19,2,15,0.761620883
19,2,35,0.631811644
21,2,35,0.725913388
23,2,30,0.790018157
19,2,0,0.544993616
21,2,40,0.914078158
21,2,10,0.624423056
21,2,5,0.571278645
21,2,15,0.787641701
23,2,5,0.596182416
23,2,25,0.718726965
19,2,30,0.718633984
19,2,40,0.598962643
21,2,35,0.588674529
23,2,20,0.70862183
23,2,35,0.66499799
21,2,5,0.682649809
21,2,10,0.52593021
23,2,20,0.597387537
21,2,0,0.736183392
19,2,0,0.606508909
19,2,25,0.729388138
21,2,0,0.486418162
21,2,30,0.644982457
23,2,10,0.588737479
23,2,0,0.389230938
19,2,15,0.683719678
21,2,20,0.674981248
23,2,40,0.842931975
21,2,40,0.82733483
19,2,20,0.790760676
21,2,10,0.602079289
23,2,20,0.617946507
21,2,10,0.684565882
19,2,20,0.689291688
19,2,40,0.779414693
23,2,5,0.493800978
21,2,30,0.659707335
19,2,0,0.606020335
21,2,10,0.622955104
23,2,15,0.798994765
19,2,5,0.515289579
19,2,0,0.695933493
23,2,35,0.685002634
23,2,40,0.730271856
19,2,10,0.608831191
19,2,5,0.555732908
23,2,10,0.645596251
23,2,25,0.691941352
19,2,10,0.64375142
21,2,5,0.572089092
21,2,15,0.513592371
23,2,20,0.577602869
19,2,20,0.639849982
19,2,30,0.689740964
21,2,15,0.535479201
21,2,30,0.575246966
23,2,30,0.7303831
23,2,25,0.728388776
19,2,25,0.835521577
19,2,35,0.921337797
23,2,40,0.778800547
19,2,0,0.601359336
23,2,15,0.675943158
23,2,15,0.652833235
19,2,25,0.690613217
19,2,20,0.563019757
19,2,35,0.653400788
23,2,35,0.862405202
21,2,15,0.646702079
19,2,30,0.994742216
19,2,5,0.573814833
19,2,30,0.759182349
21,2,25,0.695471326
23,2,35,0.775281724
19,2,25,0.84409623
21,2,0,0.688140287
23,2,25,0.709649085
19,2,10,0.704728075
21,2,40,0.997551841
21,0,15,0.710227638
21,0,40,0.66776899
21,0,25,0.519507221
21,0,5,0.547358213
19,0,35,0.670288475
23,0,5,0.678782777
21,0,0,0.611392769
21,0,0,0.441427574
23,0,15,0.743120138
23,0,35,0.676395932
23,0,35,0.662528725
19,0,30,0.725521006
23,0,40,0.865123358
21,0,10,0.826175706
21,0,15,0.538302704
19,0,30,0.913438541
19,0,40,0.669425989
21,0,20,0.659408243
19,0,40,0.692235399
23,0,35,0.793346318
23,0,25,0.61585696
19,0,5,0.611856647
19,0,25,0.63851344
21,0,0,0.516011825
23,0,0,0.62224278
21,0,35,0.784544236
21,0,10,0.516815089
21,0,25,0.626453639
23,0,15,0.812087534
21,0,35,0.654491004
21,0,20,0.576126216
23,0,40,0.814857385
23,0,5,0.539712411
19,0,10,0.581831457
21,0,15,0.744442418
19,0,0,0.499414899
23,0,35,0.780607911
19,0,5,0.516638215
23,0,5,0.644377244
19,0,20,0.813564642
21,0,40,0.827124181
23,0,10,0.6323671
21,0,30,0.632749875
21,0,35,0.580822729
23,0,35,0.768364244
19,0,10,0.632021116
21,0,20,0.599762037
21,0,25,0.63249622
21,0,10,0.493555434
21,0,0,0.47515132
23,0,10,0.567621964
19,0,0,0.530609532
19,0,30,0.750450609
19,0,25,0.741164807
21,0,10,0.655303124
21,0,20,0.504738834
23,0,25,0.602990104
19,0,20,0.582818136
19,0,5,0.53410473
19,0,25,0.751910752
21,0,20,0.707387841
21,0,40,0.798152448
23,0,30,0.654224265
21,0,35,0.816050207
21,0,0,0.497812711
21,0,40,0.646168294
23,0,5,0.471560467
19,0,0,0.428208503
21,0,15,0.695885272
19,0,15,0.673947167
21,0,30,0.725157328
19,0,20,0.567076641
19,0,25,0.580440857
21,0,15,0.560894181
21,0,5,0.492652803
23,0,30,0.691517016
21,0,40,0.784811612
19,0,10,0.774537311
19,0,10,0.583225165
23,0,20,0.688514121
23,0,30,0.751553381
23,0,30,0.643229142
21,0,40,0.742533745
23,0,5,0.643394182
19,0,20,0.696001513
19,0,25,0.995888965
23,0,30,0.728826214
23,0,15,0.641066415
21,0,0,0.68012367
23,0,15,0.722630268
