Face,Direction,Eccentricity,Reaction Time (s)
3,2,0,0.48550087100011297
1,2,5,0.6986769310024101
3,2,0,0.3902671710020513
1,2,15,0.8794982740000705
1,2,35,1.279439703997923
1,2,35,1.0386168969998835
1,2,35,0.7750111959976493
1,2,0,0.6008439369979897
3,2,25,0.6905758770008106
1,2,10,0.6221418519999133
1,2,5,0.6640628160021151
3,2,10,0.7483293889963534
3,2,40,0.7532044640029198
1,2,5,0.5330877300002612
1,2,30,0.6317209970002295
1,2,0,0.41771757600508863
1,2,25,0.6122048460019869
3,2,25,0.7514145539971651
1,2,20,0.6251189050017274
1,2,20,0.603276220994303
3,2,10,0.7749618000016198
3,2,15,1.021946560998913
1,2,10,0.614165254002728
3,2,35,0.9130109990001074
1,2,20,0.9696419479951146
3,2,5,0.5507474600017304
1,2,15,0.6811501460033469
1,2,15,0.6794915959981154
3,2,5,0.5863340340001741
1,2,5,0.6059530249985983
3,2,40,0.7469466629991075
1,2,40,0.7747462770057609
3,2,15,0.6738730209981441
1,2,0,0.6838092339967261
1,2,10,0.6174521089997143
1,2,30,0.6608341220053262
3,2,15,0.7224149429966928
3,2,20,0.6097140130004846
3,2,5,0.49845256799744675
1,2,20,0.4905349300024682
1,2,25,0.5667783720055013
1,2,20,1.0406201939986204
1,2,35,0.9302163159954944
1,2,0,0.5340579690018785
1,2,35,0.6477482170012081
1,2,30,1.013613911003631
3,2,10,0.6131126920008683
1,2,25,0.5421976249999716
3,2,40,0.9044197980038007
1,2,35,0.6917343380046077
1,2,35,0.6481202430004487
3,2,10,0.6434504379940336
3,2,15,0.6516482110018842
1,2,35,0.605613113999425
1,2,10,0.6870065719995182
1,2,30,0.7513071020002826
1,2,5,0.4615496170008555
3,2,25,0.5049695460038492
3,2,40,0.7685185929949512
1,2,40,1.0283040709982743
1,2,0,0.5262810600033845
1,2,0,0.43769891199917765
3,2,20,0.6944150640047155
3,2,20,0.4814016800009995
1,2,25,0.5548070910008391
1,2,30,0.6953033550016698
1,2,10,0.4817984350011102
1,2,0,0.4079206710011931
1,2,25,0.5858324820001144
1,2,15,0.5542381220002426
3,2,40,0.801138759998139
1,2,40,0.6587830689968541
1,2,25,0.6431689319942961
1,2,10,0.5060854959956487
3,2,15,0.6663432689965703
1,2,20,0.47966890100360615
3,2,20,0.7999171880001086
3,2,5,0.5757578570046462
1,2,40,0.629671718001191
3,2,0,0.6950584790029097
3,2,35,0.629599343999871
3,2,5,0.5795486030037864
3,2,25,0.619888148001337
1,2,40,0.864766876999056
3,2,15,0.45748392600216903
3,2,30,0.5299594870011788
3,2,30,0.4812598260032246
3,2,30,0.5100565269967774
3,2,30,0.5510026319971075
3,2,30,0.5490246480039787
1,0,30,0.77428842199879
1,0,35,1.0307644170025014
1,0,35,0.6781447399989702
3,0,0,0.44913146900216816
1,0,40,0.6975725779993809
3,0,25,0.7544209260013304
1,0,35,0.5560740159999114
1,0,10,0.562774972000625
3,0,5,0.5124697979990742
3,0,0,0.48711635699874023
3,0,5,0.43037635500513716
1,0,30,0.8814792060002219
3,0,10,0.6199277199993958
1,0,10,0.581038714000897
3,0,30,0.8931703909984208
3,0,40,0.7343012119963532
3,0,25,0.6140581569998176
1,0,40,0.8781207270003506
3,0,35,0.7379511059989454
3,0,40,0.6704836979988613
1,0,5,0.6168561089943978
1,0,25,0.7860151400018367
1,0,20,0.6068405459955102
1,0,20,0.6662335129949497
3,0,30,0.5814893870046944
1,0,15,0.5867143450013828
1,0,0,0.5049304650019621
1,0,10,0.6441896859978442
3,0,30,0.5516545680002309
3,0,0,0.5409410249994835
3,0,25,0.6051281120016938
3,0,20,0.5201466380021884
3,0,40,0.5880513509982848
3,0,10,0.4478032889965107
3,0,15,0.44995239099807804
3,0,15,0.5297598589968402
1,0,0,0.7141962250025244
3,0,15,0.6681802009989042
1,0,10,0.4707070200020098
1,0,35,0.6362588880001567
1,0,15,0.48994907900487306
3,0,15,0.584384317000513
1,0,35,0.5177719540006365
1,0,20,0.7731095729977824
1,0,20,0.6264697500009788
3,0,10,0.5913550369950826
3,0,10,0.6146266899959301
3,0,5,0.43357972300145775
1,0,25,0.5009733729966683
3,0,20,0.6289601730022696
3,0,20,0.671166029998858
1,0,5,0.41530178199900547
1,0,30,0.6282114900022862
1,0,5,0.6109461840023869
3,0,25,0.6420444260002114
1,0,5,0.5774862489997759
3,0,20,0.5863315649985452
3,0,25,0.5185365180004737
1,0,20,0.49188575399602996
1,0,0,0.697494813000958
1,0,40,0.9233750679995865
3,0,0,0.5214772239996819
1,0,30,0.5125874000004842
1,0,25,0.6574609649978811
1,0,5,0.573428772004263
3,0,25,0.5972428160021082
3,0,20,0.6372099629952572
3,0,0,0.47661156600224786
1,0,5,0.5994125009965501
3,0,40,0.9910435999991023
3,0,10,0.4923164700012421
1,0,35,0.5039113020029617
3,0,25,0.7098973800020758
3,0,30,0.5477015679934993
1,0,30,0.5448643900017487
3,0,30,0.7816420780000044
3,0,35,0.6566317329998128
1,0,15,0.5839393290007138
1,0,35,0.635981327999616
1,0,15,0.5225079419979011
3,0,5,0.5175588810016052
1,0,0,0.5469320699994569
3,0,40,0.6065411879972089
1,0,15,0.6765420489973621
3,0,0,0.5462365860003047
1,0,10,0.48821276299713645
1,0,40,0.6966372290044092
3,0,15,0.7088889320002636
1,0,40,0.5758446320032817
3,0,35,0.5346360379990074
