Face,Direction,Eccentricity,Reaction Time (s)
9,2,5,0.507572494
9,2,40,0.948800636
9,2,10,0.673375925
11,2,25,0.562170746
9,2,5,0.534198713
9,2,35,0.807830576
11,2,5,0.49656151
11,2,30,0.698928889
9,2,30,0.628725615
11,2,20,0.669310309
9,2,25,0.662819037
11,2,35,0.723809467
9,2,10,0.521992398
11,2,20,0.630254731
11,2,35,0.659449084
9,2,20,0.632693637
11,2,0,0.50316529
11,2,15,0.640007142
11,2,20,0.751918829
11,2,10,0.542935081
9,2,30,0.632880859
9,2,0,0.463606019
11,2,20,0.580833279
9,2,15,0.551489592
11,2,0,0.594238615
11,2,10,0.592592453
11,2,15,0.550972636
9,2,5,0.468726374
9,2,30,0.742967439
11,2,35,0.663884941
11,2,35,0.649552266
11,2,5,0.510823443
9,2,40,0.848287408
9,2,40,0.853735908
9,2,10,0.566726272
9,2,15,0.534143009
9,2,40,0.667586112
9,2,15,0.633024775
11,2,15,0.570392571
9,2,35,0.752308651
9,2,25,0.529952701
11,2,30,0.55019076
9,2,15,0.632607136
11,2,10,0.547254202
9,2,25,0.539843679
11,2,15,0.580003709
11,2,5,0.413583503
11,2,15,0.569789968
11,2,25,0.562904057
11,2,40,0.626074642
11,2,40,0.639429358
9,2,25,0.630281609
11,2,5,0.468878608
11,2,5,0.372896231
9,2,30,0.772082785
9,2,0,0.499844376
9,2,5,0.417665724
9,2,0,0.440036116
9,2,20,0.770911742
9,2,15,0.413345142
11,2,20,0.521947041
11,2,25,0.665397911
11,2,40,0.835029815
9,2,10,0.458096175
9,2,30,0.551116414
11,2,40,0.611977148
9,2,30,0.782900737
9,2,35,0.636427779
9,2,0,0.436404751
9,2,20,0.479744345
11,2,25,0.705661141
9,2,30,0.616257524
9,2,0,0.457897422
9,2,10,0.466168837
9,2,5,0.588093
11,2,35,0.669896542
11,2,0,0.826144296
9,2,20,0.587667444
9,2,25,0.693768155
9,2,35,0.705422264
9,2,35,0.851271665
11,2,0,0.437370598
11,2,40,0.837483241
11,2,10,0.530666111
11,2,40,0.766186645
9,2,25,0.651756893
9,2,10,0.512966714
11,2,20,0.591801087
9,2,30,0.751623335
9,2,0,0.473626731
11,0,30,0.639670497
9,0,35,0.766757698
11,0,35,0.640255947
11,0,5,0.491896357
11,0,0,0.482696025
11,0,0,0.378917783
9,0,15,0.50146342
9,0,0,0.357554055
9,0,10,0.493890517
9,0,10,0.400322185
11,0,0,0.489147662
11,0,35,0.588110606
9,0,15,0.471579092
9,0,25,0.508815509
11,0,20,0.604289924
9,0,25,0.580650309
11,0,10,0.561713196
9,0,15,0.668675862
11,0,20,0.496410643
9,0,15,0.473446817
9,0,40,0.829170867
9,0,25,0.563189799
11,0,0,0.607595528
11,0,20,0.525000399
11,0,20,0.400160914
11,0,40,0.622243413
9,0,10,0.604546345
11,0,15,0.575611408
11,0,30,0.683433277
11,0,5,0.460111714
9,0,40,0.911852632
11,0,5,0.512023947
9,0,10,0.590477098
9,0,15,0.585023132
9,0,15,0.517788555
11,0,5,0.540887306
9,0,15,0.606939056
9,0,30,0.602624783
11,0,10,0.49549977
11,0,5,0.398816763
11,0,10,0.425213455
9,0,5,0.548279338
9,0,35,0.638621727
9,0,40,0.580675631
9,0,0,0.469555517
9,0,35,0.586263534
9,0,30,0.442405938
9,0,35,0.736872894
11,0,40,0.705387881
11,0,15,0.567195761
11,0,25,0.531651192
11,0,0,0.444326462
9,0,40,0.764344646
11,0,25,0.73485359
9,0,20,0.584997407
11,0,0,0.618882822
11,0,25,0.649729481
9,0,30,0.635297741
9,0,25,0.605418684
9,0,25,0.503541313
11,0,40,0.74860353
11,0,25,0.697600414
11,0,30,0.486501825
11,0,20,0.539822987
11,0,10,0.557915918
11,0,35,0.579930852
9,0,35,0.588261897
9,0,35,0.568731656
11,0,5,0.54851398
11,0,30,0.707973872
9,0,30,0.627684289
11,0,20,0.626954704
11,0,35,0.589546127
9,0,30,0.539709856
11,0,30,0.797736965
9,0,0,0.515860884
9,0,15,0.551704829
11,0,10,0.485326175
11,0,40,0.519385307
11,0,25,0.57454359
9,0,5,0.635928328
9,0,20,0.572560073
11,0,0,0.468014638
11,0,10,0.466637583
9,0,20,0.44475345
9,0,20,0.372642466
9,0,5,0.387181426
11,0,40,0.692596693
9,0,5,0.507851192
9,0,40,0.65320826
